horizon_years,contribution_interval_days,window_count,annual_alpha_theoretical_mean,annual_alpha_theoretical_median,final_relative_advantage_theoretical_mean,final_relative_advantage_theoretical_median,theoretical_win_rate,annual_alpha_implementable_mean,annual_alpha_implementable_median,final_relative_advantage_implementable_mean,final_relative_advantage_implementable_median,implementable_win_rate,implementable_minus_theoretical_annual_alpha_mean,implementable_minus_theoretical_annual_alpha_median
1,15,5,0.016850787749616302,0.015135443486572586,0.05889406540103455,0.05817907597174177,1.0,-0.003516926725000591,-0.0052952517441215985,0.03823275661120431,0.036798918942603676,0.2,-0.020367714474616893,-0.017681578558664812
1,30,5,0.027459706146968244,0.02371455880614559,0.11234985333420822,0.10730506246531224,1.0,-0.004125869613058275,-0.005703237782382464,0.07920515796104492,0.0777392513748123,0.2,-0.03158557576002652,-0.029959094751754733
1,45,5,0.0353140496806702,0.032673567597088615,0.16388853677634904,0.15887805668063604,1.0,-0.0024010168855253867,0.0024540514764694876,0.12256703911282765,0.12751213867782796,0.6,-0.03771506656619559,-0.030219516120619128
1,60,5,0.03945659824214922,0.036417290807712055,0.2116363715338058,0.20526259800275248,1.0,-0.0027601260346819868,-0.001975450702764836,0.1635950176238393,0.16427874325566805,0.4,-0.04221672427683121,-0.03844869539975937
1,90,5,0.045709062405209354,0.044360929672224936,0.30493057888615793,0.3002300764377528,1.0,-0.006536708085957077,-0.007310372917981756,0.24237518214454531,0.24064482481560812,0.4,-0.05224577049116643,-0.03418411710269742
1,120,5,0.05874667623164731,0.05923151109455138,0.4095798473583093,0.4066582892581432,1.0,0.0021044584201601823,-9.502995222621102e-05,0.33619896286139006,0.33321568993654793,0.4,-0.05664221781148713,-0.04968488448191155
2,15,5,0.009031258299367129,0.008637106952073093,0.03894319674603293,0.03882759291774596,1.0,-0.00031394279783794057,-0.0007327081072510122,0.02034328751344976,0.019426629514488702,0.4,-0.00934520109720507,-0.008132333499977218
2,30,5,0.01470738858478291,0.014319386968288939,0.07188670334111866,0.07352956401643551,1.0,-0.00018110078696724762,-0.0017825696744420139,0.041529569389398446,0.03816868326562384,0.4,-0.014888489371750158,-0.012740037729473075
2,45,5,0.020074019681003218,0.018151708412436962,0.10480064961936378,0.10041570989171289,1.0,0.00032222423548760036,-0.00044462854539473184,0.06341123019683273,0.06161842260370576,0.4,-0.01975179544551562,-0.017039498806306064
2,60,5,0.02144184880563451,0.022848628690744,0.12942384228422874,0.13407430071720516,1.0,0.001147705623221973,-2.2982540931693052e-05,0.0860642131302983,0.08328681928643511,0.4,-0.020294143182412537,-0.01791819274630324
2,90,5,0.028258966974722743,0.022796742587355867,0.18838346246652163,0.17482986827139535,1.0,0.003999969925294611,0.0035969845169767645,0.13400141159636864,0.13257451858643599,0.8,-0.024258997049428133,-0.02258790382674536
2,120,5,0.03232679470205886,0.034753404454155534,0.2422896217059614,0.2530509522153632,1.0,0.005144396985656519,-0.0009927542776280163,0.17859245550900926,0.16420112972717504,0.4,-0.02718239771640234,-0.028868936052635297
3,15,5,0.005741245832362507,0.005086729894654196,0.02754313783405129,0.027903070713251488,1.0,-0.0007541282197132126,-0.0006029095250519312,0.008798478398259157,0.011232120570287663,0.0,-0.0064953740520757195,-0.005537936050748149
3,30,5,0.009285889870880614,0.008594386692124534,0.055149415889538214,0.05344375010193203,1.0,-0.0011426200364684559,-0.0008821659508264634,0.024467738251259207,0.025167155126860408,0.0,-0.01042850990734907,-0.00930166814483857
3,45,5,0.012162459793220526,0.010278408552753193,0.07812376272044394,0.07229575705694957,1.0,-0.0012022572603163529,-0.0012603371646799921,0.038107497735490006,0.037915869062153496,0.2,-0.013364717053536878,-0.011152481604059572
3,60,5,0.012889054036447245,0.012432523808397544,0.09475991039334448,0.09379571978482071,1.0,-0.001899720626655732,-0.0007402051711566937,0.04995994535216872,0.05332330881767966,0.2,-0.014788774663102976,-0.012341546433066064
3,90,5,0.018003899012138235,0.01624831303963581,0.13994962486130652,0.1349167271641265,1.0,0.0009821050716801948,0.0008316344679357712,0.08643197233704188,0.08591746021944502,0.8,-0.01702179394045804,-0.012229874544765318
3,120,5,0.020444111361848448,0.01945330273142809,0.17722214849891235,0.17385270739676106,1.0,-0.0012530741636404218,-0.002507198614198236,0.10745365784481761,0.10314460506191026,0.4,-0.021697185525488872,-0.016435293993154465
4,15,5,0.004201492325361667,0.0038861822406153212,0.026790732083923796,0.025827679731361464,1.0,-0.0004016155534677157,-0.0003481169786854199,0.008750321375088178,0.008943065548686846,0.0,-0.004603107878829382,-0.0042024352110816565
4,30,5,0.006747502839643671,0.006694270959074711,0.04770001652438301,0.04716417218698821,1.0,-0.000511338876411882,-0.0004599965405067685,0.01883419904245809,0.019010108206194642,0.0,-0.007258841716055553,-0.007021785233884303
4,45,5,0.009067526722406826,0.008256594781376414,0.06785853483390367,0.0651029427095533,1.0,-0.000301565286720118,4.7852104314571875e-06,0.030036784818826812,0.03126934710479312,0.6,-0.009369092009126945,-0.00934241112501133
