horizon_years,contribution_interval_days,window_count,theoretical_win_rate,annual_alpha_theoretical_p10,annual_alpha_theoretical_p25,annual_alpha_theoretical_median,annual_alpha_theoretical_p75,annual_alpha_theoretical_p90,annual_alpha_theoretical_min,annual_alpha_theoretical_max,implementable_win_rate,annual_alpha_implementable_p10,annual_alpha_implementable_p25,annual_alpha_implementable_median,annual_alpha_implementable_p75,annual_alpha_implementable_p90,annual_alpha_implementable_min,annual_alpha_implementable_max
1,15,5,1.0,0.012027580806924298,0.0132279664120043,0.015135443486572586,0.017391938102424342,0.023319535447095332,0.011227323736870964,0.02727126701020932,0.2,-0.007205231075704854,-0.0054757447006394955,-0.0052952517441215985,-0.00028964045624046975,0.000984678978552034,-0.008358221992415094,0.0018342252684137028
1,30,5,1.0,0.021863295197055564,0.022865857957557134,0.02371455880614559,0.029503962501889802,0.03581312386827242,0.021194920023387853,0.04001923144586084,0.2,-0.008978628544822564,-0.008361403240802479,-0.005703237782382464,-0.0004551322498649313,0.0017862694732107003,-0.009390112080835955,0.003280537288594454
1,45,5,1.0,0.025103781258556744,0.028883220939941556,0.032673567597088615,0.038332228112213595,0.04779113741476966,0.022584154804300205,0.05409707694980703,0.6,-0.015820045317604857,-0.013913749657500363,0.0024540514764694876,0.002747611366884062,0.009377791433270267,-0.017090909091007855,0.013797911477527736
1,60,5,1.0,0.029403233671205297,0.031965483055365285,0.036417290807712055,0.04532490301727754,0.05165810935608657,0.02769506741509864,0.055880246915292586,0.4,-0.017660467364748043,-0.012104564419813002,-0.001975450702764836,0.004212236095006094,0.01214382534732237,-0.021364402661371407,0.017431551515533217
1,90,5,1.0,0.03333200134255911,0.04301938707932429,0.044360929672224936,0.05603304366537043,0.05736814192079505,0.026873744184715664,0.05825820742441146,0.4,-0.03997737351727093,-0.02063511395897799,-0.007310372917981756,0.016692040073901016,0.02554208778720415,-0.05287221322279956,0.031442119596072904
1,120,5,1.0,0.039744807017679,0.05663736926008478,0.05923151109455138,0.07357155218455103,0.07491453073160495,0.02848309885607514,0.07580984976297422,0.4,-0.022567845026546428,-0.0009509089972087326,-9.502995222621102e-05,0.006952484778173229,0.027737923102169805,-0.03697913571277156,0.04159488198483419
2,15,5,1.0,0.00699205469140054,0.007107004558733143,0.008637106952073093,0.009013758143024742,0.011695303495105414,0.006915421446512138,0.013483000396492528,0.4,-0.0018994373731435754,-0.0017711462165415082,-0.0007327081072510122,0.0008814246430475237,0.0015751781586791581,-0.001984964810878287,0.002037680502433581
2,30,5,1.0,0.011353840894292144,0.01194840015318377,0.014319386968288939,0.015578784811987711,0.018671255686048927,0.010957468055031061,0.02073290293542307,0.4,-0.003543172026746344,-0.00238827692818111,-0.0017825696744420139,0.0033912584122686162,0.003868815173692308,-0.0043131020924565,0.0041871863479747695
2,45,5,1.0,0.015411044775897099,0.01659779045232268,0.018151708412436962,0.020501055583583727,0.0265002200124691,0.014619880991613377,0.03049966296505935,0.4,-0.002103470190955958,-0.001629248755350865,-0.00044462854539473184,0.0014366683864137642,0.0033754360984430192,-0.0024196178146926872,0.004667947906462522
2,60,5,1.0,0.017343074226806143,0.01992235719171176,0.022848628690744,0.023658996396924925,0.024557024257923655,0.0156235522502024,0.025155709498589474,0.4,-0.004908141366456986,-0.0021061272238673823,-2.2982540931693052e-05,0.004930435944440759,0.007800186016567246,-0.0067761507948500554,0.009713352731318237
2,90,5,1.0,0.021918223909328606,0.022446321003197545,0.022796742587355867,0.030433763784687318,0.03860461450484914,0.021566159180082645,0.04405184831829034,0.8,-0.0005121835105471373,0.000208838760610508,0.0035969845169767645,0.005767657333736853,0.00915860335737544,-0.0009928650246522341,0.011419234039801163
2,120,5,1.0,0.025120453918000774,0.03182853121976015,0.034753404454155534,0.03695406434714754,0.03725136840230094,0.020648402383494524,0.037449571105736545,0.4,-0.001710737392034467,-0.0014612562440059484,-0.0009927542776280163,0.002959595167124851,0.017439913130957052,-0.0018770581573868128,0.02709345844017852
3,15,5,1.0,0.004768013842581987,0.004880998407696957,0.005086729894654196,0.005688392428353506,0.007289807550502925,0.004692690799172006,0.00835741763193587,0.0,-0.0014078043535526775,-0.0008452452515761433,-0.0006029095250519312,-0.0003919793424751461,-0.0002453896717455439,-0.0017828437548703668,-0.00014766322459247583
3,30,5,1.0,0.007337809293561426,0.007384218724695524,0.008594386692124534,0.009224730203666764,0.012041438518133241,0.007306869672805361,0.013919244061110891,0.0,-0.002135987447549681,-0.001285850631688401,-0.0008821659508264634,-0.0007654003338650739,-0.0003523228982491133,-0.002702745324790534,-7.69379411718063e-05
3,45,5,1.0,0.009315667486611856,0.009545655822903898,0.010278408552753193,0.011796171672769917,0.016736301262263043,0.009162341929083828,0.020029720988591793,0.2,-0.002615784416351552,-0.0015347911180536578,-0.0012603371646799921,-0.0005234014723416447,0.00017685345228954938,-0.003336446615216815,0.0006436900687103453
3,60,5,1.0,0.010364240152194615,0.01174417012871265,0.012432523808397544,0.013446383026001207,0.015805297041165824,0.009444286834515925,0.0173779063846089,0.2,-0.005787275728318919,-0.004208141804502796,-0.0007402051711566937,-0.0005973763043534142,0.0014933405728169817,-0.006840031677529668,0.0028871518242639116
3,90,5,1.0,0.013338868007681493,0.013754906500152098,0.01624831303963581,0.017152203974335034,0.024742419110054304,0.013061509012701089,0.02980256253386715,0.8,-0.002742189557652885,0.000350286611140449,0.0008316344679357712,0.001546156209976779,0.004810235527708562,-0.004803840336848442,0.006986288406196417
3,120,5,1.0,0.01573456142248162,0.018444260487769704,0.01945330273142809,0.022964874075686037,0.025643964111515725,0.013928095378956229,0.027430024135402187,0.4,-0.00870500424126779,-0.007994951436931963,-0.002507198614198236,0.003120523627882399,0.007424986480675378,-0.009178372777491672,0.010294628382537363
4,15,5,1.0,0.0031938560863466136,0.003321176326471331,0.0038861822406153212,0.004481750809369522,0.005518326118201022,0.0031089759262634686,0.006209376324088689,0.0,-0.0006435752018391306,-0.0004131750360276687,-0.0003481169786854199,-0.00031625297046633527,-0.00020651567005396386,-0.0007971753123801051,-0.0001333574697790496
4,30,5,1.0,0.0052791493283693034,0.005386320845870207,0.006694270959074711,0.006871360268796645,0.008495260392183512,0.005207701650035368,0.009577860474441424,0.0,-0.0009212325068214788,-0.0008584995322153954,-0.0004599965405067685,-0.0001504249650876588,-0.0001350012986494953,-0.0009630544898922011,-0.00012471885435738628
4,45,5,1.0,0.007082708038872454,0.007536895830226431,0.008256594781376414,0.008913882593878819,0.011875759574701128,0.0067799161779698025,0.013850344228582667,0.6,-0.0009319190852276726,-0.00042852853113251044,4.7852104314571875e-06,6.565967529015282e-05,9.6925869976916e-05,-0.0012675127879577808,0.00011776999976809144
4,60,5,1.0,0.008536823160338835,0.008537610748977409,0.009308162467290826,0.010960073258302394,0.012015759034490347,0.008536298101246453,0.012719549551948983,0.6,-0.0018177796111656264,-7.177346302178478e-05,0.00010154597932277021,0.0005709905545563387,0.0006079954587096647,-0.0029817837099281874,0.0006326653948118821
4,90,5,1.0,0.009601170325714347,0.010109181539730727,0.01176949023426288,0.013905402255987687,0.017500227761138153,0.009262496183036761,0.019896778097905132,1.0,0.0006723974135751209,0.0008117741240230014,0.0008840608986397935,0.002480378841862807,0.002503400981366388,0.0005794796066098673,0.0025187490743687757
4,120,5,1.0,0.012498269664067817,0.014763425833323796,0.015183273237552974,0.01711990660296059,0.019060712261930846,0.0109881655512305,0.02035458270124435,0.8,-0.001299859002893111,0.0005182843300701734,0.0006579507786934613,0.0030359310058720723,0.0043452604695928265,-0.0025119545582019676,0.005218146778739996
5,15,5,1.0,0.002673903477960682,0.0029775094635136057,0.0030134226743914194,0.0034519292025361192,0.004026473798861252,0.002471499487592066,0.004409503529744674,0.0,-0.00051054357551652,-0.00024245544432721644,-0.00016648490386095283,-0.00013906204647362586,-5.933641281554712e-05,-0.000689268996309389,-6.185990376827988e-06
5,30,5,1.0,0.004270444129602513,0.004310941010962965,0.005211350846519025,0.005309497950935604,0.00645039373328804,0.004243446208695545,0.007210990921522997,0.0,-0.0011987277350071323,-0.0011797660957806322,-0.00026509822727693866,-0.00026411322798414183,-0.00010849525690841408,-0.0012113688278247992,-4.749942857928957e-06
