date,price,index_name,year,month,day,month_key,quarter_key,week_key,return_factor,investment_signal,cash_inflow,cash_balance,contribution,invested_wealth,wealth,total_contribution,wealth_return,dip_window
1994-07-04,3580.9,Ibovespa,1994,7,4,199407,19943,199427,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1994-07-05,3564.3,Ibovespa,1994,7,5,199407,19943,199427,0.9953642938925968,True,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,-1.1102230246251565e-16,0
1994-07-06,3753.5,Ibovespa,1994,7,6,199407,19943,199427,1.0530819515753442,False,0.0,0.0,0.0,1.0530819515753442,1.0530819515753442,1.0,0.05308195157534423,0
1994-07-07,3905.0,Ibovespa,1994,7,7,199407,19943,199427,1.0403623284934063,False,0.0,0.0,0.0,1.0955867912353054,1.0955867912353054,1.0,0.09558679123530545,0
1994-07-08,4051.9,Ibovespa,1994,7,8,199407,19943,199427,1.037618437900128,False,0.0,0.0,0.0,1.1368010549055916,1.1368010549055916,1.0,0.13680105490559158,0
1994-07-11,4010.9,Ibovespa,1994,7,11,199407,19943,199428,0.9898812902588909,False,0.0,0.0,0.0,1.1252980949976152,1.1252980949976152,1.0,0.12529809499761524,0
1994-07-12,3919.8,Ibovespa,1994,7,12,199407,19943,199428,0.9772868932159865,False,0.0,0.0,0.0,1.0997390792020874,1.0997390792020874,1.0,0.09973907920208736,0
1994-07-13,3840.9,Ibovespa,1994,7,13,199407,19943,199428,0.979871422011327,False,0.0,0.0,0.0,1.0776028953791768,1.0776028953791768,1.0,0.07760289537917675,0
1994-07-14,4016.5,Ibovespa,1994,7,14,199407,19943,199428,1.0457184514046187,False,0.0,0.0,0.0,1.126869230985046,1.126869230985046,1.0,0.1268692309850461,0
1994-07-15,4079.9,Ibovespa,1994,7,15,199407,19943,199428,1.0157848873397237,False,0.0,0.0,0.0,1.144656734842746,1.144656734842746,1.0,0.1446567348427461,0
1994-07-18,4045.3,Ibovespa,1994,7,18,199407,19943,199429,0.9915193999852938,False,0.0,0.0,0.0,1.1349493589204052,1.1349493589204052,1.0,0.13494935892040516,0
1994-07-19,3874.7,Ibovespa,1994,7,19,199407,19943,199429,0.9578276024027883,False,0.0,0.0,0.0,1.0870858233033134,1.0870858233033134,1.0,0.08708582330331338,0
1994-07-20,4038.6,Ibovespa,1994,7,20,199407,19943,199429,1.0423000490360543,False,0.0,0.0,0.0,1.133069606935443,1.133069606935443,1.0,0.1330696069354429,0
