date,price,index_name,year,month,day,month_key,quarter_key,week_key,return_factor,investment_signal,cash_inflow,cash_balance,contribution,invested_wealth,wealth,total_contribution,wealth_return
1994-07-04,3580.9,Ibovespa,1994,7,4,199407,19943,199427,1.0,False,0.05,0.05,0.0,0.0,0.05,0.0,0.0
1994-07-05,3564.3,Ibovespa,1994,7,5,199407,19943,199427,0.9953642938925968,False,0.05,0.1,0.0,0.0,0.1,0.0,0.0
1994-07-06,3753.5,Ibovespa,1994,7,6,199407,19943,199427,1.0530819515753442,False,0.05,0.15000000000000002,0.0,0.0,0.15000000000000002,0.0,0.0
1994-07-07,3905.0,Ibovespa,1994,7,7,199407,19943,199427,1.0403623284934063,False,0.05,0.2,0.0,0.0,0.2,0.0,0.0
1994-07-08,4051.9,Ibovespa,1994,7,8,199407,19943,199427,1.037618437900128,False,0.05,0.25,0.0,0.0,0.25,0.0,0.0
1994-07-11,4010.9,Ibovespa,1994,7,11,199407,19943,199428,0.9898812902588909,False,0.05,0.30000000000000004,0.0,0.0,0.30000000000000004,0.0,0.0
1994-07-12,3919.8,Ibovespa,1994,7,12,199407,19943,199428,0.9772868932159865,False,0.05,0.35000000000000003,0.0,0.0,0.35000000000000003,0.0,0.0
1994-07-13,3840.9,Ibovespa,1994,7,13,199407,19943,199428,0.979871422011327,False,0.05,0.4,0.0,0.0,0.4,0.0,0.0
1994-07-14,4016.5,Ibovespa,1994,7,14,199407,19943,199428,1.0457184514046187,False,0.05,0.45,0.0,0.0,0.45,0.0,0.0
1994-07-15,4079.9,Ibovespa,1994,7,15,199407,19943,199428,1.0157848873397237,False,0.05,0.5,0.0,0.0,0.5,0.0,0.0
1994-07-18,4045.3,Ibovespa,1994,7,18,199407,19943,199429,0.9915193999852938,False,0.05,0.55,0.0,0.0,0.55,0.0,0.0
1994-07-19,3874.7,Ibovespa,1994,7,19,199407,19943,199429,0.9578276024027883,False,0.05,0.6000000000000001,0.0,0.0,0.6000000000000001,0.0,0.0
1994-07-20,4038.6,Ibovespa,1994,7,20,199407,19943,199429,1.0423000490360543,False,0.05,0.65,0.0,0.0,0.65,0.0,0.0
1994-07-21,4018.5,Ibovespa,1994,7,21,199407,19943,199429,0.9950230277819047,False,0.05,0.7000000000000001,0.0,0.0,0.7000000000000001,0.0,0.0
1994-07-22,3986.6,Ibovespa,1994,7,22,199407,19943,199429,0.9920617145701132,False,0.05,0.75,0.0,0.0,0.75,0.0,0.0
1994-07-25,3993.9,Ibovespa,1994,7,25,199407,19943,199430,1.0018311342999047,False,0.05,0.8,0.0,0.0,0.8,0.0,0.0
1994-07-26,4077.2,Ibovespa,1994,7,26,199407,19943,199430,1.020856806630111,False,0.05,0.8500000000000001,0.0,0.0,0.8500000000000001,0.0,0.0
1994-07-27,4150.1,Ibovespa,1994,7,27,199407,19943,199430,1.0178799175905033,False,0.05,0.9,0.0,0.0,0.9,0.0,0.0
1994-07-28,4255.4,Ibovespa,1994,7,28,199407,19943,199430,1.0253728825811423,False,0.05,0.9500000000000001,0.0,0.0,0.9500000000000001,0.0,0.0
1994-07-29,4201.3,Ibovespa,1994,7,29,199407,19943,199430,0.9872867415519107,True,0.05,1.0,1.0,1.0,1.0,1.0,0.0
1994-08-01,4152.0,Ibovespa,1994,8,1,199408,19943,199431,0.9882655368576393,False,0.043478260869565216,0.043478260869565216,0.0,0.9882655368576393,1.0317437977272046,1.0,-0.011245527178095571
1994-08-02,4310.8,Ibovespa,1994,8,2,199408,19943,199431,1.0382466281310212,False,0.043478260869565216,0.08695652173913043,0.0,1.0260633613405374,1.1130198830796678,1.0,0.023978292433294524
1994-08-03,4392.2,Ibovespa,1994,8,3,199408,19943,199431,1.018882805975689,False,0.043478260869565216,0.13043478260869565,0.0,1.045438316711494,1.1758730993201896,1.0,0.04019543401401404
1994-08-04,4355.0,Ibovespa,1994,8,4,199408,19943,199431,0.9915304403260325,False,0.043478260869565216,0.17391304347826086,0.0,1.0365839145026539,1.2104969579809146,1.0,0.031164075317075435
1994-08-05,4469.5,Ibovespa,1994,8,5,199408,19943,199431,1.0262916188289322,False,0.043478260869565216,0.21739130434782608,0.0,1.0638373836669601,1.2812286880147863,1.0,0.05243785086928865
1994-08-08,4580.9,Ibovespa,1994,8,8,199408,19943,199432,1.0249244881977848,False,0.043478260869565216,0.2608695652173913,0.0,1.0903529859805294,1.3512225511979208,1.0,0.07165926474317841
1994-08-09,4558.3,Ibovespa,1994,8,9,199408,19943,199432,0.9950664716540419,False,0.043478260869565216,0.30434782608695654,0.0,1.0849736986170944,1.389321524704051,1.0,0.0651465022731057
1994-08-10,4513.2,Ibovespa,1994,8,10,199408,19943,199432,0.9901059605554702,False,0.043478260869565216,0.34782608695652173,0.0,1.0742389260466996,1.4220650130032213,1.0,0.05508049351851896
1994-08-11,4463.8,Ibovespa,1994,8,11,199408,19943,199432,0.9890543295222902,False,0.043478260869565216,0.3913043478260869,0.0,1.0624806607478636,1.4537850085739505,1.0,0.04490797491252696
1994-08-12,4547.1,Ibovespa,1994,8,12,199408,19943,199432,1.0186612303418612,False,0.043478260869565216,0.43478260869565216,0.0,1.0823078570918523,1.5170904657875044,1.0,0.05736608221553352
1994-08-15,4651.0,Ibovespa,1994,8,15,199408,19943,199433,1.0228497283983198,False,0.043478260869565216,0.4782608695652174,0.0,1.1070382976697686,1.5852991672349859,1.0,0.07240826018837287
1994-08-16,4744.1,Ibovespa,1994,8,16,199408,19943,199433,1.0200172006020212,False,0.043478260869565216,0.5217391304347826,0.0,1.1291981053483444,1.6509372357831271,1.0,0.08490161208605485
1994-08-17,4968.9,Ibovespa,1994,8,17,199408,19943,199433,1.0473851731624542,False,0.043478260869565216,0.5652173913043478,0.0,1.182705353104991,1.7479227444093386,1.0,0.11672842003929973
1994-08-18,5026.6,Ibovespa,1994,8,18,199408,19943,199433,1.0116122280585242,False,0.043478260869565216,0.6086956521739131,0.0,1.1964391973912833,1.8051348495651964,1.0,0.12211085243241948
