date,year,investment_signal_a,investment_signal_b,wealth_a,wealth_b,wealth_return_a,wealth_return_b,relative_advantage
1994-07-04,1994,False,False,0.05,0.05,0.0,0.0,0.0
1994-07-05,1994,True,False,0.1,0.1,0.0,0.0,0.0
1994-07-06,1994,False,False,0.15530819515753444,0.15000000000000002,0.03538796771689601,0.0,0.03538796771689601
1994-07-07,1994,False,False,0.20955867912353057,0.2,0.047793395617652834,0.0,0.047793395617652834
1994-07-08,1994,False,False,0.2636801054905592,0.25,0.05472042196223681,0.0,0.05472042196223681
1994-07-11,1994,False,False,0.31252980949976156,0.30000000000000004,0.04176603166587167,0.0,0.04176603166587167
1994-07-12,1994,False,False,0.3599739079202088,0.35000000000000003,0.028496879772025085,0.0,0.028496879772025085
1994-07-13,1994,True,False,0.4077602895379177,0.4,0.019400723844794188,0.0,0.019400723844794188
1994-07-14,1994,False,False,0.47640245851989027,0.45,0.05867213004420058,0.0,0.05867213004420058
1994-07-15,1994,False,False,0.533133173289008,0.5,0.066266346578016,0.0,0.066266346578016
1994-07-18,1994,False,False,0.5794599440932435,0.55,0.05356353471498809,0.0,0.05356353471498809
1994-07-19,1994,True,False,0.6113485885788669,0.6000000000000001,0.01891431429811119,0.0,0.01891431429811119
1994-07-20,1994,False,False,0.6872086638538756,0.65,0.05724409823673149,0.0,0.05724409823673171
1994-07-21,1994,False,False,0.7340372940367451,0.7000000000000001,0.048624705766778575,0.0,0.048624705766778575
1994-07-22,1994,False,False,0.7790041250234884,0.75,0.038672166697984345,0.0,0.03867216669798457
1994-07-25,1994,False,False,0.8301559160516006,0.8,0.03769489506450063,0.0,0.03769489506450063
1994-07-26,1994,False,False,0.893298956139509,0.8500000000000001,0.0509399483994224,0.0,0.0509399483994224
1994-07-27,1994,False,False,0.9548010884613404,0.9,0.06089009829037795,0.0,0.06089009829037817
1994-07-28,1994,False,False,1.0214152795928741,0.9500000000000001,0.0751739785188148,0.0,0.0751739785188148
1994-07-29,1994,False,True,1.0628794036174138,1.0,0.06287940361741384,0.0,0.06287940361741384
1994-08-01,1994,True,False,1.0985791305574002,1.0317437977272046,0.052805000117508216,-0.011245527178095571,0.06477900131546699
1994-08-02,1994,False,False,1.184074338905895,1.1130198830796678,0.08934839179342324,0.023978292433294524,0.06383934097351718
1994-08-03,1994,False,False,1.249090254213652,1.1758730993201896,0.10496445565053802,0.04019543401401404,0.062266204521381985
1994-08-04,1994,True,False,1.2827257540868937,1.2104969579809146,0.09269230903698333,0.031164075317075435,0.059668713440185206
1994-08-05,1994,False,False,1.3599289515449662,1.2812286880147863,0.11708449591193637,0.05243785086928865,0.06142561766402754
1994-08-08,1994,False,False,1.4362190721172359,1.3512225511979208,0.13907029857573883,0.07165926474317841,0.06290342093829171
1994-08-09,1994,False,False,1.473040707948371,1.389321524704051,0.12933120942708443,0.0651465022731057,0.06025904137787941
1994-08-10,1994,False,False,1.5032351728341662,1.4220650130032213,0.11530351532857464,0.05508049351851896,0.05707907802296863
1994-08-11,1994,True,False,1.5321631117170742,1.4537850085739505,0.10124223654664699,0.04490797491252696,0.05391313205245285
1994-08-12,1994,False,False,1.6042334213356944,1.5170904657875044,0.11810208153699908,0.05736608221553352,0.057440843188580004
1994-08-15,1994,False,False,1.6833745137181866,1.5852991672349859,0.13875334751524382,0.07240826018837287,0.06186551315374733
1994-08-16,1994,False,False,1.7588085937778724,1.6509372357831271,0.15578850448260173,0.08490161208605485,0.06533946636897814
1994-08-17,1994,False,False,1.8794476296628946,1.7479227444093386,0.2007582078401824,0.11672842003929973,0.07524639499899699
1994-08-18,1994,False,False,1.9427309471089367,1.8051348495651964,0.2076435617163659,0.12211085243241948,0.07622483028172833
1994-08-19,1994,False,False,2.0245493261690113,1.8752001192177574,0.22538511847071718,0.13498954584232692,0.07964440990626387
1994-08-22,1994,False,False,2.1529799527695626,1.9775887173638798,0.2697061259923059,0.16627026921459587,0.08868943975341792
1994-08-23,1994,False,False,2.1683810277126847,2.0015968142365868,0.2468190909347936,0.15091816818603743,0.08332557900263726
1994-08-24,1994,True,False,2.178805095370557,2.0221535984203642,0.22225651691519044,0.13437884789435062,0.07746765481740026
1994-08-25,1994,False,False,2.283743591758669,2.100597227152258,0.2506214907249853,0.1503270529643317,0.08718775890926
1994-08-26,1994,False,False,2.26852293470276,2.1106810624868695,0.21339598832938322,0.12896894039995344,0.07478243635251847
1994-08-29,1994,False,False,2.3575210977126786,2.1800560696016444,0.2323405738043547,0.139574763655405,0.08140388248980313
1994-08-30,1994,False,False,2.4246797488501115,2.237006351036273,0.2392807605233902,0.14335880164076165,0.0838948882406616
1994-08-31,1994,False,True,2.4471552607541827,2.2685359293551994,0.22357763037709133,0.13426796467759972,0.07873771320419576
1994-09-01,1994,False,False,2.539708476478689,2.361870477267473,0.24032274432680145,0.1534716284329518,0.07529540714568017
1994-09-02,1994,False,False,2.558291851225122,2.3799489688311217,0.22100292899380825,0.1358847351239445,0.07493559094319191
1994-09-05,1994,True,False,2.370152949799235,2.187710619660291,0.10607137657297616,0.02093162250813596,0.08339417859902953
1994-09-06,1994,False,False,2.5088975698220954,2.3139484094037233,0.14536628187530432,0.05636775211909084,0.08424957083144657
1994-09-08,1994,False,False,2.6963378801332962,2.4821984885227732,0.2047467123999831,0.10906740976549445,0.0862700515694712
1994-09-09,1994,False,False,2.782933214811907,2.563444393899408,0.21753328148020912,0.12150692233099103,0.08562261831575024
1994-09-12,1994,False,False,2.9093929038501702,2.67908333860279,0.24688267307864398,0.1481785736869099,0.08596580850205737
1994-09-13,1994,False,False,2.957061288541446,2.7267449518645686,0.241965741187407,0.14523287978311883,0.08446566904593888
1994-09-14,1994,False,False,2.987609709169849,2.7596362870986475,0.23019223318758475,0.13632082409944313,0.0826099523103756
1994-09-15,1994,False,False,2.9420310273515375,2.7268488355986045,0.18812791489196679,0.1012274143763594,0.07891240208982686
1994-09-16,1994,False,False,2.9927089734486776,2.7771069530669816,0.18579034797023053,0.10036313234729466,0.07763547606389065
1994-09-19,1994,False,False,3.0393906166954063,2.8239172534741375,0.18198523982599135,0.09819004301772027,0.07630300178101246
1994-09-20,1994,False,False,3.0305680536864292,2.8228412058087806,0.15712598413481826,0.07781209676335266,0.07358786156663477
1994-09-21,1994,False,False,3.1415852391175503,2.925157104337321,0.1780944646690812,0.09693391412649555,0.07398855072068344
1994-09-22,1994,False,False,3.2332622922355716,3.0107872709152614,0.19120189713942115,0.10923741560035949,0.07389264046299737
1994-09-23,1994,False,False,3.3094968417464505,3.0830943913183604,0.19826609787371474,0.11629279685664784,0.07343351246903551
1994-09-26,1994,False,False,3.264312856505957,3.050647464960166,0.16187406756991685,0.0858236739688727,0.07003935852960996
1994-09-27,1994,False,False,3.2884474577448124,3.0780052666391993,0.15095661021068407,0.07730184332371981,0.06836966570086145
1994-09-28,1994,False,False,3.365471400411328,3.1509934373259965,0.15860490833832586,0.08476823252206445,0.06806677555867657
1994-09-29,1994,False,False,3.4947433025665484,3.2690586236650523,0.1837033766757663,0.10726179188654994,0.06903659581622112
1994-09-30,1994,False,True,3.5627878980876955,3.334299847374785,0.18759596602923168,0.11143328245826178,0.0685265456532973
1994-10-04,1994,False,False,3.541956576488622,3.296399470218196,0.16029611988420345,0.07985499886458136,0.07449252085159808
1994-10-05,1994,False,False,3.511603199949681,3.2467645950575332,0.13085526778040557,0.04556825942530729,0.08157000519695967
1994-10-06,1994,False,False,3.4717277684708714,3.185395221892799,0.09938046001577594,0.008708486932719639,0.08988917438255273
