horizon_years,contribution_interval_days,annual_alpha_mean,annual_alpha_median,final_relative_advantage_mean,final_relative_advantage_median
1,15,0.03934525280669961,0.029368981827520235,0.08329544890664894,0.07028739071580947
1,30,0.06471112442110354,0.04732512661101618,0.15471325740559233,0.13157345702594436
1,45,0.08059074210577524,0.06032740295148675,0.21778958131485143,0.19299011675729094
1,60,0.09542254296535543,0.06940420627251365,0.2807012161687428,0.2485564748847695
1,90,0.11857524207477446,0.09585697287811923,0.4006627886818164,0.37177467874289616
1,120,0.12139028535859761,0.09137646870318017,0.49122269909013533,0.4408529874033038
2,15,0.01902220386325757,0.01562624789284306,0.05457251339829403,0.04998858977462439
2,30,0.03084812194830324,0.024535208455131685,0.09777002743985194,0.09353972887475992
2,45,0.03889316118726431,0.02872263609069048,0.13509122839727747,0.12456420074448071
2,60,0.043950241111603484,0.031213537029658456,0.1673074020621454,0.14874216350122071
2,90,0.058002534242265404,0.039200637233397506,0.2409340587495378,0.2141082616205654
2,120,0.06396802830411064,0.04959383491317526,0.2995570397067381,0.27735821499181834
3,15,0.014388640088772497,0.011399541949564718,0.04519499149965909,0.04431423815864721
3,30,0.022289497691227254,0.021177144488493393,0.0867650395647542,0.08448201284968992
3,45,0.028869728825877728,0.02718128211612414,0.11995231636311213,0.12883241279136226
3,60,0.03520659047077994,0.03059807672678483,0.15264181187594766,0.15510652898245825
3,90,0.0464491632064661,0.045467638829881696,0.21762961453385626,0.22045579740754295
3,120,0.05389758839090888,0.04442397920259067,0.27100851067800213,0.26089809878175596
4,15,0.009461330253188604,0.00916687172161157,0.04543316256906906,0.04592816218282869
4,30,0.014898406416906785,0.014374648004686463,0.07724967725003822,0.07330351015828929
4,45,0.019430310614128567,0.021387166845573846,0.10635515154527045,0.11149669553234176
4,60,0.023004897165099524,0.021552867999631742,0.13180922282663293,0.12255876029900525
4,90,0.02951870527773348,0.030313187676287434,0.1822371032043731,0.18079726253567552
4,120,0.034017947363368474,0.03009604981331737,0.22491527254582944,0.2016042666788891
5,15,0.007990883769772883,0.00732219539052259,0.04522562764710991,0.044037257085457915
5,30,0.012427852980536058,0.0120723288712975,0.07528760301320872,0.06977104652317623
5,45,0.016226430793852064,0.016124126051442533,0.10279015487097927,0.10145392319550561
5,60,0.019734788607100873,0.018953371785882522,0.12978273960402115,0.11901152094761835
5,90,0.024296917465732683,0.024647425678712143,0.1717134449901394,0.16608118552064566
5,120,0.028808786864734072,0.02641534090729869,0.21488430666443112,0.19133780700825676
6,15,0.006735402191266937,0.006188017643956822,0.04425486574874813,0.04341461709612204
6,30,0.01075121935301564,0.009578996007461371,0.07447627660163625,0.0700122961857148
6,45,0.014091272357062446,0.012907522344776545,0.10164381840125106,0.10231325290492888
6,60,0.016681982980063625,0.01539055690080915,0.12490228454682054,0.11218262685811009
