horizon_years,contribution_interval_days,window_count,theoretical_win_rate,annual_alpha_theoretical_p10,annual_alpha_theoretical_p25,annual_alpha_theoretical_median,annual_alpha_theoretical_p75,annual_alpha_theoretical_p90,annual_alpha_theoretical_min,annual_alpha_theoretical_max,implementable_win_rate,annual_alpha_implementable_p10,annual_alpha_implementable_p25,annual_alpha_implementable_median,annual_alpha_implementable_p75,annual_alpha_implementable_p90,annual_alpha_implementable_min,annual_alpha_implementable_max
1,15,5,1.0,0.02485799841625349,0.026589588033968825,0.029368981827520235,0.033011484954337256,0.06363615630967197,0.0237036053377766,0.0840526038798951,0.4,-0.005462485106554204,-0.002765947595805285,-0.0015253200188480864,0.00033605052060581286,0.010127261773494125,-0.007260176780386818,0.01665473594208633
1,30,5,1.0,0.03978195972622887,0.0419192748519438,0.04732512661101618,0.05945913938873559,0.10568065472233618,0.038357082975752244,0.13649499827806988,0.2,-0.008566827618827988,-0.006547109878312196,-0.005669032214212,-0.002631123000553126,0.01749892050439264,-0.009913306112505182,0.030918949507689808
1,45,5,1.0,0.05123603756213835,0.057063829778634556,0.06032740295148675,0.06846831330308478,0.12923331836795146,0.047350842751140876,0.16974332174452922,0.6,-0.0177126777920533,-0.010933920268015429,0.004330885108169258,0.015017435948333269,0.045167725938724784,-0.022231849474745213,0.06526791926565245
1,60,5,1.0,0.05944530933403751,0.06661450413633707,0.06940420627251365,0.07844985883894628,0.15616692320346395,0.05466584613250447,0.20797829944647572,0.4,-0.021679111772264736,-0.0034895872651261595,-0.001370147791149301,0.008080868794139384,0.04068449921892425,-0.033805461443690454,0.0624202528354475
1,90,5,1.0,0.0708987994689481,0.08546288866682361,0.09585697287811923,0.09666811456970059,0.1908865423811989,0.06118940667036443,0.2536988275888644,0.8,-0.016921450728823517,0.015704069539014598,0.01681793909545326,0.02588779958409182,0.039583950196119266,-0.03867179757404893,0.04871471727080423
1,120,5,1.0,0.06914979851321768,0.08278823689942616,0.09137646870318017,0.10334404084708004,0.20296872079136585,0.06005750625574535,0.26938517408755636,0.4,-0.05757617762822902,-0.008049566129833652,-0.005902200583514761,0.01821819938827196,0.030161678145150805,-0.09059391862715926,0.03812399731640337
2,15,5,1.0,0.010243153503577407,0.014250162874740457,0.01562624789284306,0.018641260400375836,0.030869424695466212,0.00757181392280204,0.039021534225526455,0.4,-0.004286862268113456,-0.002055513079109117,-0.0008249700615570177,0.000489765376277651,0.0010270468286926128,-0.005774428394116349,0.0013852344636359204
2,30,5,1.0,0.0162136472894475,0.02159145174222088,0.024535208455131685,0.03266856622489667,0.05075758988895971,0.012628444320931909,0.06281693899833507,0.2,-0.008147427871050716,-0.0052592847847725555,-0.004667399034099073,-0.00011449685788522679,0.004384509153451699,-0.010072856595236157,0.007383846494342983
2,45,5,1.0,0.021126289575614087,0.02811386083610601,0.02872263609069048,0.04334138325678705,0.06402856351318596,0.01646790873528614,0.07782001701745189,0.6,-0.007534644729573392,-0.006206995441049745,0.006883856307113856,0.009788261103595541,0.012163832571198486,-0.008419744255255823,0.013747546882933781
2,60,5,1.0,0.025499503158616044,0.03113589259920857,0.031213537029658456,0.03920887755289226,0.07355414392797917,0.021741910198221026,0.0964509881780371,0.4,-0.014278461614886728,-0.007763020645222829,-0.002128779947648818,7.5030609046899954e-06,0.009809542160022968,-0.018622088927995994,0.016344234892768483
