date,price,index_name,year,month,day,month_key,quarter_key,week_key,return_factor,investment_signal,cash_inflow,cash_balance,contribution,invested_wealth,wealth,total_contribution,wealth_return
1950-01-03,11.27,Nasdaq Composite,1950,1,3,195001,19501,195001,1.0,False,0.04,0.04,0.0,0.0,0.04,0.0,0.0
1950-01-04,11.39,Nasdaq Composite,1950,1,4,195001,19501,195001,1.010647737355812,False,0.04,0.08,0.0,0.0,0.08,0.0,0.0
1950-01-05,11.45,Nasdaq Composite,1950,1,5,195001,19501,195001,1.0052677787532922,False,0.04,0.12,0.0,0.0,0.12,0.0,0.0
1950-01-06,11.48,Nasdaq Composite,1950,1,6,195001,19501,195001,1.0026200873362447,False,0.04,0.16,0.0,0.0,0.16,0.0,0.0
1950-01-07,11.56,Nasdaq Composite,1950,1,7,195001,19501,195001,1.0069686411149825,False,0.04,0.2,0.0,0.0,0.2,0.0,0.0
1950-01-09,11.55,Nasdaq Composite,1950,1,9,195001,19501,195002,0.9991349480968859,False,0.04,0.24,0.0,0.0,0.24,0.0,0.0
1950-01-10,11.52,Nasdaq Composite,1950,1,10,195001,19501,195002,0.9974025974025973,False,0.04,0.28,0.0,0.0,0.28,0.0,0.0
1950-01-11,11.56,Nasdaq Composite,1950,1,11,195001,19501,195002,1.0034722222222223,False,0.04,0.32,0.0,0.0,0.32,0.0,0.0
1950-01-12,11.33,Nasdaq Composite,1950,1,12,195001,19501,195002,0.9801038062283737,False,0.04,0.36,0.0,0.0,0.36,0.0,0.0
1950-01-13,11.27,Nasdaq Composite,1950,1,13,195001,19501,195002,0.9947043248014121,False,0.04,0.4,0.0,0.0,0.4,0.0,0.0
1950-01-14,11.26,Nasdaq Composite,1950,1,14,195001,19501,195002,0.9991126885536824,False,0.04,0.44,0.0,0.0,0.44,0.0,0.0
1950-01-16,11.31,Nasdaq Composite,1950,1,16,195001,19501,195003,1.0044404973357017,False,0.04,0.48,0.0,0.0,0.48,0.0,0.0
1950-01-17,11.4,Nasdaq Composite,1950,1,17,195001,19501,195003,1.0079575596816976,False,0.04,0.52,0.0,0.0,0.52,0.0,0.0
1950-01-18,11.39,Nasdaq Composite,1950,1,18,195001,19501,195003,0.9991228070175439,False,0.04,0.56,0.0,0.0,0.56,0.0,0.0
1950-01-19,11.41,Nasdaq Composite,1950,1,19,195001,19501,195003,1.0017559262510973,False,0.04,0.6,0.0,0.0,0.6,0.0,0.0
1950-01-20,11.43,Nasdaq Composite,1950,1,20,195001,19501,195003,1.0017528483786151,False,0.04,0.64,0.0,0.0,0.64,0.0,0.0
1950-01-21,11.45,Nasdaq Composite,1950,1,21,195001,19501,195003,1.0017497812773404,False,0.04,0.68,0.0,0.0,0.68,0.0,0.0
1950-01-23,11.44,Nasdaq Composite,1950,1,23,195001,19501,195004,0.9991266375545852,False,0.04,0.72,0.0,0.0,0.72,0.0,0.0
1950-01-24,11.4,Nasdaq Composite,1950,1,24,195001,19501,195004,0.9965034965034966,False,0.04,0.76,0.0,0.0,0.76,0.0,0.0
1950-01-25,11.32,Nasdaq Composite,1950,1,25,195001,19501,195004,0.9929824561403509,False,0.04,0.8,0.0,0.0,0.8,0.0,0.0
1950-01-26,11.31,Nasdaq Composite,1950,1,26,195001,19501,195004,0.9991166077738516,False,0.04,0.84,0.0,0.0,0.84,0.0,0.0
1950-01-27,11.37,Nasdaq Composite,1950,1,27,195001,19501,195004,1.0053050397877983,False,0.04,0.88,0.0,0.0,0.88,0.0,0.0
1950-01-28,11.43,Nasdaq Composite,1950,1,28,195001,19501,195004,1.0052770448548813,False,0.04,0.92,0.0,0.0,0.92,0.0,0.0
1950-01-30,11.51,Nasdaq Composite,1950,1,30,195001,19501,195005,1.0069991251093613,False,0.04,0.96,0.0,0.0,0.96,0.0,0.0
1950-01-31,11.53,Nasdaq Composite,1950,1,31,195001,19501,195005,1.0017376194613379,True,0.04,1.0,1.0,1.0,1.0,1.0,0.0
1950-02-01,11.53,Nasdaq Composite,1950,2,1,195002,19501,195005,1.0,False,0.045454545454545456,0.045454545454545456,0.0,1.0,1.0454545454545454,1.0,0.0
1950-02-02,11.65,Nasdaq Composite,1950,2,2,195002,19501,195005,1.0104076322636601,False,0.045454545454545456,0.09090909090909091,0.0,1.0104076322636601,1.101316723172751,1.0,0.009540329575021822
1950-02-03,11.69,Nasdaq Composite,1950,2,3,195002,19501,195005,1.0034334763948498,False,0.045454545454545456,0.13636363636363635,0.0,1.0138768430182135,1.15024047938185,1.0,0.012211621856027977
1950-02-04,11.73,Nasdaq Composite,1950,2,4,195002,19501,195005,1.0034217279726263,False,0.045454545454545456,0.18181818181818182,0.0,1.017346053772767,1.1991642355909489,1.0,0.014677430115418222
1950-02-06,11.71,Nasdaq Composite,1950,2,6,195002,19501,195006,0.9982949701619779,False,0.045454545454545456,0.2272727272727273,0.0,1.0156114483954906,1.2428841756682178,1.0,0.012720439433362651
1950-02-07,11.65,Nasdaq Composite,1950,2,7,195002,19501,195006,0.9948761742100768,False,0.045454545454545456,0.2727272727272727,0.0,1.0104076322636604,1.283134904990933,1.0,0.008177425350018863
1950-02-08,11.63,Nasdaq Composite,1950,2,8,195002,19501,195006,0.9982832618025751,False,0.045454545454545456,0.3181818181818182,0.0,1.0086730268863837,1.3268548450682018,1.0,0.0065795376379462756
1950-02-09,11.68,Nasdaq Composite,1950,2,9,195002,19501,195006,1.004299226139295,False,0.045454545454545456,0.36363636363636365,0.0,1.0130095403295754,1.3766459039659389,1.0,0.009540329575021822
1950-02-10,11.65,Nasdaq Composite,1950,2,10,195002,19501,195006,0.9974315068493151,False,0.045454545454545456,0.4090909090909091,0.0,1.0104076322636604,1.4194985413545695,1.0,0.007386061606468708
1950-02-11,11.63,Nasdaq Composite,1950,2,11,195002,19501,195006,0.9982832618025751,False,0.045454545454545456,0.4545454545454546,0.0,1.0086730268863837,1.4632184814318383,1.0,0.00596270598438875
1950-02-14,11.53,Nasdaq Composite,1950,2,14,195002,19501,195007,0.99140154772141,False,0.045454545454545456,0.5,0.0,1.0,1.5,1.0,0.0
1950-02-15,11.53,Nasdaq Composite,1950,2,15,195002,19501,195007,1.0,False,0.045454545454545456,0.5454545454545454,0.0,1.0,1.5454545454545454,1.0,0.0
1950-02-16,11.49,Nasdaq Composite,1950,2,16,195002,19501,195007,0.9965307892454467,False,0.045454545454545456,0.5909090909090909,0.0,0.9965307892454467,1.5874398801545375,1.0,-0.002180646760004956
1950-02-17,11.59,Nasdaq Composite,1950,2,17,195002,19501,195007,1.0087032201914707,False,0.045454545454545456,0.6363636363636364,0.0,1.00520381613183,1.6415674524954662,1.0,0.0031801098583406073
1950-02-18,11.65,Nasdaq Composite,1950,2,18,195002,19501,195007,1.005176876617774,False,0.045454545454545456,0.6818181818181819,0.0,1.01040763226366,1.6922258140818418,1.0,0.006188321886500425
1950-02-20,11.63,Nasdaq Composite,1950,2,20,195002,19501,195008,0.9982832618025751,False,0.045454545454545456,0.7272727272727273,0.0,1.0086730268863833,1.7359457541591106,1.0,0.005021226092116526
1950-02-21,11.61,Nasdaq Composite,1950,2,21,195002,19501,195008,0.9982803095442819,False,0.045454545454545456,0.7727272727272727,0.0,1.0069384215091064,1.779665694236379,1.0,0.003913981364111363
