date,year,investment_signal_a,investment_signal_b,wealth_a,wealth_b,wealth_return_a,wealth_return_b,relative_advantage
1950-01-03,1950,False,False,0.04,0.04,0.0,0.0,0.0
1950-01-04,1950,False,False,0.08,0.08,0.0,0.0,0.0
1950-01-05,1950,False,False,0.12,0.12,0.0,0.0,0.0
1950-01-06,1950,False,False,0.16,0.16,0.0,0.0,0.0
1950-01-07,1950,False,False,0.2,0.2,0.0,0.0,0.0
1950-01-09,1950,False,False,0.24,0.24,0.0,0.0,0.0
1950-01-10,1950,False,False,0.28,0.28,0.0,0.0,0.0
1950-01-11,1950,False,False,0.32,0.32,0.0,0.0,0.0
1950-01-12,1950,False,False,0.36,0.36,0.0,0.0,0.0
1950-01-13,1950,False,False,0.4,0.4,0.0,0.0,0.0
1950-01-14,1950,False,False,0.44,0.44,0.0,0.0,0.0
1950-01-16,1950,False,False,0.48,0.48,0.0,0.0,0.0
1950-01-17,1950,False,False,0.52,0.52,0.0,0.0,0.0
1950-01-18,1950,False,False,0.56,0.56,0.0,0.0,0.0
1950-01-19,1950,False,False,0.6,0.6,0.0,0.0,0.0
1950-01-20,1950,False,False,0.64,0.64,0.0,0.0,0.0
1950-01-21,1950,False,False,0.68,0.68,0.0,0.0,0.0
1950-01-23,1950,False,False,0.72,0.72,0.0,0.0,0.0
1950-01-24,1950,False,False,0.76,0.76,0.0,0.0,0.0
1950-01-25,1950,False,False,0.8,0.8,0.0,0.0,0.0
1950-01-26,1950,False,False,0.84,0.84,0.0,0.0,0.0
1950-01-27,1950,False,False,0.88,0.88,0.0,0.0,0.0
1950-01-28,1950,False,False,0.92,0.92,0.0,0.0,0.0
1950-01-30,1950,False,False,0.96,0.96,0.0,0.0,0.0
1950-01-31,1950,False,True,1.0,1.0,0.0,0.0,0.0
1950-02-01,1950,False,False,1.0454545454545454,1.0454545454545454,0.0,0.0,0.0
1950-02-02,1950,False,False,1.0909090909090908,1.101316723172751,0.0,0.009540329575021822,-0.00945017182130592
1950-02-03,1950,False,False,1.1363636363636365,1.15024047938185,0.0,0.012211621856027977,-0.012064297220413467
1950-02-04,1950,False,False,1.1818181818181819,1.1991642355909489,0.0,0.014677430115418222,-0.014465119337234822
1950-02-06,1950,False,False,1.2272727272727273,1.2428841756682178,0.0,0.012720439433362651,-0.012560662289466618
1950-02-07,1950,False,False,1.2727272727272727,1.283134904990933,0.0,0.008177425350018863,-0.008111097456065197
1950-02-08,1950,False,False,1.3181818181818181,1.3268548450682018,0.0,0.0065795376379462756,-0.006536530290875864
1950-02-09,1950,False,False,1.3636363636363638,1.3766459039659389,0.0,0.009540329575021822,-0.00945017182130592
1950-02-10,1950,False,False,1.4090909090909092,1.4194985413545695,0.0,0.007386061606468708,-0.007331907684617112
1950-02-11,1950,False,False,1.4545454545454546,1.4632184814318383,0.0,0.00596270598438875,-0.005927362862377716
1950-02-14,1950,False,False,1.5,1.5,0.0,0.0,0.0
1950-02-15,1950,False,False,1.5454545454545454,1.5454545454545454,0.0,0.0,0.0
1950-02-16,1950,False,False,1.590909090909091,1.5874398801545375,0.0,-0.002180646760004956,0.0021854123724143193
1950-02-17,1950,False,False,1.6363636363636365,1.6415674524954662,0.0,0.0031801098583406073,-0.0031700288184436376
1950-02-18,1950,False,False,1.6818181818181819,1.6922258140818418,0.0,0.006188321886500425,-0.006150262085031999
1950-02-20,1950,False,False,1.7272727272727273,1.7359457541591106,0.0,0.005021226092116526,-0.004996139346868267
1950-02-21,1950,False,False,1.7727272727272727,1.779665694236379,0.0,0.003913981364111363,-0.0038987218394876955
1950-02-23,1950,False,False,1.8181818181818181,1.8268548450682016,0.0,0.004770164787510689,-0.004747518342684609
1950-02-24,1950,False,False,1.8636363636363638,1.8766459039659384,0.0,0.006980728957332705,-0.006932336197298272
1950-02-25,1950,False,False,1.9090909090909092,1.9212331467318458,0.0,0.006360219716680993,-0.006320022981901707
1950-02-27,1950,False,False,1.9545454545454546,1.9675549948750295,0.0,0.00665604388954999,-0.006612033901701064
1950-02-28,1950,False,True,2.0,2.009540329575022,0.0,0.004770164787510911,-0.004747518342684609
1950-03-01,1950,False,False,2.037037037037037,2.0483037758299067,0.0,0.0055309444983178135,-0.005500521419633975
1950-03-02,1950,False,False,2.074074074074074,2.0853408128669435,0.0,0.005432177632276325,-0.005402828508103696
1950-03-03,1950,False,False,2.111111111111111,2.1292834867753725,0.0,0.00860796741991332,-0.008534502698737345
1950-03-04,1950,False,False,2.1481481481481484,2.1697733422481056,0.0,0.010066900701704462,-0.009966568248806706
1950-03-06,1950,False,False,2.185185185185185,2.206810379285143,0.0,0.009896275266082277,-0.009799298708647042
1950-03-07,1950,False,False,2.2222222222222223,2.2300361425793964,0.0,0.003516264160728255,-0.003503943370234408
1950-03-08,1950,False,False,2.259259259259259,2.265346770398585,0.0,0.002694472143636162,-0.0026872314732877545
1950-03-09,1950,False,False,2.2962962962962963,2.2885725336928386,0.0,-0.003363574036989614,0.003374925849955357
1950-03-10,1950,False,False,2.3333333333333335,2.3273359799477245,0.0,-0.0025702943081181706,0.0025769177451309133
1950-03-11,1950,False,False,2.3703703703703702,2.371278653856153,0.0,0.0003831820955646492,-0.00038303532328676226
1950-03-13,1950,False,False,2.4074074074074074,2.4048628724574943,0.0,-0.001056960671502405,0.0010580790194132383
1950-03-14,1950,False,False,2.4444444444444446,2.457437592455163,0.0,0.0053153787316573275,-0.005287274863300606
1950-03-15,1950,False,False,2.4814814814814814,2.516917949324223,0.0,0.014280367638119795,-0.014079309916422256
1950-03-16,1950,False,False,2.5185185185185186,2.5591342140148043,0.0,0.016126820270583986,-0.015870873545380526
1950-03-17,1950,False,False,2.5555555555555554,2.5909920233982975,0.0,0.013866443938464368,-0.013676795421494359
1950-03-18,1950,False,False,2.5925925925925926,2.6332082880888783,0.0,0.015666053977138716,-0.015424414270609699
1950-03-20,1950,False,False,2.6296296296296298,2.665066097472371,0.0,0.013475839883859253,-0.013296656272934526
1950-03-21,1950,False,False,2.6666666666666665,2.702103134509408,0.0,0.013288675441028186,-0.013114402403879954
1950-03-22,1950,False,False,2.7037037037037037,2.751225036071381,0.0,0.017576383204483292,-0.017272790027941576
1950-03-23,1950,False,False,2.740740740740741,2.7899884823262653,0.0,0.017968770578502324,-0.01765159315082976
1950-03-24,1950,False,False,2.7777777777777777,2.8270255193633025,0.0,0.017729186970788957,-0.01742033853186309
1950-03-25,1950,False,False,2.814814814814815,2.8692417840538837,0.0,0.01933589696651139,-0.018969112168083058
1950-03-27,1950,False,False,2.8518518518518516,2.889014728912441,0.0,0.013031138709557188,-0.012863512493956453
1950-03-28,1950,False,False,2.888888888888889,2.9346838120387178,0.0,0.015852088782633,-0.01560472135429658
1950-03-29,1950,False,False,2.925925925925926,2.961362393768667,0.0,0.012111197870303902,-0.01196627198255329
1950-03-30,1950,False,False,2.962962962962963,2.981135338627224,0.0,0.0061331767866881215,-0.00609579022756801
1950-03-31,1950,False,True,3.0,3.0181723756642618,0.0,0.006057458554753925,-0.006020986677496287
1950-04-01,1950,False,False,3.0416666666666665,3.0675845659639416,0.0,0.00852095319362478,-0.00844896000092199
1950-04-03,1950,False,False,3.0833333333333335,3.1428151683736667,0.0,0.019291405959027008,-0.018926291192336908
1950-04-04,1950,False,False,3.125,3.187063676251338,0.0,0.019860376400428148,-0.019473622919369382
1950-04-05,1950,False,False,3.1666666666666665,3.241639548973027,0.0,0.023675647044113957,-0.023128074905833573
