date,year,investment_signal_a,investment_signal_b,wealth_a,wealth_b,wealth_return_a,wealth_return_b,relative_advantage
1950-01-03,1950,False,False,0.04,0.04,0.0,0.0,0.0
1950-01-04,1950,False,False,0.08,0.08,0.0,0.0,0.0
1950-01-05,1950,False,False,0.12,0.12,0.0,0.0,0.0
1950-01-06,1950,False,False,0.16,0.16,0.0,0.0,0.0
1950-01-07,1950,False,False,0.2,0.2,0.0,0.0,0.0
1950-01-09,1950,False,False,0.24,0.24,0.0,0.0,0.0
1950-01-10,1950,False,False,0.28,0.28,0.0,0.0,0.0
1950-01-11,1950,False,False,0.32,0.32,0.0,0.0,0.0
1950-01-12,1950,False,False,0.36,0.36,0.0,0.0,0.0
1950-01-13,1950,False,False,0.4,0.4,0.0,0.0,0.0
1950-01-14,1950,True,False,0.44,0.44,0.0,0.0,0.0
1950-01-16,1950,False,False,0.4819538188277087,0.48,0.00407045589105981,0.0,0.00407045589105981
1950-01-17,1950,False,False,0.5254706927175844,0.52,0.010520562918431509,0.0,0.010520562918431509
1950-01-18,1950,False,False,0.5650799289520427,0.56,0.009071301700076306,0.0,0.009071301700076306
1950-01-19,1950,False,False,0.6058614564831261,0.6,0.009769094138543544,0.0,0.009769094138543544
1950-01-20,1950,False,False,0.6466429840142095,0.64,0.010379662522202349,0.0,0.010379662522202349
1950-01-21,1950,False,False,0.687424511545293,0.68,0.010918399331313333,0.0,0.010918399331313333
1950-01-23,1950,False,False,0.7270337477797513,0.72,0.009769094138543544,0.0,0.009769094138543544
1950-01-24,1950,False,False,0.7654706927175843,0.76,0.00719827989155819,0.0,0.00719827989155819
1950-01-25,1950,False,False,0.8023445825932505,0.8,0.00293072824156293,0.0,0.00293072824156293
1950-01-26,1950,False,False,0.8419538188277087,0.84,0.0023259747948911613,0.0,0.0023259747948913834
1950-01-27,1950,False,False,0.8842984014209591,0.88,0.00488454706927155,0.0,0.00488454706927155
1950-01-28,1950,False,False,0.9266429840142094,0.92,0.007220634798053682,0.0,0.007220634798053682
1950-01-30,1950,False,False,0.9697690941385435,0.96,0.010176139727649636,0.0,0.010176139727649636
1950-01-31,1950,False,True,1.010550621669627,1.0,0.010550621669626947,0.0,0.010550621669626947
1950-02-01,1950,False,False,1.0560051671241724,1.0454545454545454,0.010091898988338732,0.0,0.010091898988338732
1950-02-02,1950,False,False,1.1061488777652186,1.101316723172751,0.013969804618117143,0.009540329575021822,0.004387615742859952
1950-02-03,1950,False,False,1.153166478281931,1.15024047938185,0.014786500888099186,0.012211621856027977,0.002543814926121879
1950-02-04,1950,False,False,1.2001840787986437,1.1991642355909489,0.015540374368083087,0.014677430115418222,0.0008504616610687243
1950-02-06,1950,False,False,1.2448570967221058,1.2428841756682178,0.01432800473653062,0.012720439433362651,0.001587373218286503
1950-02-07,1950,False,False,1.2879670595834005,1.283134904990933,0.01197411824410044,0.008177425350018863,0.0037658975480068246
1950-02-08,1950,False,False,1.3326400775068625,1.3268548450682018,0.01096833466037861,0.0065795376379462756,0.004360109517754562
1950-02-09,1950,False,False,1.3800484417891168,1.3766459039659389,0.01203552397868557,0.009540329575021822,0.002471614387821619
1950-02-10,1950,False,False,1.424330695947037,1.4194985413545695,0.010815332607574613,0.007386061606468708,0.0034041279027003934
1950-02-11,1950,False,False,1.469003713870499,1.4632184814318383,0.00994005328596792,0.00596270598438875,0.003953772120893095
1950-02-14,1950,False,False,1.510550621669627,1.5,0.007033747779751298,0.0,0.007033747779751298
1950-02-15,1950,False,False,1.5560051671241724,1.5454545454545454,0.006826872845052678,0.0,0.006826872845052678
1950-02-16,1950,True,False,1.5998966575165507,1.5874398801545375,0.005649327581831898,-0.002180646760004956,0.00784708606463913
1950-02-17,1950,False,False,1.6592754558650606,1.6415674524954662,0.014001667473092727,0.0031801098583406073,0.010787252965252847
1950-02-18,1950,False,False,1.713084553055985,1.6922258140818418,0.01859081533058582,0.006188321886500425,0.012326214858896067
1950-02-20,1950,False,False,1.7557542479317374,1.7359457541591106,0.016489301434163828,0.005021226092116526,0.011410779239597879
1950-02-21,1950,False,False,1.79842394280749,1.779665694236379,0.01449555748114828,0.003913981364111363,0.010540321495133176
1950-02-23,1950,False,False,1.8466633388408284,1.8268548450682016,0.015664836362455636,0.004770164787510689,0.010842948921805151
1950-02-24,1950,False,False,1.8990800107423562,1.8766459039659384,0.01901854234955702,0.006980728957332705,0.011954363222709041
1950-02-25,1950,False,False,1.9431421309075052,1.9212331467318458,0.017836354284883837,0.006360219716680993,0.011403605133988082
1950-02-27,1950,False,False,1.9899891016514473,1.9675549948750295,0.01813395898446135,0.00665604388954999,0.01140202273118307
1950-02-28,1950,False,True,2.029873945948407,2.009540329575022,0.014936972974203488,0.004770164787510911,0.01011854107833976
1950-03-01,1950,False,False,2.0683034082748404,2.0483037758299067,0.015348945880376164,0.0055309444983178135,0.009763997255158419
1950-03-02,1950,False,False,2.1053404453118776,2.0853408128669435,0.015074857561083954,0.005432177632276325,0.009590582182793517
1950-03-03,1950,False,False,2.1479471835065005,2.1292834867753725,0.01744866587150029,0.00860796741991332,0.008765247486793193
1950-03-04,1950,False,False,2.1877690711223305,2.1697733422481056,0.01844422276384372,0.010066900701704462,0.008293828910064693
1950-03-06,1950,False,False,2.2248061081593677,2.206810379285143,0.0181316088186938,0.009896275266082277,0.008154633059163974
1950-03-07,1950,False,False,2.2507037428812326,2.2300361425793964,0.012816684296554692,0.003516264160728255,0.009267831990350972
1950-03-08,1950,False,False,2.286348354628873,2.265346770398585,0.011990255327534172,0.002694472143636162,0.009270803262757532
1950-03-09,1950,False,False,2.3122459893507386,2.2885725336928386,0.006945834072095813,-0.003363574036989614,0.01034420159701055
1950-03-10,1950,False,False,2.350675451677173,2.3273359799477245,0.0074323364330741715,-0.0025702943081181706,0.010028406697847103
1950-03-11,1950,False,False,2.3932821898717953,2.371278653856153,0.009665923852163694,0.0003831820955646492,0.009279186138609452
1950-03-13,1950,False,False,2.4275343763300397,2.4048628724574943,0.008360433244785748,-0.001056960671502405,0.009427358263208507
1950-03-14,1950,False,False,2.477103240971645,2.457437592455163,0.013360416761127647,0.0053153787316573275,0.008002501702122355
1950-03-15,1950,False,False,2.532241806770836,2.516917949324223,0.020455653474814595,0.014280367638119795,0.006088342073577335
1950-03-16,1950,False,False,2.5734561196760626,2.5591342140148043,0.02181345928314271,0.016126820270583986,0.005596387083891985
1950-03-17,1950,True,False,2.60631588084491,2.5909920233982975,0.01986273598279098,0.013866443938464368,0.005914281984748859
1950-03-18,1950,False,False,2.649984764906998,2.6332082880888783,0.02213698074984216,0.015666053977138716,0.0063711165174464846
1950-03-20,1950,False,False,2.680389954918984,2.665066097472371,0.01930322229313486,0.013475839883859253,0.00574989770840828
1950-03-21,1950,False,False,2.717426991956021,2.702103134509408,0.019035121983507874,0.013288675441028186,0.005671085330129388
1950-03-22,1950,False,False,2.769938338718176,2.751225036071381,0.02449774171768171,0.017576383204483292,0.00680180734089153
1950-03-23,1950,False,False,2.8091859914302293,2.7899884823262653,0.024973267143462152,0.017968770578502324,0.006880856041368677
1950-03-24,1950,False,False,2.8462230284672665,2.8270255193633025,0.0246402902482159,0.017729186970788957,0.00679070951870564
1950-03-25,1950,False,False,2.8898919125293543,2.8692417840538837,0.026672126819639264,0.01933589696651139,0.007197068086152836
1950-03-27,1950,False,False,2.9048227928162222,2.889014728912441,0.018574226052441745,0.013031138709557188,0.0054717837695941185
