horizon_years,contribution_interval_days,annual_alpha_mean,annual_alpha_median,final_relative_advantage_mean,final_relative_advantage_median
1,15,0.019443083910190007,0.01617220188694435,0.060812877237247466,0.056751698336080736
1,30,0.03271436432715569,0.029352700240508733,0.11695212903641306,0.11204474249689289
1,45,0.044458467727983474,0.03483085273068687,0.17280275867790462,0.16031937998905232
1,60,0.04895448592354703,0.04048866149354535,0.22146149944913826,0.20893895110431804
1,90,0.0629014104172515,0.05495865247994858,0.3249349604736573,0.31317528882696566
1,120,0.07280660362509657,0.06493073585867659,0.42658385290669465,0.41345417003211504
2,15,0.009752644659084608,0.009092408543360908,0.04024349822089483,0.03994717934969083
2,30,0.016539348158545474,0.015208141947938958,0.07543183367613104,0.07556474787171852
2,45,0.0228187622155408,0.02267970424211241,0.11032685257897015,0.11434180028978824
2,60,0.02445392899826191,0.022148983516319998,0.13556234862958835,0.1304929301734985
2,90,0.03419941374351716,0.03196189746129996,0.20145311724440992,0.20267893867185705
2,120,0.03836446701494663,0.035266776726532,0.25605033349374373,0.24889481396564572
3,15,0.006366683304800036,0.005718922006212379,0.029215436165347476,0.030317286841560653
3,30,0.010277584698198927,0.009851505701498064,0.05782451870257273,0.05631905401465742
3,45,0.013487459216313802,0.01128748109071509,0.08180626896620495,0.0755816947509127
3,60,0.01588545947405855,0.015427136982117284,0.10360008600002621,0.1017522680152827
3,90,0.020861925675736616,0.01903326697715335,0.14854035761131046,0.14212683223840772
3,120,0.02611322212713234,0.021976222309849858,0.1955334672138048,0.18095382055520792
4,15,0.004837601964765392,0.004670133196462922,0.029159193604709845,0.029188378550637717
4,30,0.007758044709393941,0.00751174360787954,0.05151551146837976,0.051083230634340726
4,45,0.01032327690724193,0.00935067505683107,0.07272907752792505,0.07014264597818087
4,60,0.012087098178264633,0.01208606121987077,0.0908538711984812,0.09130917733834454
4,90,0.015256278527141953,0.015587095911421711,0.12618126957715475,0.1263212897903927
4,120,0.019110058357557323,0.01895418115170533,0.16524774960006483,0.16296284656040094
5,15,0.0038612087407881024,0.0036808992292138853,0.02691293856424788,0.0267442639229869
5,30,0.006179135087650112,0.006282109440049366,0.04688410585219978,0.048628895505097525
5,45,0.008397874352260092,0.008926800494565512,0.06662481053772842,0.07016940568840346
5,60,0.009850821469556426,0.010175685862648942,0.08267730029790207,0.0853431793560886
5,90,0.01264548232569065,0.012456583295638257,0.11488643771622878,0.11359547912997692
5,120,0.016097283713091846,0.015823775216509572,0.15114395389424556,0.14865087695213575
6,15,0.0035622302071889322,0.0030272142276575043,0.02620777857647334,0.024823744994766805
6,30,0.005929359013084135,0.005143167999282161,0.04590789671089599,0.044497101905533576
6,45,0.007649167725366457,0.0067753684833549155,0.06645462132700933,0.06185720606260481
6,60,0.008999619865467868,0.008981491323460933,0.08204139924855332,0.08288187360400157
6,90,0.012235767940842912,0.011220306346097608,0.11722353253272097,0.11172308203002945
6,120,0.014108762662342489,0.01381473862513638,0.1441453960715883,0.14371976354875948
7,15,0.0030286430415208177,0.0025948138480622607,0.02685235520366396,0.0234428227500465
7,30,0.005116252230588603,0.004523454697722418,0.04758849541196786,0.042874868463158355
7,45,0.006649694479268909,0.005746875851554867,0.0649185728331791,0.0575295659432995
7,60,0.008259090345420873,0.0077272934837950835,0.08291543483026245,0.07781873891676128
7,90,0.010614583945145962,0.00974896658972968,0.11327804551696637,0.10502788265452478
7,120,0.012913398712229695,0.012661312038953376,0.14357773014875788,0.13955341604286509
8,15,0.0027751731421781444,0.0024769080580810954,0.027363782215110665,0.025604987756173703
8,30,0.0046801792022383324,0.004301020168279268,0.04819800381412218,0.047164542315631275
8,45,0.006228929495139157,0.005555253489411882,0.06653928348883706,0.06370990345252414
8,60,0.007496746462649684,0.00695226053034359,0.08276995842259369,0.08164044200137366
8,90,0.010001557571383568,0.009287794826962736,0.11556225114322043,0.11229805774086388
8,120,0.011624377061943992,0.010694538140788024,0.14112120700444092,0.13844195231888046
9,15,0.0024282662216428717,0.0021549299619247897,0.02609629715306192,0.02444688516822402
9,30,0.004064811742091945,0.003864137656811595,0.045679663417493147,0.04524538320611349
9,45,0.005344430190668792,0.004816536516046077,0.06203700618179999,0.05902975628424589
9,60,0.00669436817298037,0.006580879035208764,0.07985353005380547,0.08123358777885747
9,90,0.00849311201067513,0.00826389778398251,0.1069371427536566,0.10779357558703473
9,120,0.01052106325116795,0.009791737833940162,0.13676770721698644,0.13324369084868892
10,15,0.0021834484015791577,0.0019043773611273629,0.0254716010660486,0.023278930253403107
10,30,0.0036479072155362947,0.0033289276206898144,0.0443543925477166,0.042121424500230376
10,45,0.004773835896403189,0.004348616438782704,0.0598598205060771,0.0569574094179508
10,60,0.005781871615617629,0.005386559275478264,0.07477100795935691,0.07242518289098832
10,90,0.007551947526035075,0.007094811948808344,0.10223246848240701,0.09962628571821153
10,120,0.009071097613506529,0.008614364485363568,0.12740580934397921,0.12532908126956177
12,15,0.0018759112143482248,0.0016258393193226972,0.024652902025087454,0.0219109448923962
12,30,0.0030591540480185307,0.00280241828299177,0.04152793949131128,0.0390226149997539
12,45,0.0040481682528210605,0.003986817640446949,0.05844482387029504,0.056533960216279544
12,60,0.004888230152339901,0.004758880195651516,0.06940428618707065,0.06927651589182404
12,90,0.006331324103598846,0.006322859149656912,0.09789054857582835,0.09583238789963633
12,120,0.007556672137259701,0.00732710371062506,0.12103874013580626,0.11574092335431341
15,15,0.0014289197078267701,0.001268969107679263,0.023416107220905147,0.02066913424500494
15,30,0.002361820271895798,0.002172568612253789,0.039983617405469074,0.03650480692022473
15,45,0.003242711384734731,0.0030415251949158506,0.05607238348914127,0.051983266580931664
15,60,0.0039036212683480455,0.003816474889778876,0.06893109690659567,0.0662941592100994
15,90,0.005125883743594972,0.005083096843117696,0.09389597950200779,0.09135807705570076
15,120,0.006239944092812211,0.006255745906379895,0.11743412180514667,0.11418679325541814
20,15,0.0011079130166109508,0.0010610134775825841,0.02270701286135628,0.02176885014018315
20,30,0.0018059570793028002,0.0018788669532516789,0.03873733691934298,0.039353719088463635
20,45,0.0023481177457286063,0.0024830106569178056,0.05152271592308875,0.05308848375257047
20,60,0.0029606081172470324,0.003268724418684865,0.06586051828700983,0.07059699565442523
20,90,0.0037104479697005035,0.003995406055596895,0.08534970895918552,0.08957798208842749
20,120,0.004691796760926348,0.004914861246713587,0.11022734604852383,0.11281168260654661
