horizon_years,contribution_interval_days,window_count,theoretical_win_rate,annual_alpha_theoretical_p10,annual_alpha_theoretical_p25,annual_alpha_theoretical_median,annual_alpha_theoretical_p75,annual_alpha_theoretical_p90,annual_alpha_theoretical_min,annual_alpha_theoretical_max,implementable_win_rate,annual_alpha_implementable_p10,annual_alpha_implementable_p25,annual_alpha_implementable_median,annual_alpha_implementable_p75,annual_alpha_implementable_p90,annual_alpha_implementable_min,annual_alpha_implementable_max
1,15,5,1.0,0.01483970380081967,0.014882275844740445,0.01617220188694435,0.024343256570080296,0.025941120314619592,0.01481132243820582,0.027006362810979123,0.0,-0.011276203056996791,-0.006852040319353492,-0.005183616665099144,-0.003408609264496487,-0.0020422391243864356,-0.014225644882092325,-0.0011313256976464015
1,30,5,1.0,0.023360731226657806,0.02438883155765592,0.029352700240508733,0.04169987005616571,0.04395300128773969,0.022675331005992394,0.045455088775455676,0.0,-0.01763813900103046,-0.010431403113099424,-0.006613916940596987,-0.0028073580323384473,-0.002119395427203674,-0.022442629592984487,-0.0016607536904471587
1,45,5,1.0,0.03177905148222839,0.03224534414262936,0.03483085273068687,0.057177881177492784,0.06281319499928548,0.03146818970862775,0.06657007088048061,0.4,-0.018321538502077805,-0.015415494743296287,-0.0008318657810015839,0.0027589883331746723,0.004653578071944775,-0.02025890100793215,0.00591663789779151
1,60,5,1.0,0.03412106467612146,0.039188929670752604,0.04048866149354535,0.04775310170716529,0.07106078992280884,0.03074248801303403,0.08659924873323788,0.4,-0.02703256172994266,-0.009332505036332206,-0.003586678521803721,0.004268133041589017,0.012258326478740101,-0.038832599525682965,0.01758512210350749
1,90,5,1.0,0.03698072421766576,0.04633904159265567,0.05495865247994858,0.08022419679107262,0.09343566786937393,0.030741845967672488,0.10224331525490815,0.4,-0.03173715339169325,-0.009328815192186202,-0.003364130254114306,0.019662345271529436,0.026120678500552486,-0.04667604552469795,0.030426233986567852
1,120,5,1.0,0.0460896923319539,0.06127569151259782,0.06493073585867659,0.07320270416712882,0.10647599789218452,0.03596569287819129,0.1286581937088883,0.8,-0.03759814571538933,6.481642685973732e-05,0.006276183516870759,0.024096502541984366,0.04310013228093548,-0.06270678714355538,0.05576921877356955
2,15,5,1.0,0.007905743021240941,0.00872516350051078,0.009092408543360908,0.009588919927559614,0.01223392914438226,0.007359462701727715,0.013997268622264025,0.4,-0.0018934971229948693,-0.0016296093829935021,-0.00040764866343567796,0.0007425986325750866,0.0014932638685203337,-0.002069422282995781,0.0019937073591504983
2,30,5,1.0,0.01259864437072209,0.013635089036570625,0.015208141947938958,0.017287861000531368,0.021709924928730563,0.0119076812601564,0.024657967547530024,0.4,-0.004628953623840415,-0.0027647069502008126,-6.251811611135416e-05,0.003930870909205075,0.004072227198349987,-0.00587178473960015,0.004166464724446595
2,45,5,1.0,0.017966477123821756,0.01873386961694945,0.02267970424211241,0.024868223247521914,0.028161568404638924,0.017454882128403293,0.030357131842716933,0.4,-0.003368588819169549,-0.00041414141673001836,-5.412261318227252e-06,0.00013820198489167268,0.002952236994604918,-0.005338220420795903,0.004828260334413748
2,60,5,1.0,0.020112046649678472,0.02119597371912385,0.022148983516319998,0.024856959118821575,0.030749763667726172,0.019389428603381553,0.03467830003366257,0.4,-0.007981467154367781,-0.0008348845646208858,-0.00037044912143913145,0.005499638594642864,0.005687166810318689,-0.012745855547532381,0.005812185620769239
