horizon_years,contribution_interval_days,annual_alpha_mean,annual_alpha_median,final_relative_advantage_mean,final_relative_advantage_median
1,15,0.027764401364979197,0.023973439039503885,0.059316079987295864,0.06149114018230195
1,30,0.042408194235392924,0.04276006952839806,0.10750896317946315,0.120490583447596
1,45,0.05709299526259359,0.049833433507412206,0.15688509426700242,0.17054834715098788
1,60,0.07000059227721826,0.06815026836768534,0.2054393343293694,0.21205561348352742
1,90,0.07315023227057113,0.06130094789813101,0.27940059038921505,0.31920866948905724
1,120,0.11149783010047332,0.09379712318397937,0.39646342361511994,0.41766631809061705
2,15,0.014285181191260054,0.014153087106243412,0.047391514992731046,0.04664350662521222
2,30,0.02092159818607935,0.02146882585923926,0.08169642699071891,0.0818486223927577
2,45,0.029610686192731217,0.03174458677512537,0.12065800325544815,0.12383867042780738
2,60,0.03698488767984918,0.036245827951702836,0.15762683840198616,0.15898047467135235
2,90,0.03963314628343195,0.03890549694454137,0.20819021923142947,0.20889994356868224
2,120,0.05531468124330632,0.06006973604727439,0.28843413236719206,0.29389359061886466
3,15,0.008892914914656736,0.008235451132631244,0.037129535369029784,0.036280332279732264
3,30,0.013682438540939179,0.013798945392214934,0.0649289211866336,0.06576412880264226
3,45,0.019269802580371653,0.018259050067211513,0.09463689547702878,0.09426643472584639
3,60,0.023815438735732684,0.022094659987178744,0.1218394367690924,0.11977247473114128
3,90,0.027672465694284075,0.026780373803792834,0.16410981832911728,0.16039198898655016
3,120,0.03667580144367113,0.03188899881924234,0.2214607481453283,0.20999271430065103
4,15,0.006780350147928149,0.006138159371701257,0.03511902468433607,0.033153208596163664
4,30,0.010255604283026187,0.009323848589182226,0.05896032614539655,0.057661154417405935
4,45,0.014760878073731143,0.012889032753410912,0.08702223446962228,0.08576745986952261
4,60,0.01803988591881305,0.015501960532254166,0.11084991949107459,0.1064718514996903
4,90,0.020731961509956886,0.020159447087751525,0.1439635872013852,0.14189818395208587
4,120,0.028501316818421253,0.02647517713543812,0.19929153437505506,0.19064622745598925
5,15,0.0052717144413549025,0.004897645099402048,0.032820366376446405,0.030893468672706037
5,30,0.008193982823755297,0.007840337821574561,0.055354997360584954,0.05376146033390361
5,45,0.011666118111093393,0.010568646096489331,0.08112685887470769,0.07825159239572366
5,60,0.013762146768485594,0.012059586238868159,0.1000619388122573,0.09505381889638542
5,90,0.016944403213565808,0.015987363499702312,0.13419957620095996,0.13435353519016013
5,120,0.020884608051798724,0.019428099891016792,0.17294737406582086,0.16329571898355466
6,15,0.004421804466745183,0.004107404978508811,0.03179629665140573,0.031664681616671464
6,30,0.007118625366680753,0.007042520553996123,0.05449158924911664,0.05606603993580572
6,45,0.009631639899755707,0.008822057316631327,0.07663740890306218,0.07554348485268303
6,60,0.011743224976231792,0.010514567181027612,0.09651362345176744,0.09284156373372698
6,90,0.014204722873819709,0.012984328738562256,0.12651060539253814,0.12123308621600692
6,120,0.01785138978063112,0.01768607880576334,0.1647404546227364,0.1702397670554603
7,15,0.0037603061467686993,0.003556531524360196,0.031161445295627522,0.029096816610409082
7,30,0.00601758980455167,0.006065913220329566,0.05278217587306404,0.05188686611074789
7,45,0.008141814119949386,0.007805073060099144,0.07389673075464662,0.0700178263810971
7,60,0.010164582677134538,0.008947229870621465,0.09475820329992816,0.08412565781549008
7,90,0.012195746106124639,0.012670979690403983,0.12224196406622574,0.12352577757548522
7,120,0.015330800667147737,0.013906575273554767,0.15916524747938426,0.15211887615304187
8,15,0.0033566339228306764,0.003208041121402161,0.03153726919382085,0.02946424968878758
8,30,0.005309879831493824,0.005024756190899371,0.05260418636634161,0.05100705363316549
8,45,0.0070532801391703925,0.006652753791701604,0.07221355732588286,0.07011855238945541
8,60,0.008718474125886777,0.008062134650955066,0.09163158701974208,0.08754591219785124
8,90,0.010712251080841484,0.010568210256001853,0.11978004696385161,0.12038975960252474
8,120,0.013121132936369961,0.01213670026990954,0.15212248565464118,0.1438602398549942
9,15,0.002883746406652188,0.0025839846910731268,0.029885622952964395,0.02812108215588016
9,30,0.00455240360532565,0.004426842477634363,0.04969512694828855,0.051062070858481245
9,45,0.0061886608167748495,0.005711786702585653,0.0691889440958211,0.06829005971077495
9,60,0.007684066105420629,0.007046032131682312,0.08823864772564738,0.08655742176001158
9,90,0.00939258449901561,0.009112385330409922,0.1144405225554697,0.11735481896591637
9,120,0.011862685884913371,0.011370723105902703,0.14852156726890814,0.15100459290891322
10,15,0.0024915617111284094,0.002402114817706247,0.028164616893839735,0.026732065447220732
10,30,0.0039840656545793605,0.003852691148855669,0.047189259651103876,0.04572618571287057
10,45,0.005389716766771868,0.004955266938122538,0.0654604821281918,0.06328903489647142
10,60,0.006581151326037582,0.005930002753889774,0.08201748101652698,0.07698999497760783
10,90,0.008085212961610333,0.007886921936149816,0.10675377126437588,0.10888511663153944
10,120,0.010003072417041969,0.009269983017001104,0.1358949899073522,0.13103865741940712
12,15,0.00219910317663361,0.002202311889551112,0.027377091742232552,0.02849441902797678
12,30,0.003455638091220359,0.003470336269693508,0.04426257278550958,0.04469753537449783
12,45,0.00461754033584103,0.0046760617630516865,0.06465214043558923,0.06461264191349803
12,60,0.005657717112329564,0.005304024391168727,0.07469976519135627,0.07058872972570285
12,90,0.006970169852761621,0.00701700187913179,0.10496432239373217,0.1042056209687825
12,120,0.008358005875322228,0.00831438041651178,0.12982873484112317,0.12795872319088009
15,15,0.0017194959939448307,0.0016705288731182488,0.027268493284678418,0.0264369999696783
15,30,0.0026311648411023294,0.002595658364922704,0.0442878681838883,0.04263786220541266
15,45,0.0035913477358102243,0.003512179154163464,0.06162395690170963,0.05896355034690681
15,60,0.004336640601571462,0.0041951188086624125,0.07588775742817769,0.07201049232506396
15,90,0.005474843751831071,0.005249712090220626,0.09990689058856769,0.09396262583728099
15,120,0.006745863469299751,0.006365050576822462,0.12620361605187314,0.11721336534177906
20,15,0.0012703189430354645,0.0013865382047117958,0.025910418742064102,0.02818067135772706
20,30,0.0019309085310124986,0.0020724721003830826,0.04197873551260356,0.04646387911327765
20,45,0.0025910419674153307,0.002724821174619363,0.05734894200191683,0.0610243849447758
