horizon_years,contribution_interval_days,window_count,theoretical_win_rate,annual_alpha_theoretical_p10,annual_alpha_theoretical_p25,annual_alpha_theoretical_median,annual_alpha_theoretical_p75,annual_alpha_theoretical_p90,annual_alpha_theoretical_min,annual_alpha_theoretical_max,implementable_win_rate,annual_alpha_implementable_p10,annual_alpha_implementable_p25,annual_alpha_implementable_median,annual_alpha_implementable_p75,annual_alpha_implementable_p90,annual_alpha_implementable_min,annual_alpha_implementable_max
1,15,5,1.0,0.019365367482263317,0.020679895123502767,0.023973439039503885,0.036621173765472026,0.038083559411176984,0.01848901572143702,0.039058483174980285,0.0,-0.005085390082369079,-0.00464189262321324,-0.003420304278695996,-0.00292353282453206,-0.0021810664742310856,-0.0053810550551396386,-0.0016860889073637697
1,30,5,1.0,0.03027888441200659,0.03694928833424904,0.04276006952839806,0.046886922217889815,0.05452241446670558,0.025831948463844956,0.05961274263258276,0.4,-0.020474451266494144,-0.019464066871557772,-0.009357079437465776,0.0008133966837475803,0.004605464576906871,-0.02114804086311839,0.007133509839013064
1,45,5,1.0,0.039598256049447354,0.043690979207839487,0.049833433507412206,0.07524201832165245,0.07799407012798772,0.0368697739438526,0.07982877133221122,0.2,-0.01050937356491688,-0.008793017065627406,-0.006487924690023128,-0.004478125203743355,0.002857389250683396,-0.011653611231109862,0.007747732220301229
1,60,5,1.0,0.03878822096439185,0.0419796035052844,0.06815026836768534,0.09423234211172393,0.10308100572325007,0.03666063260379682,0.10898011479760084,0.6,-0.015397217221240744,-0.013878953097504976,0.0026802568119144166,0.006352143775741226,0.016650001046371623,-0.016409393303731257,0.023515239226791884
1,90,5,1.0,0.055558706645464584,0.059055355406405274,0.06130094789813101,0.07281584880464087,0.100737180585161,0.053227607471504124,0.1193514017721744,0.4,-0.02333571523862519,-0.019299942047014795,-0.00595510750914463,0.012920094812028271,0.016815059812522383,-0.026026230699698782,0.019411703146185122
1,120,5,1.0,0.06660837786606714,0.06847494722636549,0.09379712318397937,0.16300366176836323,0.16531111672601945,0.06536399829253492,0.16684942003112357,1.0,0.011102804542767287,0.020614188973382852,0.028539357324245174,0.04079025404585035,0.04233888078453378,0.0047618815890235755,0.04337129861032274
2,15,5,1.0,0.01206720255313436,0.014031759032629987,0.014153087106243412,0.01430467137434599,0.01662920267550456,0.010757498233470608,0.018178890209610277,0.4,-0.004130003149888983,-0.002292765094336735,-3.473734524694905e-05,0.0003629668061324587,0.0013462488973758015,-0.005354828520257149,0.0020017702915380298
2,30,5,1.0,0.01889662126914744,0.021381768504322052,0.02146882585923926,0.021902364106167527,0.022330051251449136,0.0172398564456977,0.022615176014970206,0.4,-0.010795919522715502,-0.006638947180598764,-0.0010445288087419513,0.0003108028637326399,0.002395081736143601,-0.013567234417459995,0.0037846009844175743
2,45,5,1.0,0.023808394317732073,0.025817386207603876,0.03174458677512537,0.03260344726121822,0.03429274550162194,0.02246906639115087,0.035418944328557744,0.4,-0.00847018605845431,-0.007178190799542961,-0.004989722019067111,0.004838605549074448,0.008102039572662046,-0.009331516231061876,0.010277662255053777
2,60,5,1.0,0.03131314683815054,0.03351879586512929,0.036245827951702836,0.03801003668674108,0.043588252920001215,0.02984271415349804,0.04730706374217464,0.4,-0.010591552537704673,-0.006816412575822772,-0.003458931001319776,0.005925383084460556,0.00686686893416173,-0.013108312512292608,0.007494526167295845
