horizon_years,contribution_interval_days,window_stride_days,window_number,start_date,end_date,final_relative_advantage,mean_relative_advantage,median_relative_advantage,std_relative_advantage,percent_time_btd_better,annual_return_btd,annual_return_dca,annual_alpha
1,15,0,0,1950-01-04,1951-01-04,0.0385745827897368,0.09526408728854775,0.04787252187785218,0.13084207715117588,0.9602649006622517,0.050896775565548724,0.011838292390568439,0.039058483174980285
1,15,6867,1,1968-10-23,1969-10-23,0.058790793697293786,0.11256250762942711,0.0649014563722885,0.19418240782648638,0.9464882943143813,0.14240623748459758,0.12391722176316056,0.01848901572143702
1,15,13734,2,1987-08-12,1988-08-11,0.06430673309963164,0.10143743297832329,0.07157827559069252,0.11148437595074218,0.9597069597069597,0.12622529677771155,0.10225185773820766,0.023973439039503885
1,15,20601,3,2006-05-31,2007-05-31,0.06149114018230195,0.11031101487212508,0.06149114018230173,0.20015372986107827,0.9596774193548387,0.10654346617532129,0.08586357105181852,0.020679895123502767
1,15,27468,4,2025-03-19,2026-03-19,0.07341715016751515,0.15118557330994498,0.08521550512276521,0.2189978957737222,0.963265306122449,0.23725019176536843,0.2006290179998964,0.036621173765472026
1,30,0,0,1950-01-04,1951-01-04,0.045657831835442586,0.21385038998887182,0.1381573221275363,0.2770229137130313,0.9172185430463576,0.07308782264828162,0.026200900430391805,0.046886922217889815
1,30,6867,1,1968-10-23,1969-10-23,0.10823017103872146,0.24668230389996135,0.1474449279946839,0.2741556730187875,0.9163879598662207,0.14907652721512887,0.12324457875128392,0.025831948463844956
1,30,13734,2,1987-08-12,1988-08-11,0.12565346355553486,0.2505370465604163,0.15486535223508224,0.27516295178886,0.9084249084249084,0.13659154818350694,0.09383147865510888,0.04276006952839806
1,30,20601,3,2006-05-31,2007-05-31,0.120490583447596,0.20041623328412037,0.1441311036801447,0.22843124502514203,0.9153225806451613,0.1134695650282016,0.07652027669395256,0.03694928833424904
1,30,27468,4,2025-03-19,2026-03-19,0.13751276602002083,0.266199565422889,0.17729056924551911,0.2753737151007233,0.9183673469387755,0.25075073934861747,0.1911379967160347,0.05961274263258276
1,45,0,0,1950-01-04,1951-01-04,0.07885263929932296,0.22569436986291375,0.19137670196671686,0.17807580114536214,0.8741721854304636,0.09148839981606938,0.011659628483858153,0.07982877133221122
1,45,6867,1,1968-10-23,1969-10-23,0.162346583019068,0.2437560706082811,0.21021266536896643,0.24923650817719858,0.8762541806020067,0.14673407063757482,0.10986429669372222,0.0368697739438526
1,45,13734,2,1987-08-12,1988-08-11,0.17590273744798135,0.30977155812281354,0.2524927558258925,0.27972052819977555,0.8791208791208791,0.1504301287507852,0.100596695243373,0.049833433507412206
1,45,20601,3,2006-05-31,2007-05-31,0.17054834715098788,0.31629762068770406,0.22030700447473417,0.3220155449961837,0.8709677419354839,0.12206241713442578,0.0783714379265863,0.043690979207839487
1,45,27468,4,2025-03-19,2026-03-19,0.19677516441765186,0.41543134223984196,0.28387327210034585,0.33359578204232276,0.8775510204081632,0.25374886378413763,0.1785068454624852,0.07524201832165245
1,60,0,0,1950-01-04,1951-01-04,0.10861284620381939,0.3159245504658824,0.1479765062952343,0.31464561821911124,0.8311258278145696,0.11163877017088453,0.0026586553732836915,0.10898011479760084
1,60,6867,1,1968-10-23,1969-10-23,0.20493129334852167,0.40930992390114607,0.37437991887199296,0.32273081046013685,0.8327759197324415,0.15364495602150452,0.1169843234177077,0.03666063260379682
1,60,13734,2,1987-08-12,1988-08-11,0.24059630536521293,0.3834389690089989,0.33265343742264974,0.35199957953445804,0.8315018315018315,0.14285505759740746,0.07470478922972212,0.06815026836768534
