date,price,index_name,year,month,day,month_key,quarter_key,week_key,return_factor,investment_signal,cash_inflow,cash_balance,contribution,invested_wealth,wealth,total_contribution,wealth_return,all_time_high,all_time_high_flag
1950-01-03,16.66,S&P 500,1950,1,3,195001,19501,195001,1.0,False,0.04,0.04,0.0,0.0,0.04,0.0,0.0,16.66,True
1950-01-04,16.85,S&P 500,1950,1,4,195001,19501,195001,1.01140456182473,False,0.04,0.08,0.0,0.0,0.08,0.0,0.0,16.85,True
1950-01-05,16.93,S&P 500,1950,1,5,195001,19501,195001,1.004747774480712,False,0.04,0.12,0.0,0.0,0.12,0.0,0.0,16.93,True
1950-01-06,16.98,S&P 500,1950,1,6,195001,19501,195001,1.0029533372711164,False,0.04,0.16,0.0,0.0,0.16,0.0,0.0,16.98,True
1950-01-07,17.09,S&P 500,1950,1,7,195001,19501,195001,1.0064782096584217,False,0.04,0.2,0.0,0.0,0.2,0.0,0.0,17.09,True
1950-01-09,17.08,S&P 500,1950,1,9,195001,19501,195002,0.9994148624926857,False,0.04,0.24,0.0,0.0,0.24,0.0,0.0,17.09,False
1950-01-10,17.03,S&P 500,1950,1,10,195001,19501,195002,0.9970725995316161,False,0.04,0.28,0.0,0.0,0.28,0.0,0.0,17.09,False
1950-01-11,17.09,S&P 500,1950,1,11,195001,19501,195002,1.0035231943628888,False,0.04,0.32,0.0,0.0,0.32,0.0,0.0,17.09,False
1950-01-12,16.76,S&P 500,1950,1,12,195001,19501,195002,0.9806904622586309,False,0.04,0.36,0.0,0.0,0.36,0.0,0.0,17.09,False
1950-01-13,16.67,S&P 500,1950,1,13,195001,19501,195002,0.9946300715990454,False,0.04,0.4,0.0,0.0,0.4,0.0,0.0,17.09,False
1950-01-14,16.65,S&P 500,1950,1,14,195001,19501,195002,0.9988002399520094,True,0.04,0.44,0.44,0.44,0.44,0.44,0.0,17.09,False
1950-01-16,16.72,S&P 500,1950,1,16,195001,19501,195003,1.0042042042042043,False,0.04,0.04,0.0,0.44184984984985,0.48184984984984996,0.44,0.0038538538538541722,17.09,False
1950-01-17,16.86,S&P 500,1950,1,17,195001,19501,195003,1.0083732057416268,False,0.04,0.08,0.0,0.4455495495495497,0.5255495495495497,0.44,0.010672210672210802,17.09,False
1950-01-18,16.85,S&P 500,1950,1,18,195001,19501,195003,0.9994068801897985,False,0.04,0.12,0.0,0.44528528528528544,0.5652852852852854,0.44,0.009438009438009543,17.09,False
1950-01-19,16.87,S&P 500,1950,1,19,195001,19501,195003,1.0011869436201781,False,0.04,0.16,0.0,0.44581381381381396,0.6058138138138139,0.44,0.009689689689689862,17.09,False
1950-01-20,16.9,S&P 500,1950,1,20,195001,19501,195003,1.0017783046828688,False,0.04,0.2,0.0,0.4466066066066066,0.6466066066066066,0.44,0.01032282282282293,17.09,False
1950-01-21,16.94,S&P 500,1950,1,21,195001,19501,195003,1.0023668639053256,False,0.04,0.24,0.0,0.4476636636636637,0.6876636636636637,0.44,0.011270093623034994,17.09,False
1950-01-23,16.92,S&P 500,1950,1,23,195001,19501,195004,0.9988193624557261,False,0.04,0.28,0.0,0.4471351351351352,0.7271351351351352,0.44,0.00990990990991003,17.09,False
1950-01-24,16.86,S&P 500,1950,1,24,195001,19501,195004,0.9964539007092197,False,0.04,0.32,0.0,0.44554954954954956,0.7655495495495496,0.44,0.00730203888098635,17.09,False
1950-01-25,16.74,S&P 500,1950,1,25,195001,19501,195004,0.99288256227758,False,0.04,0.36,0.0,0.4423783783783783,0.8023783783783782,0.44,0.0029729729729726095,17.09,False
1950-01-26,16.73,S&P 500,1950,1,26,195001,19501,195004,0.9994026284348866,False,0.04,0.4,0.0,0.4421141141141141,0.8421141141141142,0.44,0.00251680251680253,17.09,False
1950-01-27,16.82,S&P 500,1950,1,27,195001,19501,195004,1.0053795576808129,False,0.04,0.44,0.0,0.44449249249249245,0.8844924924924924,0.44,0.005105105105104979,17.09,False
1950-01-28,16.9,S&P 500,1950,1,28,195001,19501,195004,1.004756242568371,False,0.04,0.48,0.0,0.44660660660660656,0.9266066066066065,0.44,0.007181094137615807,17.09,False
1950-01-30,17.02,S&P 500,1950,1,30,195001,19501,195005,1.0071005917159763,False,0.04,0.52,0.0,0.44977777777777767,0.9697777777777776,0.44,0.010185185185185075,17.09,False
1950-01-31,17.05,S&P 500,1950,1,31,195001,19501,195005,1.001762632197415,False,0.04,0.56,0.0,0.45057057057057054,1.0105705705705705,0.44,0.010570570570570537,17.09,False
1950-02-01,17.05,S&P 500,1950,2,1,195002,19501,195005,1.0,False,0.045454545454545456,0.6054545454545455,0.0,0.45057057057057054,1.056025116025116,0.44,0.010110980545763093,17.09,False
1950-02-02,17.23,S&P 500,1950,2,2,195002,19501,195005,1.010557184750733,False,0.045454545454545456,0.6509090909090909,0.0,0.45532732732732734,1.1062364182364182,0.44,0.01405005005005,17.23,True
1950-02-03,17.29,S&P 500,1950,2,3,195002,19501,195005,1.0034822983168892,False,0.045454545454545456,0.6963636363636364,0.0,0.4569129129129129,1.1532765492765493,0.44,0.014883363363363378,17.29,True
1950-02-04,17.35,S&P 500,1950,2,4,195002,19501,195005,1.00347021399653,False,0.045454545454545456,0.7418181818181818,0.0,0.45849849849849855,1.2003166803166803,0.44,0.015652575652575607,17.35,True
1950-02-06,17.32,S&P 500,1950,2,6,195002,19501,195006,0.9982708933717579,False,0.045454545454545456,0.7872727272727273,0.0,0.4577057057057058,1.2449784329784332,0.44,0.014426871315760481,17.35,False
1950-02-07,17.23,S&P 500,1950,2,7,195002,19501,195006,0.9948036951501155,False,0.045454545454545456,0.8327272727272728,0.0,0.4553273273273274,1.2880546000546,0.44,0.012042900042900095,17.35,False
1950-02-08,17.21,S&P 500,1950,2,8,195002,19501,195006,0.9988392338943703,False,0.045454545454545456,0.8781818181818182,0.0,0.45479879879879886,1.332980616980617,0.44,0.011226674950812976,17.35,False
1950-02-09,17.28,S&P 500,1950,2,9,195002,19501,195006,1.0040674026728647,False,0.045454545454545456,0.9236363636363637,0.0,0.45664864864864874,1.3802850122850123,0.44,0.012209009009009009,17.35,False
1950-02-10,17.24,S&P 500,1950,2,10,195002,19501,195006,0.997685185185185,False,0.045454545454545456,0.9690909090909091,0.0,0.4555915915915915,1.4246825006825006,0.44,0.011065000484355103,17.35,False
1950-02-11,17.21,S&P 500,1950,2,11,195002,19501,195006,0.9982598607888632,False,0.045454545454545456,1.0145454545454546,0.0,0.45479879879879875,1.4693442533442533,0.44,0.0101741741741741,17.35,False
1950-02-14,17.06,S&P 500,1950,2,14,195002,19501,195007,0.9912841371295757,False,0.045454545454545456,1.06,0.0,0.4508348348348348,1.5108348348348348,0.44,0.0072232232232232185,17.35,False
1950-02-15,17.06,S&P 500,1950,2,15,195002,19501,195007,1.0,False,0.045454545454545456,1.1054545454545455,0.0,0.4508348348348348,1.5562893802893802,0.44,0.007010775481363751,17.35,False
1950-02-16,16.99,S&P 500,1950,2,16,195002,19501,195007,0.9958968347010551,True,0.045454545454545456,1.1509090909090909,1.1509090909090909,1.5998940758940756,1.5998940758940756,1.5909090909090908,0.005647704847704826,17.35,False
1950-02-17,17.15,S&P 500,1950,2,17,195002,19501,195007,1.009417304296645,False,0.045454545454545456,0.045454545454545456,0.0,1.61496076524917,1.6604153107037154,1.5909090909090908,0.014698245430048384,17.35,False
1950-02-18,17.23,S&P 500,1950,2,18,195002,19501,195007,1.00466472303207,False,0.045454545454545456,0.09090909090909091,0.0,1.6224941099267172,1.713403200835808,1.5909090909090908,0.018780281578048008,17.35,False
1950-02-20,17.2,S&P 500,1950,2,20,195002,19501,195008,0.9982588508415554,False,0.045454545454545456,0.13636363636363635,0.0,1.619669105672637,1.7560327420362736,1.5909090909090908,0.01665053486310586,17.35,False
1950-02-21,17.17,S&P 500,1950,2,21,195002,19501,195008,0.9982558139534885,False,0.045454545454545456,0.18181818181818182,0.0,1.616844101418557,1.798662283236739,1.5909090909090908,0.01463000592841679,17.35,False
1950-02-23,17.21,S&P 500,1950,2,23,195002,19501,195008,1.0023296447291787,False,0.045454545454545456,0.2272727272727273,0.0,1.6206107737573303,1.8478835010300576,1.5909090909090908,0.01633592556653163,17.35,False
1950-02-24,17.28,S&P 500,1950,2,24,195002,19501,195008,1.0040674026728647,False,0.045454545454545456,0.2727272727272727,0.0,1.627202450350184,1.8999297230774568,1.5909090909090908,0.019474485553757415,17.35,False
1950-02-25,17.26,S&P 500,1950,2,25,195002,19501,195008,0.9988425925925927,False,0.045454545454545456,0.3181818181818182,0.0,1.6253191141807972,1.9435009323626153,1.5909090909090908,0.018024297904227105,17.35,False
1950-02-27,17.28,S&P 500,1950,2,27,195002,19501,195009,1.0011587485515643,False,0.045454545454545456,0.36363636363636365,0.0,1.627202450350184,1.9908388139865476,1.5909090909090908,0.01856869552800111,17.35,False
1950-02-28,17.22,S&P 500,1950,2,28,195002,19501,195009,0.9965277777777777,False,0.045454545454545456,0.4090909090909091,0.0,1.6215524418420237,2.030643350932933,1.5909090909090908,0.015321675466466456,17.35,False
1950-03-01,17.24,S&P 500,1950,3,1,195003,19501,195009,1.0011614401858304,False,0.037037037037037035,0.44612794612794615,0.0,1.6234357780114104,2.0695637241393565,1.5909090909090908,0.015967646395683932,17.35,False
1950-03-02,17.23,S&P 500,1950,3,2,195003,19501,195009,0.9994199535962878,False,0.037037037037037035,0.4831649831649832,0.0,1.6224941099267172,2.1056590930917003,1.5909090909090908,0.015228491312069936,17.35,False
1950-03-03,17.29,S&P 500,1950,3,3,195003,19501,195009,1.0034822983168892,False,0.037037037037037035,0.5202020202020202,0.0,1.6281441184348777,2.148346138636898,1.5909090909090908,0.017637644617477966,17.35,False
1950-03-04,17.33,S&P 500,1950,3,4,195003,19501,195009,1.0023134759976864,False,0.037037037037037035,0.5572390572390572,0.0,1.631910790773651,2.189149848012708,1.5909090909090908,0.019086998212812567,17.35,False
1950-03-06,17.32,S&P 500,1950,3,6,195003,19501,195010,0.9994229659549915,False,0.037037037037037035,0.5942760942760943,0.0,1.6309691226889578,2.2252452169650523,1.5909090909090908,0.018332556916210496,17.35,False
1950-03-07,17.2,S&P 500,1950,3,7,195003,19501,195010,0.9930715935334873,False,0.037037037037037035,0.6313131313131313,0.0,1.619669105672637,2.2509822369857684,1.5909090909090908,0.012942006643595683,17.35,False
1950-03-08,17.19,S&P 500,1950,3,8,195003,19501,195010,0.999418604651163,False,0.037037037037037035,0.6683501683501684,0.0,1.618727437587944,2.287077605938112,1.5909090909090908,0.012313038693918532,17.35,False
1950-03-09,17.07,S&P 500,1950,3,9,195003,19501,195010,0.9930191972076788,False,0.037037037037037035,0.7053872053872053,0.0,1.6074274205716232,2.3128146259588287,1.5909090909090908,0.007193466143360805,17.35,False
1950-03-10,17.09,S&P 500,1950,3,10,195003,19501,195010,1.0011716461628588,False,0.037037037037037035,0.7424242424242424,0.0,1.60931075674101,2.3517349991652523,1.5909090909090908,0.007886428213679686,17.35,False
1950-03-11,17.14,S&P 500,1950,3,11,195003,19501,195010,1.002925687536571,False,0.037037037037037035,0.7794612794612794,0.0,1.614019097164477,2.3934803766257566,1.5909090909090908,0.009749533888991246,17.35,False
1950-03-13,17.12,S&P 500,1950,3,13,195003,19501,195011,0.9988331388564761,False,0.037037037037037035,0.8164983164983165,0.0,1.6121357609950902,2.4286340774934065,1.5909090909090908,0.008817232189568758,17.35,False
1950-03-14,17.25,S&P 500,1950,3,14,195003,19501,195011,1.0075934579439252,False,0.037037037037037035,0.8535353535353535,0.0,1.624377446096104,2.4779127996314574,1.5909090909090908,0.013691599849232627,17.35,False
1950-03-15,17.45,S&P 500,1950,3,15,195003,19501,195011,1.0115942028985507,False,0.037037037037037035,0.8905723905723906,0.0,1.643210807789972,2.5337831983623627,1.5909090909090908,0.021076811280355212,17.45,True
1950-03-16,17.49,S&P 500,1950,3,16,195003,19501,195011,1.002292263610315,False,0.037037037037037035,0.9276094276094276,0.0,1.6469774801287453,2.5745869077381727,1.5909090909090908,0.022262448660745227,17.49,True
1950-03-17,17.45,S&P 500,1950,3,17,195003,19501,195011,0.9977129788450544,False,0.037037037037037035,0.9646464646464646,0.0,1.643210807789972,2.6078572724364366,1.5909090909090908,0.02046588921425796,17.49,False
1950-03-18,17.49,S&P 500,1950,3,18,195003,19501,195011,1.002292263610315,False,0.037037037037037035,1.0016835016835017,0.0,1.6469774801287453,2.648660981812247,1.5909090909090908,0.02162637869900963,17.49,False
1950-03-20,17.44,S&P 500,1950,3,20,195003,19501,195012,0.9971412235563181,True,0.037037037037037035,1.0387205387205387,1.0387205387205387,2.6809896784258176,2.6809896784258176,2.6296296296296298,0.01953128616193056,17.49,False
1950-03-21,17.45,S&P 500,1950,3,21,195003,19501,195012,1.0005733944954127,False,0.037037037037037035,0.037037037037037035,0.0,2.682526943149685,2.7195639801867224,2.6296296296296298,0.019836492570020736,17.49,False
1950-03-22,17.55,S&P 500,1950,3,22,195003,19501,195012,1.005730659025788,False,0.037037037037037035,0.07407407407407407,0.0,2.6978995903883654,2.7719736644624393,2.6296296296296298,0.025250533431313116,17.55,True
1950-03-23,17.56,S&P 500,1950,3,23,195003,19501,195012,1.0005698005698005,False,0.037037037037037035,0.1111111111111111,0.0,2.699436855112233,2.810547966223344,2.6296296296296298,0.025470203892301146,17.56,True
1950-03-24,17.56,S&P 500,1950,3,24,195003,19501,195012,1.0,False,0.037037037037037035,0.14814814814814814,0.0,2.699436855112233,2.847585003260381,2.6296296296296298,0.02513060117373711,17.56,False
1950-03-25,17.61,S&P 500,1950,3,25,195003,19501,195012,1.0028473804100229,False,0.037037037037037035,0.18518518518518517,0.0,2.7071231787315737,2.892308363916759,2.6296296296296298,0.02753060297042742,17.61,True
1950-03-27,17.46,S&P 500,1950,3,27,195003,19501,195013,0.991482112436116,False,0.037037037037037035,0.2222222222222222,0.0,2.6840642078735537,2.906286430095776,2.6296296296296298,0.019087449514103128,17.61,False
1950-03-28,17.53,S&P 500,1950,3,28,195003,19501,195013,1.0040091638029782,False,0.037037037037037035,0.25925925925925924,0.0,2.6948250609406297,2.9540843201998888,2.6296296296296298,0.02256764929996158,17.61,False
1950-03-29,17.44,S&P 500,1950,3,29,195003,19501,195013,0.9948659440958357,False,0.037037037037037035,0.2962962962962963,0.0,2.6809896784258176,2.977285974722114,2.6296296296296298,0.017553434398697165,17.61,False
1950-03-30,17.3,S&P 500,1950,3,30,195003,19501,195013,0.9919724770642202,False,0.037037037037037035,0.3333333333333333,0.0,2.6594679722916656,2.992801305624999,2.6296296296296298,0.010070440648437096,17.61,False
1950-03-31,17.29,S&P 500,1950,3,31,195003,19501,195013,0.9994219653179189,True,0.037037037037037035,0.37037037037037035,0.37037037037037035,3.0283010779381674,3.0283010779381674,3.0,0.009433692646055869,17.61,False
1950-04-01,17.34,S&P 500,1950,4,1,195004,19502,195013,1.0028918449971083,False,0.041666666666666664,0.041666666666666664,0.0,3.0370584552601407,3.0787251219268073,3.0,0.012183601729361282,17.61,False
1950-04-03,17.53,S&P 500,1950,4,3,195004,19502,195014,1.0109573241061132,False,0.041666666666666664,0.08333333333333333,0.0,3.0703364890836373,3.153669822416971,3.0,0.022811834297395972,17.61,False
1950-04-04,17.55,S&P 500,1950,4,4,195004,19502,195014,1.0011409013120365,False,0.041666666666666664,0.125,0.0,3.0738394400124265,3.1988394400124265,3.0,0.02362862080397643,17.61,False
1950-04-05,17.63,S&P 500,1950,4,5,195004,19502,195014,1.0045584045584044,False,0.041666666666666664,0.16666666666666666,0.0,3.0878512437275827,3.254517910394249,3.0,0.027742498019236672,17.63,True
1950-04-06,17.78,S&P 500,1950,4,6,195004,19502,195014,1.00850822461713,False,0.041666666666666664,0.20833333333333331,0.0,3.114123375693501,3.3224567090268344,3.0,0.03557092229407832,17.78,True
1950-04-08,17.82,S&P 500,1950,4,8,195004,19502,195014,1.0022497187851518,False,0.041666666666666664,0.25,0.0,3.121129277551079,3.371129277551079,3.0,0.0372705469387935,17.82,True
1950-04-10,17.85,S&P 500,1950,4,10,195004,19502,195015,1.0016835016835017,False,0.041666666666666664,0.29166666666666663,0.0,3.126383703944263,3.4180503706109295,3.0,0.038395049299522865,17.85,True
