date,price,index_name,year,month,day,month_key,quarter_key,week_key,return_factor,investment_signal,cash_inflow,cash_balance,contribution,invested_wealth,wealth,total_contribution,wealth_return,all_time_high,all_time_high_flag,segment_reference_high,drawdown_from_reference_high,threshold_hit
1950-01-03,16.66,S&P 500,1950,1,3,195001,19501,195001,1.0,False,0.04,0.04,0.0,0.0,0.04,0.0,0.0,16.66,True,16.66,0.0,False
1950-01-04,16.85,S&P 500,1950,1,4,195001,19501,195001,1.01140456182473,False,0.04,0.08,0.0,0.0,0.08,0.0,0.0,16.85,True,16.85,0.0,False
1950-01-05,16.93,S&P 500,1950,1,5,195001,19501,195001,1.004747774480712,False,0.04,0.12,0.0,0.0,0.12,0.0,0.0,16.93,True,16.93,0.0,False
1950-01-06,16.98,S&P 500,1950,1,6,195001,19501,195001,1.0029533372711164,False,0.04,0.16,0.0,0.0,0.16,0.0,0.0,16.98,True,16.98,0.0,False
1950-01-07,17.09,S&P 500,1950,1,7,195001,19501,195001,1.0064782096584217,False,0.04,0.2,0.0,0.0,0.2,0.0,0.0,17.09,True,17.09,0.0,False
1950-01-09,17.08,S&P 500,1950,1,9,195001,19501,195002,0.9994148624926857,False,0.04,0.24,0.0,0.0,0.24,0.0,0.0,17.09,False,17.09,-0.0005851375073142595,False
1950-01-10,17.03,S&P 500,1950,1,10,195001,19501,195002,0.9970725995316161,False,0.04,0.28,0.0,0.0,0.28,0.0,0.0,17.09,False,17.09,-0.003510825043885224,False
1950-01-11,17.09,S&P 500,1950,1,11,195001,19501,195002,1.0035231943628888,False,0.04,0.32,0.0,0.0,0.32,0.0,0.0,17.09,False,17.09,0.0,False
1950-01-12,16.76,S&P 500,1950,1,12,195001,19501,195002,0.9806904622586309,False,0.04,0.36,0.0,0.0,0.36,0.0,0.0,17.09,False,17.09,-0.01930953774136912,False
1950-01-13,16.67,S&P 500,1950,1,13,195001,19501,195002,0.9946300715990454,False,0.04,0.4,0.0,0.0,0.4,0.0,0.0,17.09,False,17.09,-0.024575775307197123,False
1950-01-14,16.65,S&P 500,1950,1,14,195001,19501,195002,0.9988002399520094,False,0.04,0.44,0.0,0.0,0.44,0.0,0.0,17.09,False,17.09,-0.025746050321825753,False
1950-01-16,16.72,S&P 500,1950,1,16,195001,19501,195003,1.0042042042042043,False,0.04,0.48,0.0,0.0,0.48,0.0,0.0,17.09,False,17.09,-0.02165008777062616,False
1950-01-17,16.86,S&P 500,1950,1,17,195001,19501,195003,1.0083732057416268,False,0.04,0.52,0.0,0.0,0.52,0.0,0.0,17.09,False,17.09,-0.01345816266822708,False
1950-01-18,16.85,S&P 500,1950,1,18,195001,19501,195003,0.9994068801897985,False,0.04,0.56,0.0,0.0,0.56,0.0,0.0,17.09,False,17.09,-0.014043300175541118,False
1950-01-19,16.87,S&P 500,1950,1,19,195001,19501,195003,1.0011869436201781,False,0.04,0.6,0.0,0.0,0.6,0.0,0.0,17.09,False,17.09,-0.01287302516091271,False
1950-01-20,16.9,S&P 500,1950,1,20,195001,19501,195003,1.0017783046828688,False,0.04,0.64,0.0,0.0,0.64,0.0,0.0,17.09,False,17.09,-0.011117612638970265,False
1950-01-21,16.94,S&P 500,1950,1,21,195001,19501,195003,1.0023668639053256,False,0.04,0.68,0.0,0.0,0.68,0.0,0.0,17.09,False,17.09,-0.008777062609713226,False
1950-01-23,16.92,S&P 500,1950,1,23,195001,19501,195004,0.9988193624557261,False,0.04,0.72,0.0,0.0,0.72,0.0,0.0,17.09,False,17.09,-0.009947337624341634,False
1950-01-24,16.86,S&P 500,1950,1,24,195001,19501,195004,0.9964539007092197,False,0.04,0.76,0.0,0.0,0.76,0.0,0.0,17.09,False,17.09,-0.01345816266822708,False
1950-01-25,16.74,S&P 500,1950,1,25,195001,19501,195004,0.99288256227758,False,0.04,0.8,0.0,0.0,0.8,0.0,0.0,17.09,False,17.09,-0.02047981275599775,False
1950-01-26,16.73,S&P 500,1950,1,26,195001,19501,195004,0.9994026284348866,False,0.04,0.84,0.0,0.0,0.84,0.0,0.0,17.09,False,17.09,-0.0210649502633119,False
1950-01-27,16.82,S&P 500,1950,1,27,195001,19501,195004,1.0053795576808129,False,0.04,0.88,0.0,0.0,0.88,0.0,0.0,17.09,False,17.09,-0.015798712697483897,False
1950-01-28,16.9,S&P 500,1950,1,28,195001,19501,195004,1.004756242568371,False,0.04,0.92,0.0,0.0,0.92,0.0,0.0,17.09,False,17.09,-0.011117612638970265,False
1950-01-30,17.02,S&P 500,1950,1,30,195001,19501,195005,1.0071005917159763,False,0.04,0.96,0.0,0.0,0.96,0.0,0.0,17.09,False,17.09,-0.0040959625511995945,False
1950-01-31,17.05,S&P 500,1950,1,31,195001,19501,195005,1.001762632197415,False,0.04,1.0,0.0,0.0,1.0,0.0,0.0,17.09,False,17.09,-0.002340550029256816,False
1950-02-01,17.05,S&P 500,1950,2,1,195002,19501,195005,1.0,False,0.045454545454545456,1.0454545454545454,0.0,0.0,1.0454545454545454,0.0,0.0,17.09,False,17.09,-0.002340550029256816,False
1950-02-02,17.23,S&P 500,1950,2,2,195002,19501,195005,1.010557184750733,False,0.045454545454545456,1.0909090909090908,0.0,0.0,1.0909090909090908,0.0,0.0,17.23,True,17.23,0.0,False
1950-02-03,17.29,S&P 500,1950,2,3,195002,19501,195005,1.0034822983168892,False,0.045454545454545456,1.1363636363636365,0.0,0.0,1.1363636363636365,0.0,0.0,17.29,True,17.29,0.0,False
1950-02-04,17.35,S&P 500,1950,2,4,195002,19501,195005,1.00347021399653,False,0.045454545454545456,1.1818181818181819,0.0,0.0,1.1818181818181819,0.0,0.0,17.35,True,17.35,0.0,False
1950-02-06,17.32,S&P 500,1950,2,6,195002,19501,195006,0.9982708933717579,False,0.045454545454545456,1.2272727272727273,0.0,0.0,1.2272727272727273,0.0,0.0,17.35,False,17.35,-0.0017291066282421053,False
1950-02-07,17.23,S&P 500,1950,2,7,195002,19501,195006,0.9948036951501155,False,0.045454545454545456,1.2727272727272727,0.0,0.0,1.2727272727272727,0.0,0.0,17.35,False,17.35,-0.00691642651296831,False
1950-02-08,17.21,S&P 500,1950,2,8,195002,19501,195006,0.9988392338943703,False,0.045454545454545456,1.3181818181818181,0.0,0.0,1.3181818181818181,0.0,0.0,17.35,False,17.35,-0.008069164265129714,False
1950-02-09,17.28,S&P 500,1950,2,9,195002,19501,195006,1.0040674026728647,False,0.045454545454545456,1.3636363636363638,0.0,0.0,1.3636363636363638,0.0,0.0,17.35,False,17.35,-0.004034582132564912,False
1950-02-10,17.24,S&P 500,1950,2,10,195002,19501,195006,0.997685185185185,False,0.045454545454545456,1.4090909090909092,0.0,0.0,1.4090909090909092,0.0,0.0,17.35,False,17.35,-0.00634005763688783,False
1950-02-11,17.21,S&P 500,1950,2,11,195002,19501,195006,0.9982598607888632,False,0.045454545454545456,1.4545454545454546,0.0,0.0,1.4545454545454546,0.0,0.0,17.35,False,17.35,-0.008069164265129714,False
1950-02-14,17.06,S&P 500,1950,2,14,195002,19501,195007,0.9912841371295757,False,0.045454545454545456,1.5,0.0,0.0,1.5,0.0,0.0,17.35,False,17.35,-0.01671469740634024,False
1950-02-15,17.06,S&P 500,1950,2,15,195002,19501,195007,1.0,False,0.045454545454545456,1.5454545454545454,0.0,0.0,1.5454545454545454,0.0,0.0,17.35,False,17.35,-0.01671469740634024,False
1950-02-16,16.99,S&P 500,1950,2,16,195002,19501,195007,0.9958968347010551,False,0.045454545454545456,1.590909090909091,0.0,0.0,1.590909090909091,0.0,0.0,17.35,False,17.35,-0.02074927953890504,False
1950-02-17,17.15,S&P 500,1950,2,17,195002,19501,195007,1.009417304296645,False,0.045454545454545456,1.6363636363636365,0.0,0.0,1.6363636363636365,0.0,0.0,17.35,False,17.35,-0.011527377521614035,False
1950-02-18,17.23,S&P 500,1950,2,18,195002,19501,195007,1.00466472303207,False,0.045454545454545456,1.6818181818181819,0.0,0.0,1.6818181818181819,0.0,0.0,17.35,False,17.35,-0.00691642651296831,False
1950-02-20,17.2,S&P 500,1950,2,20,195002,19501,195008,0.9982588508415554,False,0.045454545454545456,1.7272727272727273,0.0,0.0,1.7272727272727273,0.0,0.0,17.35,False,17.35,-0.008645533141210526,False
1950-02-21,17.17,S&P 500,1950,2,21,195002,19501,195008,0.9982558139534885,False,0.045454545454545456,1.7727272727272727,0.0,0.0,1.7727272727272727,0.0,0.0,17.35,False,17.35,-0.01037463976945241,False
1950-02-23,17.21,S&P 500,1950,2,23,195002,19501,195008,1.0023296447291787,False,0.045454545454545456,1.8181818181818181,0.0,0.0,1.8181818181818181,0.0,0.0,17.35,False,17.35,-0.008069164265129714,False
1950-02-24,17.28,S&P 500,1950,2,24,195002,19501,195008,1.0040674026728647,False,0.045454545454545456,1.8636363636363638,0.0,0.0,1.8636363636363638,0.0,0.0,17.35,False,17.35,-0.004034582132564912,False
1950-02-25,17.26,S&P 500,1950,2,25,195002,19501,195008,0.9988425925925927,False,0.045454545454545456,1.9090909090909092,0.0,0.0,1.9090909090909092,0.0,0.0,17.35,False,17.35,-0.005187319884726205,False
1950-02-27,17.28,S&P 500,1950,2,27,195002,19501,195009,1.0011587485515643,False,0.045454545454545456,1.9545454545454546,0.0,0.0,1.9545454545454546,0.0,0.0,17.35,False,17.35,-0.004034582132564912,False
1950-02-28,17.22,S&P 500,1950,2,28,195002,19501,195009,0.9965277777777777,False,0.045454545454545456,2.0,0.0,0.0,2.0,0.0,0.0,17.35,False,17.35,-0.007492795389049123,False
1950-03-01,17.24,S&P 500,1950,3,1,195003,19501,195009,1.0011614401858304,False,0.037037037037037035,2.037037037037037,0.0,0.0,2.037037037037037,0.0,0.0,17.35,False,17.35,-0.00634005763688783,False
1950-03-02,17.23,S&P 500,1950,3,2,195003,19501,195009,0.9994199535962878,False,0.037037037037037035,2.074074074074074,0.0,0.0,2.074074074074074,0.0,0.0,17.35,False,17.35,-0.00691642651296831,False
1950-03-03,17.29,S&P 500,1950,3,3,195003,19501,195009,1.0034822983168892,False,0.037037037037037035,2.111111111111111,0.0,0.0,2.111111111111111,0.0,0.0,17.35,False,17.35,-0.0034582132564843215,False
1950-03-04,17.33,S&P 500,1950,3,4,195003,19501,195009,1.0023134759976864,False,0.037037037037037035,2.1481481481481484,0.0,0.0,2.1481481481481484,0.0,0.0,17.35,False,17.35,-0.0011527377521615145,False
1950-03-06,17.32,S&P 500,1950,3,6,195003,19501,195010,0.9994229659549915,False,0.037037037037037035,2.185185185185185,0.0,0.0,2.185185185185185,0.0,0.0,17.35,False,17.35,-0.0017291066282421053,False
1950-03-07,17.2,S&P 500,1950,3,7,195003,19501,195010,0.9930715935334873,False,0.037037037037037035,2.2222222222222223,0.0,0.0,2.2222222222222223,0.0,0.0,17.35,False,17.35,-0.008645533141210526,False
1950-03-08,17.19,S&P 500,1950,3,8,195003,19501,195010,0.999418604651163,False,0.037037037037037035,2.259259259259259,0.0,0.0,2.259259259259259,0.0,0.0,17.35,False,17.35,-0.009221902017291117,False
1950-03-09,17.07,S&P 500,1950,3,9,195003,19501,195010,0.9930191972076788,False,0.037037037037037035,2.2962962962962963,0.0,0.0,2.2962962962962963,0.0,0.0,17.35,False,17.35,-0.016138328530259427,False
1950-03-10,17.09,S&P 500,1950,3,10,195003,19501,195010,1.0011716461628588,False,0.037037037037037035,2.3333333333333335,0.0,0.0,2.3333333333333335,0.0,0.0,17.35,False,17.35,-0.014985590778098024,False
1950-03-11,17.14,S&P 500,1950,3,11,195003,19501,195010,1.002925687536571,False,0.037037037037037035,2.3703703703703702,0.0,0.0,2.3703703703703702,0.0,0.0,17.35,False,17.35,-0.012103746397694626,False
