date,year,investment_signal_a,investment_signal_b,wealth_a,wealth_b,wealth_return_a,wealth_return_b,relative_advantage
1950-01-03,1950,False,False,0.04,0.04,0.0,0.0,0.0
1950-01-04,1950,False,False,0.08,0.08,0.0,0.0,0.0
1950-01-05,1950,False,False,0.12,0.12,0.0,0.0,0.0
1950-01-06,1950,False,False,0.16,0.16,0.0,0.0,0.0
1950-01-07,1950,False,False,0.2,0.2,0.0,0.0,0.0
1950-01-09,1950,False,False,0.24,0.24,0.0,0.0,0.0
1950-01-10,1950,False,False,0.28,0.28,0.0,0.0,0.0
1950-01-11,1950,False,False,0.32,0.32,0.0,0.0,0.0
1950-01-12,1950,False,False,0.36,0.36,0.0,0.0,0.0
1950-01-13,1950,False,False,0.4,0.4,0.0,0.0,0.0
1950-01-14,1950,False,True,0.44,0.44,0.0,0.0,0.0
1950-01-16,1950,False,False,0.48,0.48184984984984996,0.0,0.0038538538538541722,-0.0038390586827544704
1950-01-17,1950,False,False,0.52,0.5255495495495497,0.0,0.010672210672210802,-0.01055951727921034
1950-01-18,1950,False,False,0.56,0.5652852852852854,0.0,0.009438009438009543,-0.009349766255843717
1950-01-19,1950,False,False,0.6,0.6058138138138139,0.0,0.009689689689689862,-0.00959670063845841
1950-01-20,1950,False,False,0.64,0.6466066066066066,0.0,0.01032282282282293,-0.010217350919561552
1950-01-21,1950,False,False,0.68,0.6876636636636637,0.0,0.011270093623034994,-0.01114449413079932
1950-01-23,1950,False,False,0.72,0.7271351351351352,0.0,0.00990990990991003,-0.009812667261373864
1950-01-24,1950,False,False,0.76,0.7655495495495496,0.0,0.00730203888098635,-0.007249105629824948
1950-01-25,1950,False,False,0.8,0.8023783783783782,0.0,0.0029729729729726095,-0.0029641606036105994
1950-01-26,1950,False,False,0.84,0.8421141141141142,0.0,0.00251680251680253,-0.002510484124040868
1950-01-27,1950,False,False,0.88,0.8844924924924924,0.0,0.005105105105104979,-0.00507917538093805
1950-01-28,1950,False,False,0.92,0.9266066066066065,0.0,0.007181094137615807,-0.007129893699766576
1950-01-30,1950,False,False,0.96,0.9697777777777776,0.0,0.010185185185185075,-0.010082493125572745
1950-01-31,1950,False,False,1.0,1.0105705705705705,0.0,0.010570570570570537,-0.010460002377273181
1950-02-01,1950,False,False,1.0454545454545454,1.056025116025116,0.0,0.010110980545763093,-0.010009771936446143
1950-02-02,1950,False,False,1.0909090909090908,1.1062364182364182,0.0,0.01405005005005,-0.013855381250024723
1950-02-03,1950,False,False,1.1363636363636365,1.1532765492765493,0.0,0.014883363363363378,-0.014665097390146653
1950-02-04,1950,False,False,1.1818181818181819,1.2003166803166803,0.0,0.015652575652575607,-0.01541134835651703
1950-02-06,1950,False,False,1.2272727272727273,1.2449784329784332,0.0,0.014426871315760481,-0.01422169672718554
1950-02-07,1950,False,False,1.2727272727272727,1.2880546000546,0.0,0.012042900042900095,-0.011899594416787673
1950-02-08,1950,False,False,1.3181818181818181,1.332980616980617,0.0,0.011226674950812976,-0.01110203600133386
1950-02-09,1950,False,False,1.3636363636363638,1.3802850122850123,0.0,0.012209009009009009,-0.01206174703084495
1950-02-10,1950,False,False,1.4090909090909092,1.4246825006825006,0.0,0.011065000484355103,-0.010943906157422578
1950-02-11,1950,False,False,1.4545454545454546,1.4693442533442533,0.0,0.0101741741741741,-0.010071702914491554
1950-02-14,1950,False,False,1.5,1.5108348348348348,0.0,0.0072232232232232185,-0.0071714224381246305
1950-02-15,1950,False,False,1.5454545454545454,1.5562893802893802,0.0,0.007010775481363751,-0.006961966695949728
1950-02-16,1950,False,True,1.590909090909091,1.5998940758940756,0.0,0.005647704847704826,-0.00561598740839353
1950-02-17,1950,False,False,1.6363636363636365,1.6604153107037154,0.0,0.014698245430048384,-0.014485336400496873
1950-02-18,1950,False,False,1.6818181818181819,1.713403200835808,0.0,0.018780281578048008,-0.018434084284550623
1950-02-20,1950,False,False,1.7272727272727273,1.7560327420362736,0.0,0.01665053486310586,-0.01637783514799196
1950-02-21,1950,False,False,1.7727272727272727,1.798662283236739,0.0,0.01463000592841679,-0.014419055067300124
1950-02-23,1950,False,False,1.8181818181818181,1.8478835010300576,0.0,0.01633592556653163,-0.016073352476865033
1950-02-24,1950,False,False,1.8636363636363638,1.8999297230774568,0.0,0.019474485553757415,-0.019102474686435222
1950-02-25,1950,False,False,1.9090909090909092,1.9435009323626153,0.0,0.018024297904227105,-0.01770517456344911
1950-02-27,1950,False,False,1.9545454545454546,1.9908388139865476,0.0,0.01856869552800111,-0.01823018477744942
1950-02-28,1950,False,False,2.0,2.030643350932933,0.0,0.015321675466466456,-0.015090464270278936
1950-03-01,1950,False,False,2.037037037037037,2.0695637241393565,0.0,0.015967646395683932,-0.015716687881087488
1950-03-02,1950,False,False,2.074074074074074,2.1056590930917003,0.0,0.015228491312069936,-0.015000062983248963
1950-03-03,1950,False,False,2.111111111111111,2.148346138636898,0.0,0.017637644617477966,-0.017331949845573846
1950-03-04,1950,False,False,2.1481481481481484,2.189149848012708,0.0,0.019086998212812567,-0.018729508124709082
1950-03-06,1950,False,False,2.185185185185185,2.2252452169650523,0.0,0.018332556916210496,-0.018002524609177173
1950-03-07,1950,False,False,2.2222222222222223,2.2509822369857684,0.0,0.012942006643595683,-0.012776651139663309
1950-03-08,1950,False,False,2.259259259259259,2.287077605938112,0.0,0.012313038693918532,-0.012163271856899915
1950-03-09,1950,False,False,2.2962962962962963,2.3128146259588287,0.0,0.007193466143360805,-0.0071420897624617785
1950-03-10,1950,False,False,2.3333333333333335,2.3517349991652523,0.0,0.007886428213679686,-0.007824719127984436
1950-03-11,1950,False,False,2.3703703703703702,2.3934803766257566,0.0,0.009749533888991246,-0.009655398256477876
1950-03-13,1950,False,False,2.4074074074074074,2.4286340774934065,0.0,0.008817232189568758,-0.00874016809807232
1950-03-14,1950,False,False,2.4444444444444446,2.4779127996314574,0.0,0.013691599849232627,-0.013506671902251965
1950-03-15,1950,False,False,2.4814814814814814,2.5337831983623627,0.0,0.021076811280355212,-0.020641749031521273
1950-03-16,1950,False,False,2.5185185185185186,2.5745869077381727,0.0,0.022262448660745227,-0.021777625393469946
1950-03-17,1950,False,False,2.5555555555555554,2.6078572724364366,0.0,0.02046588921425796,-0.02005543686523048
1950-03-18,1950,False,False,2.5925925925925926,2.648660981812247,0.0,0.02162637869900963,-0.02116857899318314
1950-03-20,1950,False,True,2.6296296296296298,2.6809896784258176,0.0,0.01953128616193056,-0.019157122912291324
1950-03-21,1950,False,False,2.6666666666666665,2.7195639801867224,0.0,0.019836492570020736,-0.019450659703333817
1950-03-22,1950,False,False,2.7037037037037037,2.7719736644624393,0.0,0.025250533431313116,-0.024628646957933875
1950-03-23,1950,False,False,2.740740740740741,2.810547966223344,0.0,0.025470203892301146,-0.024837585524792205
1950-03-24,1950,False,False,2.7777777777777777,2.847585003260381,0.0,0.02513060117373711,-0.024514536142969057
1950-03-25,1950,False,False,2.814814814814815,2.892308363916759,0.0,0.02753060297042742,-0.02679297618079779
1950-03-27,1950,False,False,2.8518518518518516,2.906286430095776,0.0,0.019087449514103128,-0.018729942678819334
1950-03-28,1950,False,False,2.888888888888889,2.9540843201998888,0.0,0.02256764929996158,-0.0220695905208923
1950-03-29,1950,False,False,2.925925925925926,2.977285974722114,0.0,0.017553434398697165,-0.017250626655365697
1950-03-30,1950,False,False,2.962962962962963,2.992801305624999,0.0,0.010070440648437096,-0.009970037972769852
