horizon_years,contribution_interval_days,window_count,annual_alpha_theoretical_mean,annual_alpha_theoretical_median,final_relative_advantage_theoretical_mean,final_relative_advantage_theoretical_median,theoretical_win_rate,annual_alpha_implementable_mean,annual_alpha_implementable_median,final_relative_advantage_implementable_mean,final_relative_advantage_implementable_median,implementable_win_rate,implementable_minus_theoretical_annual_alpha_mean,implementable_minus_theoretical_annual_alpha_median
1,15,5,0.017234103523533207,0.014808424756373118,0.059042256113915045,0.057022318185509624,1.0,-0.00390067439070394,-0.0043035482635620514,0.037851282109466,0.03764547120170936,0.2,-0.021134777914237145,-0.021125967030892978
1,30,5,0.028169934576522948,0.024369109087903462,0.11280171975980453,0.1068126617293581,1.0,-0.005009616798034555,-0.005695689012400695,0.07816680941480887,0.07727802770124192,0.2,-0.033179551374557505,-0.031087757381959236
1,45,5,0.03763011599639421,0.03482246476859818,0.16610845704414356,0.1600667265896316,1.0,-0.0027000964555435212,0.0005359444303828509,0.1220973831554594,0.12561425498096246,0.6,-0.04033021245193773,-0.033466702009849136
1,60,5,0.04195791824929436,0.040740699198214436,0.21418619442158704,0.20916746097382832,1.0,0.00022330984159351085,0.00011538977032432562,0.16678776787109784,0.16678893544137008,0.6,-0.041734608407700845,-0.036505907578397334
1,90,5,0.05010503482294424,0.04641734159529487,0.31018074075561086,0.30232435088856824,1.0,0.0006856156356938481,-0.0024573901670372766,0.25072983773282076,0.24717701622446375,0.4,-0.04941941918725039,-0.0433628330063478
1,120,5,0.06154796440231454,0.06161498879318539,0.4128751268374577,0.4084092539156756,1.0,0.007939130290361062,3.4941393954879274e-05,0.34357412423316785,0.3333759091253956,0.6,-0.053608834111953475,-0.05023950782159137
2,15,5,0.009186831586980615,0.008859112356945031,0.03930047388875666,0.04060182795043921,1.0,-0.00025142098081292196,-0.00037296561322830435,0.020522806156769446,0.020103094781098063,0.2,-0.009438252567793537,-0.009544890222559221
2,30,5,0.014974828379537296,0.014478301888094847,0.0725089433369853,0.07496052218580163,1.0,-0.0002333414146497681,-0.0004981369060634844,0.04150777713218776,0.04067053198885362,0.4,-0.015208169794187066,-0.014899799318361051
2,45,5,0.021068200620519773,0.021874770189487802,0.10707209962951456,0.1077319412635489,1.0,0.0016298494856297418,0.0006944466070890609,0.06613446335250957,0.06391979345400478,0.8,-0.01943835113489003,-0.01762113496081663
2,60,5,0.021976960230956345,0.02315199258597489,0.130672597914215,0.13233483290551273,1.0,0.0012374508344884737,0.00012576998076951895,0.08624754673740295,0.08359541692109973,0.6,-0.02073950939646787,-0.019407037048203124
2,90,5,0.030457480000049553,0.030685726214311315,0.19357272878981738,0.20003094430091428,1.0,0.00931916217225015,0.010361990440209246,0.14564084565133145,0.14765129506944796,1.0,-0.021138317827799402,-0.020066006562893923
2,120,5,0.034174441554236476,0.034352646260614295,0.24676195475862756,0.24611338503703362,1.0,0.007532693425821524,0.004674150501581709,0.18373794498634663,0.17684259700073302,0.8,-0.026641748128414956,-0.02793751748205442
3,15,5,0.006030817419041279,0.005663147143141201,0.028299916190831366,0.028376377762097116,1.0,-0.0007424602006965042,-0.0008263752201858043,0.008831985989017554,0.011082924350022116,0.0,-0.006773277619737783,-0.005881429805147276
3,30,5,0.00957770011795569,0.009187804086042473,0.055896801449752995,0.05531923836415187,1.0,-0.0010949726224511735,-0.0008057573851314448,0.024611528979310827,0.02539167080357574,0.0,-0.010672672740406864,-0.00986809464544347
3,45,5,0.012732743433873405,0.011144588697579394,0.07967012374572162,0.07446215182388172,1.0,-0.0014976267155285329,-0.0011457187887851106,0.037225658219842604,0.03833330963765702,0.0,-0.014230370149401938,-0.01353232900778889
3,60,5,0.014051923648221188,0.014450813397454132,0.09817266018363528,0.100277678986193,1.0,-0.0021722270639530803,-0.0010624886697974123,0.049085378631387844,0.05232220862419279,0.2,-0.016224150712174267,-0.017082020943871346
3,90,5,0.019066828703362893,0.017302172946296768,0.1430942576336808,0.13848644805979116,1.0,0.0014672952941026996,0.0023736538266692087,0.08782562886110461,0.09054790681417058,0.8,-0.017599533409260192,-0.01723576955439632
3,120,5,0.022421946641540024,0.02059508765223428,0.18351070992263424,0.17674340686761192,1.0,-0.000823921860002752,-0.0002062962083801967,0.10863040368258577,0.11044797248214877,0.4,-0.023245868501542775,-0.022683861213460776
4,15,5,0.004458051468213498,0.004015186595219822,0.027738443697704306,0.02621905767382149,1.0,-0.0004419965919062907,-0.0004738165945599171,0.008603394378973084,0.008444103011726378,0.0,-0.004900048060119788,-0.004489003189779739
4,30,5,0.007002801142816484,0.0071684321918839,0.04862156118356866,0.04967641635808073,1.0,-0.0006699322992399726,-0.0005618479359819073,0.018240203606000226,0.018610798714804533,0.0,-0.007672733442056457,-0.007445454713513877
4,45,5,0.009527413317084666,0.008479586070806233,0.06959810597193691,0.06575943101797899,1.0,-0.0009288366612884236,-0.00019683048310192852,0.027627043750136117,0.030473947872218465,0.4,-0.010456249978373088,-0.010524041351345437
4,60,5,0.010400222420784066,0.010916931171806254,0.08404784396688605,0.08476136947472157,1.0,-0.0009785569033126773,-0.0005279948202199236,0.03783931453514509,0.03952307292445845,0.4,-0.011378779324096745,-0.011533745837381204
4,90,5,0.013515904421252056,0.013867433391332895,0.11898046866687695,0.11861843711467657,1.0,0.000631170150548277,0.0016931261530235275,0.06522285568401612,0.06950256175760972,0.6,-0.012884734270703779,-0.014745416527256916
4,120,5,0.016429588125387484,0.017353296128147955,0.15375705566939665,0.15876918477715019,1.0,0.0009858733067821478,0.0020365618037616606,0.08772442320106269,0.09209587032448652,0.6,-0.015443714818605337,-0.014591566077809759
5,15,5,0.0034092167969559826,0.0031662805886747414,0.02474262829380436,0.02392423646100661,1.0,-0.00032583100865286597,-0.00031498666184481827,0.006725560935312913,0.0067208784259240595,0.2,-0.0037350478056088487,-0.0034570009111147826
5,30,5,0.005327893453442733,0.005199779871158494,0.04271688023171936,0.0426408197059116,1.0,-0.0006964610357231837,-0.0005058143818195138,0.013343441839235037,0.01425112982749055,0.0,-0.006024354489165917,-0.005786103055823277
5,45,5,0.00737362827918524,0.0064943890349817845,0.061493693063977076,0.05631881541586181,1.0,-0.0010063407028687355,-0.0011417121008128195,0.020123760313982997,0.019667482808243042,0.0,-0.008379968982053976,-0.00787144807183382
5,60,5,0.008058358067755966,0.008562622554670885,0.07358184534889052,0.07711253011013897,1.0,-0.0013436683272575855,-0.0010880700479745098,0.026763492765549436,0.027873713478342665,0.0,-0.009402026395013552,-0.009650692602645394
5,90,5,0.010816752201931346,0.010424048865322888,0.1053386827893037,0.10439521524551099,1.0,-0.0003339769289212313,-0.000542170936857822,0.04843557360630215,0.04723059625633752,0.4,-0.011150729130852577,-0.01096621980218071
5,120,5,0.0135341049376279,0.013822660686077626,0.13735364449293103,0.14044968525064716,1.0,-8.559544058241996e-05,0.0006802976398132543,0.06629527693971822,0.0699972965386284,0.6,-0.01361970037821032,-0.012687662821198709
6,15,5,0.003085152964660409,0.002808698044012292,0.023364025667307553,0.02369873767721753,1.0,-0.00023526612254451962,-7.458700582474442e-05,0.004165925703758244,0.004533655409643789,0.0,-0.003320419087204929,-0.002916824649522365
6,30,5,0.005127336030589147,0.004542476261918171,0.04103483497049831,0.04125614084557938,1.0,-0.0002682849034304713,-0.0001068315929244612,0.00950719753922311,0.00796977812875177,0.4,-0.005395620934019618,-0.004895195627107718
6,45,5,0.006539675165906989,0.005973226514986996,0.0595697293893767,0.05746800448267808,1.0,-0.0004904245016028152,-0.0010346910280054633,0.017991223722384264,0.015094792947675018,0.4,-0.007030099667509804,-0.006681289940990265
6,60,5,0.007621782165143332,0.007078983412750484,0.07339764682429606,0.07159753767500687,1.0,-0.00043394017126869856,-0.00042829562822710443,0.02525553248052912,0.025183300139589804,0.4,-0.00805572233641203,-0.0069889269435410295
6,90,5,0.01028132015500991,0.009598810106743683,0.1045771856877625,0.10232030461508934,1.0,0.0004374545362826776,-0.0007609296711585944,0.04436494811855329,0.03735419311006183,0.4,-0.009843865618727233,-0.00948300966988147
6,120,5,0.0115904683494791,0.010533444628435973,0.12750215810107632,0.11778679125474145,1.0,-0.00021904452771579486,0.0001230936489764467,0.054145041578693175,0.056325086530077284,0.6,-0.011809512877194894,-0.011704721588360334
7,15,5,0.0026564666292298255,0.0026501058275480993,0.024200966174487037,0.023617326269127048,1.0,-0.00020443798218687802,-0.000369306758172927,0.004567800325576066,0.003442429685715398,0.4,-0.0028609046114167038,-0.002825080474101793
7,30,5,0.004443638129150496,0.004318812185083898,0.042731589050699584,0.04097938526201106,1.0,-0.0003445746046048193,-0.0003254944434232243,0.009500815507595118,0.009600073793685215,0.2,-0.004788212733755315,-0.0046784496028620115
7,45,5,0.0058325227198217314,0.005656125233503895,0.05890738001524274,0.0564842393272742,1.0,-0.00042067494950566165,-0.00045037029289429764,0.015085775512122446,0.014626998315701023,0.2,-0.006253197669327392,-0.006085948399479402
7,60,5,0.006980740941297259,0.006256046101174695,0.07344323935800175,0.06821186302257032,1.0,-0.00039802829159119035,-0.0002882933903067819,0.021191470151874014,0.021900963954572195,0.4,-0.007378769232888449,-0.007503484977523178
7,90,5,0.00915614990650555,0.00843985523535351,0.1021317186154084,0.09486199492275338,1.0,-3.4512779107265247e-06,-0.00016724743535978526,0.035810895202962455,0.03449208060313369,0.4,-0.009159601184416277,-0.010005776875734895
7,120,5,0.010907568831814828,0.010185090344676295,0.12790403947900283,0.1202270530717442,1.0,0.0003921626085994001,0.0001054180601810506,0.050274376177206336,0.04839902732891499,0.6,-0.010515406223215428,-0.0112113010829622
8,15,5,0.0024476693039154006,0.002630302140820495,0.02474424698088349,0.025181505901757495,1.0,-5.3925631262918826e-05,-0.0001855720137278194,0.004816166962437851,0.0037512690410583804,0.4,-0.0025015949351783195,-0.0026056258211946126
8,30,5,0.004102947476760632,0.004332454455505008,0.04352096608318985,0.043746862730657865,1.0,-6.677375017523079e-05,-0.00037749662967812014,0.009955040434546713,0.007447214955992321,0.4,-0.004169721226935863,-0.003971322396635557
