horizon_years,contribution_interval_days,window_count,theoretical_win_rate,annual_alpha_theoretical_p10,annual_alpha_theoretical_p25,annual_alpha_theoretical_median,annual_alpha_theoretical_p75,annual_alpha_theoretical_p90,annual_alpha_theoretical_min,annual_alpha_theoretical_max,implementable_win_rate,annual_alpha_implementable_p10,annual_alpha_implementable_p25,annual_alpha_implementable_median,annual_alpha_implementable_p75,annual_alpha_implementable_p90,annual_alpha_implementable_min,annual_alpha_implementable_max
1,15,5,1.0,0.012673996419280308,0.014439934833421209,0.014808424756373118,0.02033073047267253,0.02318912623627669,0.011496704143186376,0.025094723412012798,0.2,-0.007773737451391915,-0.006880333897366864,-0.0043035482635620514,-0.0007952365582204468,0.00018895732853478912,-0.00836933982074195,0.0008450865863716128
1,30,5,1.0,0.022008581662091055,0.023172636745032227,0.024369109087903462,0.034669323971898924,0.036311364471349486,0.02123254494013027,0.037406058137649856,0.2,-0.0082128785775204,-0.0067186482940557735,-0.005695689012400695,-0.004302642052810279,-0.001194300339769638,-0.00920903209983015,0.0008779274689241223
1,45,5,1.0,0.02574453470641913,0.02975346155437586,0.03482246476859818,0.048847722261060156,0.050532097658517384,0.023071916807781312,0.051655014590155535,0.6,-0.01091588665865697,-0.010394785202067824,0.0005359444303828509,0.0026758320907107613,0.004037821256068108,-0.0112632876297164,0.004945814032973006
1,60,5,1.0,0.029134855347170217,0.030606478952446947,0.040740699198214436,0.04409109230750008,0.05735496562979479,0.0281537729436524,0.06619754784465792,0.6,-0.011770572188863591,-0.0014797781576522118,0.00011538977032432562,0.004234791619817102,0.011820265159016553,-0.018631101543004513,0.016877247518482852
1,90,5,1.0,0.03523460604445683,0.044635828741825145,0.04641734159529487,0.055224863619595554,0.06725795499491483,0.028967124246211284,0.07528001591179434,0.4,-0.026063982760063074,-0.006589119325672743,-0.0024573901670372766,0.01960462981538935,0.026992161669423666,-0.03904722504965663,0.03191718290544654
1,120,5,1.0,0.03818191278576335,0.05405774918050277,0.06161498879318539,0.06863060394635867,0.08495531651989674,0.02759802185593707,0.09583845823558879,0.6,-0.023043272944541247,-0.002479769284371658,3.4941393954879274e-05,0.03329380431287898,0.040676891973550046,-0.03675227538465431,0.04559895041399742
2,15,5,1.0,0.007261031746051127,0.007391597558920937,0.008859112356945031,0.010052580957941482,0.011495159897351215,0.007173987870804588,0.012456879190291037,0.2,-0.0018026709786485018,-0.001276738451163828,-0.00037296561322830435,-2.9548745958951628e-05,0.0015334448435712746,-0.0021532926636382843,0.0025754405699247584
2,30,5,1.0,0.011417868549824028,0.01197058185700084,0.014478301888094847,0.017900371589570918,0.018845444766616603,0.011049393011706155,0.019475493551313727,0.4,-0.0026683234385484144,-0.0022769824043307185,-0.0004981369060634844,2.4302211366178383e-05,0.0027177173768301094,-0.0029292174613602118,0.004513327487139396
2,45,5,1.0,0.015982410419515425,0.017565854442382012,0.021874770189487802,0.021910329215269364,0.026202092596820936,0.0149267810709377,0.029063268184521984,0.8,2.9171763715174498e-05,0.0001558501869398654,0.0006944466070890609,0.0023123341904953687,0.003950071853433568,-5.528051843461945e-05,0.005041896962059034
2,60,5,1.0,0.01798816818386011,0.02135504577163716,0.02315199258597489,0.023511265505552048,0.025078254701986148,0.015743583125342075,0.026122914166275546,0.6,-0.0035243189649507125,-0.0006082616543814368,0.00012576998076951895,0.005422225899978761,0.006198416630834957,-0.005468357171996896,0.006715877118072422
2,90,5,1.0,0.023064491332431068,0.02321924550427945,0.030685726214311315,0.033941948932907584,0.03846427405169339,0.02296132188453215,0.041479157464217264,1.0,0.0057682011602411265,0.0066567360100731054,0.010361990440209246,0.010525297447268267,0.012535684400915504,0.005175844593686474,0.01387594237001366
2,120,5,1.0,0.026985111096677627,0.03261166798363613,0.034352646260614295,0.035339793314834944,0.04133633354996902,0.023234073172038627,0.0453340270400584,0.8,-0.0006098930253049418,3.103440480023423e-05,0.004674150501581709,0.007504906065844308,0.018896294907691583,-0.0010371779787083923,0.02649055413558976
3,15,5,1.0,0.004866834229073591,0.004987556603980536,0.005663147143141201,0.006795281403686904,0.007471162140632037,0.004786352645802294,0.00792174929859546,0.0,-0.0011658869482789047,-0.0008938732011667394,-0.0008263752201858043,-0.00045670887985260755,-0.0002955521054952559,-0.0013472294463536816,-0.00018811425592368813
3,30,5,1.0,0.007384247764864238,0.007588872257861423,0.009187804086042473,0.010928829242962124,0.012132629837212638,0.007247831436199448,0.012935163566712982,0.0,-0.001870002705279461,-0.0017316712541683987,-0.0008057573851314448,-0.0006802905594009978,-0.00044906836828131344,-0.001962223672686836,-0.0002949202408681906
3,45,5,1.0,0.009665938630520232,0.010122191734054153,0.011144588697579394,0.013988614546057043,0.01702337719653011,0.009361769894830951,0.019046552296845487,0.0,-0.0026960678144505755,-0.0016249636255243338,-0.0011457187887851106,-0.0008803536444546012,-0.0006083176048681693,-0.003410137273734737,-0.0004269602451438814
3,60,5,1.0,0.010857004989271423,0.012839835872658911,0.014450813397454132,0.016283615450148226,0.01680358765235823,0.009535117733679765,0.017150235787164902,0.2,-0.004697342269842375,-0.0034889167411926714,-0.0010624886697974123,-0.0008749854631266984,-0.0003090652792745451,-0.0055029592889421775,6.821484329355698e-05
3,90,5,1.0,0.01360698249323895,0.014861756381961744,0.017302172946296768,0.02263199053972631,0.025713450464734056,0.012770466567423755,0.027767757081405886,0.8,-0.0026182970935354263,0.0018033279511522338,0.0023736538266692087,0.003329320830689264,0.0045694609234737,-0.0055660471233272,0.005396220985329991
3,120,5,1.0,0.016787125579021556,0.019685660388951032,0.02059508765223428,0.025542966918857823,0.02907593629269618,0.014854769039068572,0.03143124920858842,0.4,-0.008631919079337802,-0.007463605678961427,-0.0002062962083801967,0.00421369927178894,0.006933912505792162,-0.009410794679588719,0.008747387995127642
4,15,5,1.0,0.0034781918239412237,0.0035625445056071126,0.004015186595219822,0.0052326557230983894,0.005727810577826275,0.003421956702830631,0.006057913814311533,0.0,-0.0006571481125126066,-0.0006475825460816598,-0.0004738165945599171,-0.00038734342358504037,-0.00017756651253697517,-0.0006635251567999045,-3.771523850493175e-05
4,30,5,1.0,0.005520207220596429,0.005674269384583264,0.0071684321918839,0.007719106193235348,0.00850846177715896,0.005417499111271873,0.009034698833108035,0.0,-0.0012891236367002623,-0.0009290423066288245,-0.0005618479359819073,-0.0002770225216299771,-0.00014235153377875062,-0.0015291778567478875,-5.2570875211266355e-05
4,45,5,1.0,0.0075507236283715255,0.008309473078129681,0.008479586070806233,0.010491110191169772,0.01218364802653884,0.007044890661866088,0.013312006583451552,0.4,-0.0024765615483888226,-0.0020444552805392036,-0.00019683048310192852,5.351065200609462e-05,0.0002063387800913308,-0.002764632393621902,0.00030822419881482155
4,60,5,1.0,0.00905383887484006,0.009397431978388049,0.010916931171806254,0.01100575101716128,0.011516033085318522,0.008824776805808066,0.011856221130756683,0.4,-0.002687594938532323,-0.00234688641467784,-0.0005279948202199236,0.00024255268171136102,0.0004895878673195409,-0.0029147339544353112,0.0006542779910583274
4,90,5,1.0,0.010119823951884621,0.01111822432344467,0.013867433391332895,0.014341244904448658,0.017015535431493145,0.009454223704177922,0.018798395782856137,0.6,-0.0016965801798098923,-0.00040417162280825814,0.0016931261530235275,0.00192205245069621,0.002270638774063016,-0.0025581858844776484,0.002503029656307554
