date,price,index_name,year,month,day,month_key,quarter_key,week_key,return_factor,investment_signal,cash_inflow,cash_balance,contribution,invested_wealth,wealth,total_contribution,wealth_return,all_time_high,all_time_high_flag,segment_reference_high,drawdown_from_reference_high,threshold_hit
1990-12-19,99.98,Shanghai Composite,1990,12,19,199012,19904,199051,1.0,False,0.1111111111111111,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,99.98,True,99.98,0.0,False
1990-12-20,104.39,Shanghai Composite,1990,12,20,199012,19904,199051,1.0441088217643528,False,0.1111111111111111,0.2222222222222222,0.0,0.0,0.2222222222222222,0.0,0.0,104.39,True,104.39,0.0,False
1990-12-21,109.13,Shanghai Composite,1990,12,21,199012,19904,199051,1.0454066481463742,False,0.1111111111111111,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,109.13,True,109.13,0.0,False
1990-12-24,114.55,Shanghai Composite,1990,12,24,199012,19904,199052,1.0496655365160819,False,0.1111111111111111,0.4444444444444444,0.0,0.0,0.4444444444444444,0.0,0.0,114.55,True,114.55,0.0,False
1990-12-25,120.25,Shanghai Composite,1990,12,25,199012,19904,199052,1.0497599301615015,False,0.1111111111111111,0.5555555555555556,0.0,0.0,0.5555555555555556,0.0,0.0,120.25,True,120.25,0.0,False
1990-12-26,125.27,Shanghai Composite,1990,12,26,199012,19904,199052,1.0417463617463618,False,0.1111111111111111,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,125.27,True,125.27,0.0,False
1990-12-27,125.28,Shanghai Composite,1990,12,27,199012,19904,199052,1.0000798275724436,False,0.1111111111111111,0.7777777777777777,0.0,0.0,0.7777777777777777,0.0,0.0,125.28,True,125.28,0.0,False
1990-12-28,126.45,Shanghai Composite,1990,12,28,199012,19904,199052,1.0093390804597702,False,0.1111111111111111,0.8888888888888888,0.0,0.0,0.8888888888888888,0.0,0.0,126.45,True,126.45,0.0,False
1990-12-31,127.61,Shanghai Composite,1990,12,31,199012,19904,199101,1.0091735863977858,False,0.1111111111111111,1.0,0.0,0.0,1.0,0.0,0.0,127.61,True,127.61,0.0,False
1991-01-02,128.84,Shanghai Composite,1991,1,2,199101,19911,199101,1.0096387430452158,False,0.047619047619047616,1.0476190476190474,0.0,0.0,1.0476190476190474,0.0,0.0,128.84,True,128.84,0.0,False
1991-01-03,130.14,Shanghai Composite,1991,1,3,199101,19911,199101,1.0100900341508847,False,0.047619047619047616,1.0952380952380951,0.0,0.0,1.0952380952380951,0.0,0.0,130.14,True,130.14,0.0,False
1991-01-04,131.44,Shanghai Composite,1991,1,4,199101,19911,199101,1.0099892423543877,False,0.047619047619047616,1.1428571428571428,0.0,0.0,1.1428571428571428,0.0,0.0,131.44,True,131.44,0.0,False
1991-01-07,132.06,Shanghai Composite,1991,1,7,199101,19911,199102,1.0047169811320755,False,0.047619047619047616,1.1904761904761905,0.0,0.0,1.1904761904761905,0.0,0.0,132.06,True,132.06,0.0,False
1991-01-08,132.68,Shanghai Composite,1991,1,8,199101,19911,199102,1.0046948356807512,False,0.047619047619047616,1.2380952380952381,0.0,0.0,1.2380952380952381,0.0,0.0,132.68,True,132.68,0.0,False
1991-01-09,133.34,Shanghai Composite,1991,1,9,199101,19911,199102,1.0049743744347301,False,0.047619047619047616,1.2857142857142856,0.0,0.0,1.2857142857142856,0.0,0.0,133.34,True,133.34,0.0,False
1991-01-10,133.97,Shanghai Composite,1991,1,10,199101,19911,199102,1.004724763761812,False,0.047619047619047616,1.3333333333333333,0.0,0.0,1.3333333333333333,0.0,0.0,133.97,True,133.97,0.0,False
1991-01-11,134.6,Shanghai Composite,1991,1,11,199101,19911,199102,1.004702545345973,False,0.047619047619047616,1.380952380952381,0.0,0.0,1.380952380952381,0.0,0.0,134.6,True,134.6,0.0,False
1991-01-14,134.67,Shanghai Composite,1991,1,14,199101,19911,199103,1.000520059435364,False,0.047619047619047616,1.4285714285714284,0.0,0.0,1.4285714285714284,0.0,0.0,134.67,True,134.67,0.0,False
1991-01-15,134.74,Shanghai Composite,1991,1,15,199101,19911,199103,1.000519789114131,False,0.047619047619047616,1.476190476190476,0.0,0.0,1.476190476190476,0.0,0.0,134.74,True,134.74,0.0,False
1991-01-16,134.24,Shanghai Composite,1991,1,16,199101,19911,199103,0.9962891494730592,False,0.047619047619047616,1.5238095238095237,0.0,0.0,1.5238095238095237,0.0,0.0,134.74,False,134.74,-0.0037108505269407566,False
1991-01-17,134.25,Shanghai Composite,1991,1,17,199101,19911,199103,1.0000744934445769,False,0.047619047619047616,1.5714285714285714,0.0,0.0,1.5714285714285714,0.0,0.0,134.74,False,134.74,-0.003636633516401977,False
1991-01-18,134.24,Shanghai Composite,1991,1,18,199101,19911,199103,0.9999255121042832,False,0.047619047619047616,1.619047619047619,0.0,0.0,1.619047619047619,0.0,0.0,134.74,False,134.74,-0.0037108505269407566,False
1991-01-22,133.72,Shanghai Composite,1991,1,22,199101,19911,199104,0.9961263408820024,False,0.047619047619047616,1.6666666666666665,0.0,0.0,1.6666666666666665,0.0,0.0,134.74,False,134.74,-0.007570135074959294,False
1991-01-23,133.17,Shanghai Composite,1991,1,23,199101,19911,199104,0.9958869279090636,False,0.047619047619047616,1.7142857142857142,0.0,0.0,1.7142857142857142,0.0,0.0,134.74,False,134.74,-0.011652070654594171,False
1991-01-24,132.61,Shanghai Composite,1991,1,24,199101,19911,199104,0.995794848689645,False,0.047619047619047616,1.7619047619047619,0.0,0.0,1.7619047619047619,0.0,0.0,134.74,False,134.74,-0.015808223244767716,False
1991-01-25,132.05,Shanghai Composite,1991,1,25,199101,19911,199104,0.9957770907171405,False,0.047619047619047616,1.8095238095238093,0.0,0.0,1.8095238095238093,0.0,0.0,134.74,False,134.74,-0.019964375834941372,False
1991-01-28,131.46,Shanghai Composite,1991,1,28,199101,19911,199105,0.9955319954562666,False,0.047619047619047616,1.857142857142857,0.0,0.0,1.857142857142857,0.0,0.0,134.74,False,134.74,-0.02434317945673148,False
1991-01-29,130.95,Shanghai Composite,1991,1,29,199101,19911,199105,0.9961204929256046,False,0.047619047619047616,1.9047619047619047,0.0,0.0,1.9047619047619047,0.0,0.0,134.74,False,134.74,-0.028128246994211237,False
1991-01-30,130.44,Shanghai Composite,1991,1,30,199101,19911,199105,0.9961053837342497,False,0.047619047619047616,1.9523809523809523,0.0,0.0,1.9523809523809523,0.0,0.0,134.74,False,134.74,-0.03191331453169077,False
1991-01-31,129.97,Shanghai Composite,1991,1,31,199101,19911,199105,0.9963968107942349,False,0.047619047619047616,2.0,0.0,0.0,2.0,0.0,0.0,134.74,False,134.74,-0.03540151402701508,False
1991-02-01,129.51,Shanghai Composite,1991,2,1,199102,19911,199105,0.9964607217050088,False,0.05555555555555555,2.0555555555555554,0.0,0.0,2.0555555555555554,0.0,0.0,134.74,False,134.74,-0.03881549651180061,False
1991-02-04,129.05,Shanghai Composite,1991,2,4,199102,19911,199106,0.9964481507219521,False,0.05555555555555555,2.111111111111111,0.0,0.0,2.111111111111111,0.0,0.0,134.74,False,134.74,-0.04222947899658602,False
1991-02-05,128.58,Shanghai Composite,1991,2,5,199102,19911,199106,0.9963580007748934,False,0.05555555555555555,2.1666666666666665,0.0,0.0,2.1666666666666665,0.0,0.0,134.74,False,134.74,-0.04571767849191033,False
1991-02-06,129.14,Shanghai Composite,1991,2,6,199102,19911,199106,1.0043552652045418,False,0.05555555555555555,2.2222222222222223,0.0,0.0,2.2222222222222223,0.0,0.0,134.74,False,134.74,-0.041561525901736895,False
1991-02-07,129.79,Shanghai Composite,1991,2,7,199102,19911,199106,1.0050332971968408,False,0.05555555555555555,2.2777777777777777,0.0,0.0,2.2777777777777777,0.0,0.0,134.74,False,134.74,-0.03673742021671378,False
1991-02-08,130.38,Shanghai Composite,1991,2,8,199102,19911,199106,1.0045458047615379,False,0.05555555555555555,2.333333333333333,0.0,0.0,2.333333333333333,0.0,0.0,134.74,False,134.74,-0.03235861659492367,False
1991-02-11,130.97,Shanghai Composite,1991,2,11,199102,19911,199107,1.0045252339315847,False,0.05555555555555555,2.388888888888889,0.0,0.0,2.388888888888889,0.0,0.0,134.74,False,134.74,-0.027979812973133567,False
1991-02-12,131.35,Shanghai Composite,1991,2,12,199102,19911,199107,1.002901427807895,False,0.05555555555555555,2.444444444444444,0.0,0.0,2.444444444444444,0.0,0.0,134.74,False,134.74,-0.02515956657265861,False
1991-02-13,131.92,Shanghai Composite,1991,2,13,199102,19911,199107,1.004339550818424,False,0.05555555555555555,2.5,0.0,0.0,2.5,0.0,0.0,134.74,False,134.74,-0.020929196971946173,False
1991-02-14,132.53,Shanghai Composite,1991,2,14,199102,19911,199107,1.0046240145542755,False,0.05555555555555555,2.5555555555555554,0.0,0.0,2.5555555555555554,0.0,0.0,134.74,False,134.74,-0.016401959329078286,False
1991-02-19,133.13,Shanghai Composite,1991,2,19,199102,19911,199108,1.004527276842979,False,0.05555555555555555,2.611111111111111,0.0,0.0,2.611111111111111,0.0,0.0,134.74,False,134.74,-0.0119489386967494,False
1991-02-20,133.67,Shanghai Composite,1991,2,20,199102,19911,199108,1.0040561856831667,False,0.05555555555555555,2.6666666666666665,0.0,0.0,2.6666666666666665,0.0,0.0,134.74,False,134.74,-0.007941220127653414,False
1991-02-21,134.28,Shanghai Composite,1991,2,21,199102,19911,199108,1.0045634772200196,False,0.05555555555555555,2.722222222222222,0.0,0.0,2.722222222222222,0.0,0.0,134.74,False,134.74,-0.003413982484785527,False
1991-02-22,134.87,Shanghai Composite,1991,2,22,199102,19911,199108,1.0043938039916593,False,0.05555555555555555,2.7777777777777777,0.0,0.0,2.7777777777777777,0.0,0.0,134.87,True,134.87,0.0,False
1991-02-25,134.4,Shanghai Composite,1991,2,25,199102,19911,199109,0.9965151627493142,False,0.05555555555555555,2.833333333333333,0.0,0.0,2.833333333333333,0.0,0.0,134.87,False,134.87,-0.003484837250685824,False
1991-02-26,133.93,Shanghai Composite,1991,2,26,199102,19911,199109,0.9965029761904762,False,0.05555555555555555,2.888888888888889,0.0,0.0,2.888888888888889,0.0,0.0,134.87,False,134.87,-0.006969674501371648,False
1991-02-27,133.47,Shanghai Composite,1991,2,27,199102,19911,199109,0.9965653699693869,False,0.05555555555555555,2.944444444444444,0.0,0.0,2.944444444444444,0.0,0.0,134.87,False,134.87,-0.010380366278638697,False
1991-02-28,133.01,Shanghai Composite,1991,2,28,199102,19911,199109,0.9965535326290551,False,0.05555555555555555,3.0,0.0,0.0,3.0,0.0,0.0,134.87,False,134.87,-0.013791058055905747,False
1991-03-01,132.53,Shanghai Composite,1991,3,1,199103,19911,199109,0.9963912487782874,False,0.047619047619047616,3.0476190476190474,0.0,0.0,3.0476190476190474,0.0,0.0,134.87,False,134.87,-0.017350040780010456,False
1991-03-04,131.99,Shanghai Composite,1991,3,4,199103,19911,199110,0.995925450841319,False,0.047619047619047616,3.095238095238095,0.0,0.0,3.095238095238095,0.0,0.0,134.87,False,134.87,-0.021353896344628143,False
1991-03-05,131.46,Shanghai Composite,1991,3,5,199103,19911,199110,0.9959845442836578,False,0.047619047619047616,3.142857142857143,0.0,0.0,3.142857142857143,0.0,0.0,134.87,False,134.87,-0.025283606435827055,False
1991-03-06,130.94,Shanghai Composite,1991,3,6,199103,19911,199110,0.9960444241594401,False,0.047619047619047616,3.1904761904761902,0.0,0.0,3.1904761904761902,0.0,0.0,134.87,False,134.87,-0.029139171053607194,False
1991-03-07,130.41,Shanghai Composite,1991,3,7,199103,19911,199110,0.9959523445853062,False,0.047619047619047616,3.238095238095238,0.0,0.0,3.238095238095238,0.0,0.0,134.87,False,134.87,-0.03306888114480622,False
1991-03-08,129.89,Shanghai Composite,1991,3,8,199103,19911,199110,0.9960125757227206,False,0.047619047619047616,3.2857142857142856,0.0,0.0,3.2857142857142856,0.0,0.0,134.87,False,134.87,-0.036924445762586355,False
1991-03-11,129.31,Shanghai Composite,1991,3,11,199103,19911,199111,0.9955346831934715,False,0.047619047619047616,3.333333333333333,0.0,0.0,3.333333333333333,0.0,0.0,134.87,False,134.87,-0.04122488322087936,False
1991-03-12,128.77,Shanghai Composite,1991,3,12,199103,19911,199111,0.9958239888639704,False,0.047619047619047616,3.380952380952381,0.0,0.0,3.380952380952381,0.0,0.0,134.87,False,134.87,-0.04522873878549705,False
1991-03-13,126.15,Shanghai Composite,1991,3,13,199103,19911,199111,0.9796536460355673,True,0.047619047619047616,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,0.0,134.87,False,134.87,-0.06465485282123529,True
1991-03-14,125.63,Shanghai Composite,1991,3,14,199103,19911,199111,0.9958779231074117,False,0.047619047619047616,0.047619047619047616,0.0,3.4144385935111257,3.462057641130173,3.4285714285714284,-0.004065610085840499,134.87,False,134.87,-0.06851041743901543,False
1991-03-15,125.17,Shanghai Composite,1991,3,15,199103,19911,199111,0.9963384541908781,False,0.047619047619047616,0.09523809523809523,0.0,3.401936470188551,3.497174565426646,3.4285714285714284,-0.007558569270816551,134.87,False,134.87,-0.07192110921628236,False
1991-03-18,124.71,Shanghai Composite,1991,3,18,199103,19911,199112,0.9963249980027162,False,0.047619047619047616,0.14285714285714285,0.0,3.3894343468659756,3.5322914897231183,3.4285714285714284,-0.010958382877526818,134.87,False,134.87,-0.07533180099354941,False
1991-03-19,124.22,Shanghai Composite,1991,3,19,199103,19911,199112,0.9960708844519285,False,0.047619047619047616,0.19047619047619047,0.0,3.376116867674537,3.566593058150727,3.4285714285714284,-0.014494023405720036,134.87,False,134.87,-0.0789649291910729,False
1991-03-20,123.66,Shanghai Composite,1991,3,20,199103,19911,199112,0.9954918692642086,False,0.047619047619047616,0.23809523809523808,0.0,3.3608968914557495,3.5989921295509877,3.4285714285714284,-0.018456691940639702,134.87,False,134.87,-0.08311707570252846,False
1991-03-21,123.12,Shanghai Composite,1991,3,21,199103,19911,199112,0.9956331877729259,False,0.047619047619047616,0.2857142857142857,0.0,3.346220485816205,3.6319347715304904,3.4285714285714284,-0.022171407664867915,134.87,False,134.87,-0.08712093126714615,False
1991-03-22,122.62,Shanghai Composite,1991,3,22,199103,19911,199112,0.9959389213775178,False,0.047619047619047616,0.3333333333333333,0.0,3.332631221335145,3.6659645546684785,3.4285714285714284,-0.025503093062809512,134.87,False,134.87,-0.09082820493808852,False
