date,price,index_name,year,month,day,month_key,quarter_key,week_key,return_factor,investment_signal,cash_inflow,cash_balance,contribution,invested_wealth,wealth,total_contribution,wealth_return,dip_window
1990-12-19,99.98,Shanghai Composite,1990,12,19,199012,19904,199051,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
1990-12-20,104.39,Shanghai Composite,1990,12,20,199012,19904,199051,1.0441088217643528,False,0.0,0.0,0.0,1.0441088217643528,1.0441088217643528,1.0,0.044108821764352824,0
1990-12-21,109.13,Shanghai Composite,1990,12,21,199012,19904,199051,1.0454066481463742,False,0.0,0.0,0.0,1.091518303660732,1.091518303660732,1.0,0.0915183036607321,0
1990-12-24,114.55,Shanghai Composite,1990,12,24,199012,19904,199052,1.0496655365160819,False,0.0,0.0,0.0,1.1457291458291659,1.1457291458291659,1.0,0.14572914582916585,0
1990-12-25,120.25,Shanghai Composite,1990,12,25,199012,19904,199052,1.0497599301615015,False,0.0,0.0,0.0,1.2027405481096218,1.2027405481096218,1.0,0.20274054810962183,0
1990-12-26,125.27,Shanghai Composite,1990,12,26,199012,19904,199052,1.0417463617463618,False,0.0,0.0,0.0,1.2529505901180236,1.2529505901180236,1.0,0.25295059011802357,0
1990-12-27,125.28,Shanghai Composite,1990,12,27,199012,19904,199052,1.0000798275724436,False,0.0,0.0,0.0,1.2530506101220245,1.2530506101220245,1.0,0.25305061012202446,0
1990-12-28,126.45,Shanghai Composite,1990,12,28,199012,19904,199052,1.0093390804597702,False,0.0,0.0,0.0,1.264752950590118,1.264752950590118,1.0,0.26475295059011805,0
1990-12-31,127.61,Shanghai Composite,1990,12,31,199012,19904,199101,1.0091735863977858,False,0.0,0.0,0.0,1.276355271054211,1.276355271054211,1.0,0.276355271054211,0
1991-01-02,128.84,Shanghai Composite,1991,1,2,199101,19911,199101,1.0096387430452158,False,0.0,0.0,0.0,1.2886577315463092,1.2886577315463092,1.0,0.28865773154630925,0
1991-01-03,130.14,Shanghai Composite,1991,1,3,199101,19911,199101,1.0100900341508847,False,0.0,0.0,0.0,1.301660332066413,1.301660332066413,1.0,0.3016603320664131,0
1991-01-04,131.44,Shanghai Composite,1991,1,4,199101,19911,199101,1.0099892423543877,False,0.0,0.0,0.0,1.3146629325865173,1.3146629325865173,1.0,0.31466293258651734,0
1991-01-07,132.06,Shanghai Composite,1991,1,7,199101,19911,199102,1.0047169811320755,False,0.0,0.0,0.0,1.320864172834567,1.320864172834567,1.0,0.3208641728345669,0
1991-01-08,132.68,Shanghai Composite,1991,1,8,199101,19911,199102,1.0046948356807512,False,0.0,0.0,0.0,1.3270654130826167,1.3270654130826167,1.0,0.3270654130826167,0
1991-01-09,133.34,Shanghai Composite,1991,1,9,199101,19911,199102,1.0049743744347301,False,0.0,0.0,0.0,1.3336667333466694,1.3336667333466694,1.0,0.3336667333466694,0
1991-01-10,133.97,Shanghai Composite,1991,1,10,199101,19911,199102,1.004724763761812,False,0.0,0.0,0.0,1.3399679935987199,1.3399679935987199,1.0,0.3399679935987199,0
1991-01-11,134.6,Shanghai Composite,1991,1,11,199101,19911,199102,1.004702545345973,False,0.0,0.0,0.0,1.3462692538507703,1.3462692538507703,1.0,0.34626925385077034,0
1991-01-14,134.67,Shanghai Composite,1991,1,14,199101,19911,199103,1.000520059435364,False,0.0,0.0,0.0,1.346969393878776,1.346969393878776,1.0,0.3469693938787759,0
1991-01-15,134.74,Shanghai Composite,1991,1,15,199101,19911,199103,1.000519789114131,False,0.0,0.0,0.0,1.347669533906782,1.347669533906782,1.0,0.3476695339067819,0
1991-01-16,134.24,Shanghai Composite,1991,1,16,199101,19911,199103,0.9962891494730592,False,0.0,0.0,0.0,1.3426685337067419,1.3426685337067419,1.0,0.3426685337067419,0
1991-01-17,134.25,Shanghai Composite,1991,1,17,199101,19911,199103,1.0000744934445769,False,0.0,0.0,0.0,1.3427685537107428,1.3427685537107428,1.0,0.3427685537107428,0
1991-01-18,134.24,Shanghai Composite,1991,1,18,199101,19911,199103,0.9999255121042832,False,0.0,0.0,0.0,1.342668533706742,1.342668533706742,1.0,0.3426685337067421,1
1991-01-22,133.72,Shanghai Composite,1991,1,22,199101,19911,199104,0.9961263408820024,False,0.0,0.0,0.0,1.3374674934987005,1.3374674934987005,1.0,0.33746749349870053,1
1991-01-23,133.17,Shanghai Composite,1991,1,23,199101,19911,199104,0.9958869279090636,False,0.0,0.0,0.0,1.3319663932786565,1.3319663932786565,1.0,0.3319663932786565,1
1991-01-24,132.61,Shanghai Composite,1991,1,24,199101,19911,199104,0.995794848689645,False,0.0,0.0,0.0,1.3263652730546118,1.3263652730546118,1.0,0.3263652730546118,1
