date,price,index_name,year,month,day,month_key,quarter_key,week_key,return_factor,investment_signal,cash_inflow,cash_balance,contribution,invested_wealth,wealth,total_contribution,wealth_return,dip_window,running_window_peak,drawdown_from_window_peak,threshold_hit,fallback_execution
1990-12-19,99.98,Shanghai Composite,1990,12,19,199012,19904,199051,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,99.98,0.0,False,False
1990-12-20,104.39,Shanghai Composite,1990,12,20,199012,19904,199051,1.0441088217643528,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,104.39,0.0,False,False
1990-12-21,109.13,Shanghai Composite,1990,12,21,199012,19904,199051,1.0454066481463742,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,109.13,0.0,False,False
1990-12-24,114.55,Shanghai Composite,1990,12,24,199012,19904,199052,1.0496655365160819,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,114.55,0.0,False,False
1990-12-25,120.25,Shanghai Composite,1990,12,25,199012,19904,199052,1.0497599301615015,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,120.25,0.0,False,False
1990-12-26,125.27,Shanghai Composite,1990,12,26,199012,19904,199052,1.0417463617463618,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,125.27,0.0,False,False
1990-12-27,125.28,Shanghai Composite,1990,12,27,199012,19904,199052,1.0000798275724436,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,125.28,0.0,False,False
1990-12-28,126.45,Shanghai Composite,1990,12,28,199012,19904,199052,1.0093390804597702,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126.45,0.0,False,False
1990-12-31,127.61,Shanghai Composite,1990,12,31,199012,19904,199101,1.0091735863977858,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,127.61,0.0,False,False
1991-01-02,128.84,Shanghai Composite,1991,1,2,199101,19911,199101,1.0096387430452158,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,128.84,0.0,False,False
1991-01-03,130.14,Shanghai Composite,1991,1,3,199101,19911,199101,1.0100900341508847,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,130.14,0.0,False,False
1991-01-04,131.44,Shanghai Composite,1991,1,4,199101,19911,199101,1.0099892423543877,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,131.44,0.0,False,False
1991-01-07,132.06,Shanghai Composite,1991,1,7,199101,19911,199102,1.0047169811320755,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,132.06,0.0,False,False
1991-01-08,132.68,Shanghai Composite,1991,1,8,199101,19911,199102,1.0046948356807512,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,132.68,0.0,False,False
1991-01-09,133.34,Shanghai Composite,1991,1,9,199101,19911,199102,1.0049743744347301,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,133.34,0.0,False,False
1991-01-10,133.97,Shanghai Composite,1991,1,10,199101,19911,199102,1.004724763761812,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,133.97,0.0,False,False
1991-01-11,134.6,Shanghai Composite,1991,1,11,199101,19911,199102,1.004702545345973,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,134.6,0.0,False,False
1991-01-14,134.67,Shanghai Composite,1991,1,14,199101,19911,199103,1.000520059435364,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,134.67,0.0,False,False
1991-01-15,134.74,Shanghai Composite,1991,1,15,199101,19911,199103,1.000519789114131,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,134.74,0.0,False,False
1991-01-16,134.24,Shanghai Composite,1991,1,16,199101,19911,199103,0.9962891494730592,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,134.74,-0.0037108505269407566,False,False
1991-01-17,134.25,Shanghai Composite,1991,1,17,199101,19911,199103,1.0000744934445769,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,134.74,-0.003636633516401977,False,True
1991-01-18,134.24,Shanghai Composite,1991,1,18,199101,19911,199103,0.9999255121042832,False,0.0,0.0,0.0,0.9999255121042832,0.9999255121042832,1.0,-7.4487895716846e-05,1,134.24,0.0,False,False
1991-01-22,133.72,Shanghai Composite,1991,1,22,199101,19911,199104,0.9961263408820024,False,0.0,0.0,0.0,0.9960521415270019,0.9960521415270019,1.0,-0.003947858472998056,1,134.24,-0.003873659117997641,False,False
1991-01-23,133.17,Shanghai Composite,1991,1,23,199101,19911,199104,0.9958869279090636,False,0.0,0.0,0.0,0.99195530726257,0.99195530726257,1.0,-0.008044692737430026,1,134.24,-0.007970798569726045,False,False
1991-01-24,132.61,Shanghai Composite,1991,1,24,199101,19911,199104,0.995794848689645,False,0.0,0.0,0.0,0.987783985102421,0.987783985102421,1.0,-0.012216014897578953,1,134.24,-0.012142431466031,False,False
1991-01-25,132.05,Shanghai Composite,1991,1,25,199101,19911,199104,0.9957770907171405,False,0.0,0.0,0.0,0.983612662942272,0.983612662942272,1.0,-0.01638733705772799,1,134.24,-0.016314064362336067,False,False
1991-01-28,131.46,Shanghai Composite,1991,1,28,199101,19911,199105,0.9955319954562666,False,0.0,0.0,0.0,0.9792178770949722,0.9792178770949722,1.0,-0.02078212290502779,1,134.24,-0.020709177592371897,False,False
1991-01-29,130.95,Shanghai Composite,1991,1,29,199101,19911,199105,0.9961204929256046,False,0.0,0.0,0.0,0.9754189944134077,0.9754189944134077,1.0,-0.024581005586592264,1,134.24,-0.024508343265792765,False,False
1991-01-30,130.44,Shanghai Composite,1991,1,30,199101,19911,199105,0.9961053837342497,False,0.0,0.0,0.0,0.9716201117318436,0.9716201117318436,1.0,-0.028379888268156406,1,134.24,-0.02830750893921341,False,False
1991-01-31,129.97,Shanghai Composite,1991,1,31,199101,19911,199105,0.9963968107942349,False,0.0,0.0,0.0,0.9681191806331472,0.9681191806331472,1.0,-0.03188081936685283,1,134.24,-0.03180870083432663,False,False
1991-02-01,129.51,Shanghai Composite,1991,2,1,199102,19911,199105,0.9964607217050088,False,0.0,0.0,0.0,0.9646927374301676,0.9646927374301676,1.0,-0.03530726256983241,1,134.24,-0.03523539928486308,False,False
1991-02-04,129.05,Shanghai Composite,1991,2,4,199102,19911,199106,0.9964481507219521,False,0.0,0.0,0.0,0.9612662942271881,0.9612662942271881,1.0,-0.03873370577281188,1,134.24,-0.0386620977353993,False,False
1991-02-05,128.58,Shanghai Composite,1991,2,5,199102,19911,199106,0.9963580007748934,False,0.0,0.0,0.0,0.9577653631284917,0.9577653631284917,1.0,-0.0422346368715083,1,134.24,-0.042163289630512524,False,False
1991-02-06,129.14,Shanghai Composite,1991,2,6,199102,19911,199106,1.0043552652045418,False,0.0,0.0,0.0,0.9619366852886406,0.9619366852886406,1.0,-0.038063314711359375,1,134.24,-0.03799165673420757,False,False
1991-02-07,129.79,Shanghai Composite,1991,2,7,199102,19911,199106,1.0050332971968408,False,0.0,0.0,0.0,0.9667783985102423,0.9667783985102423,1.0,-0.033221601489757724,1,134.24,-0.033149582836710545,False,False
1991-02-08,130.38,Shanghai Composite,1991,2,8,199102,19911,199106,1.0045458047615379,False,0.0,0.0,0.0,0.9711731843575421,0.9711731843575421,1.0,-0.028826815642457926,1,134.24,-0.028754469606674715,False,False
1991-02-11,130.97,Shanghai Composite,1991,2,11,199102,19911,199107,1.0045252339315847,False,0.0,0.0,0.0,0.975567970204842,0.975567970204842,1.0,-0.024432029795158017,1,134.24,-0.024359356376638885,False,False
1991-02-12,131.35,Shanghai Composite,1991,2,12,199102,19911,199107,1.002901427807895,False,0.0,0.0,0.0,0.9783985102420859,0.9783985102420859,1.0,-0.021601489757914094,1,134.24,-0.021528605482717622,False,False
1991-02-13,131.92,Shanghai Composite,1991,2,13,199102,19911,199107,1.004339550818424,False,0.0,0.0,0.0,0.9826443202979518,0.9826443202979518,1.0,-0.01735567970204821,1,134.24,-0.01728247914183567,False,False
1991-02-14,132.53,Shanghai Composite,1991,2,14,199102,19911,199107,1.0046240145542755,False,0.0,0.0,0.0,0.9871880819366857,0.9871880819366857,1.0,-0.012811918063314276,1,134.24,-0.012738379022646074,False,False
1991-02-19,133.13,Shanghai Composite,1991,2,19,199102,19911,199108,1.004527276842979,True,1.0,1.0,1.0,1.9916573556797026,1.9916573556797026,2.0,-0.004171322160148705,1,134.24,-0.00826877234803347,False,True
1991-02-20,133.67,Shanghai Composite,1991,2,20,199102,19911,199108,1.0040561856831667,False,0.0,0.0,0.0,1.999735887731584,1.999735887731584,2.0,-0.00013205613420796958,2,133.67,0.0,False,False
1991-02-21,134.28,Shanghai Composite,1991,2,21,199102,19911,199108,1.0045634772200196,False,0.0,0.0,0.0,2.008861636901303,2.008861636901303,2.0,0.004430818450651408,2,134.28,0.0,False,False
1991-02-22,134.87,Shanghai Composite,1991,2,22,199102,19911,199108,1.0043938039916593,False,0.0,0.0,0.0,2.017688181180211,2.017688181180211,2.0,0.008844090590105491,2,134.87,0.0,False,False
