horizon_years,contribution_interval_days,window_count,annual_alpha_theoretical_mean,annual_alpha_theoretical_median,final_relative_advantage_theoretical_mean,final_relative_advantage_theoretical_median,theoretical_win_rate,annual_alpha_implementable_mean,annual_alpha_implementable_median,final_relative_advantage_implementable_mean,final_relative_advantage_implementable_median,implementable_win_rate,implementable_minus_theoretical_annual_alpha_mean,implementable_minus_theoretical_annual_alpha_median
1,15,5,0.03079302570807656,0.027560367107421047,0.05899129083870593,0.059334308923102874,1.0,-0.010843721985362853,-0.002380423857132552,0.024846731618215157,0.03932793072574037,0.2,-0.04163674769343941,-0.03268579650667314
1,30,5,0.05483318439276508,0.04945318685090061,0.11299840325982177,0.11407107471982258,1.0,-0.012459792006141224,-0.004312109057512004,0.05861257669495312,0.07891407479311918,0.4,-0.0672929763989063,-0.02887427517833774
1,45,5,0.0718985344782076,0.0573986109903758,0.16155022980010753,0.16559018767776235,1.0,-0.0162113245891633,-0.003832188479012677,0.08601156166844208,0.1208807041841704,0.4,-0.0881098590673709,-0.03471862756401367
1,60,5,0.09303667903778605,0.08141293256190252,0.21651493302773175,0.22371287774447612,1.0,-0.015896580889981183,-0.007392420071681283,0.12187349697667711,0.15847422313478887,0.4,-0.10893325992776723,-0.04196004440482848
1,90,5,0.1184273490785311,0.09117409246570285,0.3097507482384042,0.3204553726844104,1.0,-0.034672496334298294,-0.00043416674780472064,0.1693414158039668,0.2494785959127317,0.4,-0.1530998454128294,-0.0463093843930964
1,120,5,0.13207134200852877,0.09011037220736973,0.3972700475072316,0.4356899356574715,1.0,-0.013710188548023462,-0.013134634800652023,0.2518341784543512,0.316710190229601,0.4,-0.14578153055655224,-0.048481118353529196
2,15,5,0.019481082138940797,0.01742799351256452,0.05183281239672897,0.05280932367932123,1.0,-0.004542150697395364,-0.001151245497412079,0.014277118434349445,0.01865475479354539,0.2,-0.024023232836336162,-0.016892411370116545
2,30,5,0.03406631744464916,0.029513377462416557,0.0965866889042875,0.09738820223442368,1.0,-0.007469490987499628,-0.0027606168397920072,0.03132448407607362,0.03634155040303422,0.2,-0.04153580843214879,-0.02079238908082104
2,45,5,0.04593992182967836,0.03874190292309865,0.13739301848891058,0.13805489655197523,1.0,-0.009430393113690094,-0.002059872629276205,0.04769159415357658,0.05829055203869382,0.2,-0.05537031494336846,-0.02940872977135589
2,60,5,0.05762924848081523,0.04751407414784703,0.17984268302679157,0.17860478118291967,1.0,-0.009701323283326646,-0.006989053944963297,0.0693865030808821,0.06883416769509232,0.2,-0.06733057176414188,-0.026695054792183814
2,90,5,0.07958300083110226,0.06425274035045758,0.2647571714880007,0.2597277769202686,1.0,-0.016967930139832797,-0.010097688297040719,0.09988185183156757,0.10324937159298164,0.4,-0.09655093097093506,-0.033846915824876644
2,120,5,0.09537635047194501,0.07013116523888008,0.34411268522917265,0.31974050923969033,1.0,0.006773879253198256,-0.007575139605711989,0.18430324764003764,0.1495891386338437,0.4,-0.08860247121874676,-0.03608611197433942
3,15,5,0.01396407186052966,0.009743091532615655,0.0457112280092379,0.0441752548083838,1.0,4.102458736634507e-05,-0.0005508109530283356,0.008505852291630301,0.011465331358077258,0.4,-0.013923047273163314,-0.010288774039817983
