horizon_years,contribution_interval_days,window_count,theoretical_win_rate,annual_alpha_theoretical_p10,annual_alpha_theoretical_p25,annual_alpha_theoretical_median,annual_alpha_theoretical_p75,annual_alpha_theoretical_p90,annual_alpha_theoretical_min,annual_alpha_theoretical_max,implementable_win_rate,annual_alpha_implementable_p10,annual_alpha_implementable_p25,annual_alpha_implementable_median,annual_alpha_implementable_p75,annual_alpha_implementable_p90,annual_alpha_implementable_min,annual_alpha_implementable_max
1,15,5,1.0,0.014749388664408425,0.017982685291790146,0.027560367107421047,0.03684496620103905,0.05012793789680279,0.012593857579487278,0.05898325236064528,0.2,-0.028783563369969213,-0.01772503214786081,-0.002380423857132552,-0.0021164060981453403,0.0016489393773614141,-0.03615591751804148,0.004159169694365916
1,30,5,1.0,0.022252680254730216,0.029980812036830118,0.04945318685090061,0.0605058302190733,0.09447763236184398,0.01710059239999695,0.11712550045702441,0.4,-0.05816892672591303,-0.029189583019077037,-0.004312109057512004,0.0011065368584923796,0.028993425374113493,-0.07748848919713702,0.047584684384527565
1,45,5,1.0,0.032761740985270515,0.03807224016611732,0.0573986109903758,0.07298647902099686,0.12628295201770398,0.02922140819803931,0.1618139340155087,0.4,-0.06342523709126616,-0.06179964897756762,-0.003832188479012677,0.0033536126021036505,0.028779783686276653,-0.0645089625003985,0.04573056440905865
1,60,5,1.0,0.033970486692144156,0.050903333345817536,0.08141293256190252,0.09934304631741919,0.16624251495142517,0.022681922256361897,0.21084216070742912,0.4,-0.0789118401174583,-0.052937689959146494,-0.007392420071681283,0.008943288940989058,0.044456429694155024,-0.09622794022299952,0.06813185686293233
1,90,5,1.0,0.048376681871044935,0.05901376835487171,0.09117409246570285,0.09832443629736254,0.22073326895467982,0.041285290881827086,0.3023391573928913,0.4,-0.1220331411220303,-0.11959048824707985,-0.00043416674780472064,0.012704383961775312,0.039653373024879146,-0.12366157637199726,0.057619365733615036
1,120,5,1.0,0.04754175924998161,0.07955166594646257,0.09011037220736973,0.1280007730145113,0.2530955556589881,0.026201821452327634,0.3364920774219726,0.4,-0.08630185319264719,-0.02207420461674303,-0.013134634800652023,0.031070547592933373,0.05125279983372995,-0.12912028557658328,0.06470763466092766
2,15,5,1.0,0.008654850215269638,0.00977627048171037,0.01742799351256452,0.021885177405018386,0.03299931051666829,0.00790723670430915,0.04040873259110156,0.2,-0.011145915835144704,-0.007227103875754093,-0.001151245497412079,-0.0011095291148535136,-0.00012246236047261925,-0.013758457141405112,0.0005355821424479768
2,30,5,1.0,0.01387192284426555,0.015439974562232006,0.029513377462416557,0.03567544554031854,0.060395918991721906,0.012826555032287912,0.0768762346259908,0.2,-0.02241061443705279,-0.014977656828341734,-0.0027606168397920072,-0.0009642501414330873,0.004846892972384076,-0.027365919509526826,0.008720988381595518
2,45,5,1.0,0.017767666480621846,0.01964958908563763,0.03874190292309865,0.04171880599988831,0.08453327823744888,0.016513051410611324,0.11307625972915591,0.2,-0.029188120907825875,-0.022657972228210976,-0.002059872629276205,-0.0012026435785932321,0.006904988305682159,-0.033541553360902476,0.012310076228532418
2,60,5,1.0,0.01998127416752893,0.0243011444418737,0.04751407414784703,0.05263596182963837,0.10901060553190614,0.01710136065129908,0.14659370133341798,0.2,-0.031576881431154294,-0.02361277484672919,-0.006989053944963297,-0.0018375211598329333,0.011756403149464759,-0.036886285820771025,0.020819019355663215
2,90,5,1.0,0.026016942500532415,0.029418514959577147,0.06425274035045758,0.06507480298956825,0.15528175219267074,0.023749227527835925,0.21541971832807238,0.4,-0.058283397520578276,-0.050847003649846956,-0.010097688297040719,0.00018156313592343487,0.023571308182089017,-0.06324099343439915,0.0391644715461994
2,120,5,1.0,0.03428661877524317,0.042950088385166785,0.07013116523888008,0.08580519679589904,0.18401267646105068,0.02851097236862743,0.24948432957115174,0.4,-0.022815304245396774,-0.012466575417307446,-0.007575139605711989,0.024460486016896876,0.04528324364850085,-0.029714456797456323,0.05916508206957016
3,15,5,1.0,0.007086137465250131,0.009735170850555086,0.009743091532615655,0.016084299884464248,0.023796329049765585,0.005320115208380161,0.028937681826633144,0.4,-0.0006901088077385431,-0.0005536031892628968,-0.0005508109530283356,0.00039844519450271676,0.0011747007406066158,-0.000781112553388974,0.001692204438009215
3,30,5,1.0,0.011356793655710051,0.015756310697580544,0.01600275041418897,0.02627752525156679,0.0385189570459886,0.008423782294463056,0.04667991157560314,0.4,-0.006658373871199297,-0.001388862454804185,-0.0006200006896091015,0.0007937984214595462,0.0030082144523110315,-0.010171381482129371,0.004484491806212021
3,45,5,1.0,0.013452439635317148,0.016091594502179785,0.02242983719620506,0.03257047206906727,0.054019337538150226,0.011693003057408724,0.06831858118420553,0.4,-0.004601727498923314,-0.0039502985649754185,-0.003936694007043551,0.00022054194687792794,0.003204463434107008,-0.005036013454888577,0.005193744425593061
3,60,5,1.0,0.01713836126552648,0.02162345474507299,0.026958052610129957,0.040859229809906084,0.06945263645850308,0.014148298945828808,0.08851490755756775,0.6,-0.00869374040184998,-0.0050290072163462485,0.0003074392451606345,0.0022466665512173023,0.003795739932637399,-0.011136895858852469,0.004828455520250796
3,90,5,1.0,0.020713586149807072,0.027016776318842917,0.03714666024642843,0.051416822624746894,0.09767146785253936,0.016511459370449844,0.128507898004401,0.4,-0.013167843080735108,-0.00523372584470061,-0.005006367145926505,0.0022385116520005077,0.012610220283336516,-0.018457254571424775,0.019524692704227187
3,120,5,1.0,0.02630265915772645,0.02933268579270587,0.040531135620930026,0.06166414036873602,0.11243084771760242,0.0242826414010735,0.14627531928351334,0.6,-0.00471486042859166,-0.0005940853127640588,0.004909914679485983,0.006277286260964243,0.008974222594308046,-0.007462043839143395,0.01077218014987058
4,15,5,1.0,0.00531838194658234,0.0065639600174540735,0.007353458442418193,0.011702438648537594,0.014794055035533972,0.0044879965660011845,0.016855132626864888,0.6,-0.0007527229248723178,-0.00011405923780416494,7.048614880478254e-05,0.0013124503752851568,0.0013690316250495106,-0.0011784987162510863,0.0014067524582257462
4,30,5,1.0,0.008866623309822418,0.010925423430280468,0.012200967241162264,0.02014595338518288,0.026839724493795725,0.00749408989618372,0.03130223856620429,0.8,-0.00277889512901579,0.00047089205200068207,0.0006086218784071562,0.0017895356204882251,0.0030013343129972284,-0.004945419916360105,0.00380920010800323
4,45,5,1.0,0.011078843475978628,0.014256058322934084,0.017126206385930764,0.0256016382649481,0.03676206665836035,0.00896070024467499,0.04420235225396851,1.0,0.00021348836107295543,0.0004249779278864274,0.000506196323366348,0.0005920535253634007,0.0023499310119048824,7.249531653064079e-05,0.00352184933626587
4,60,5,1.0,0.013371262041229315,0.017374049847962203,0.019542657541801955,0.03305352647264681,0.048363690370328484,0.010702736836740723,0.058570466302116264,0.4,-0.003367952804002483,-0.0010663209535293205,-9.567540128996299e-05,0.0023121461429005397,0.005542210616030685,-0.004902374037651258,0.007695586931450782
4,90,5,1.0,0.018249405490446246,0.02339582282302155,0.02726400583204125,0.04378105415596012,0.06747028336467725,0.01481846060206271,0.08326310283715532,0.6,-0.0049411100757118746,-3.7779148809313767e-07,0.002989552182264932,0.004248455876085799,0.009309132027457201,-0.008234931598527728,0.012682916128371469
4,120,5,1.0,0.021049850573780216,0.025273914774628148,0.025909490181998174,0.0483400416891836,0.07582468113161754,0.018233807773214927,0.09414777409324016,0.6,-0.0025193599205569185,-0.0012613573675583911,0.0010972449749246938,0.00595736488364873,0.006815758111649783,-0.003358028289222603,0.0073880202636504855
5,15,5,1.0,0.003957363854647289,0.004616675770211187,0.005708406074265482,0.008995391066835445,0.010975220037452304,0.00351782257760469,0.012295106017863544,0.4,-0.0002967933401976985,-5.52976575871611e-05,-4.728935081932395e-05,0.0006248841455800402,0.0006895012257696731,-0.00045779046193805684,0.0007325792792294283
5,30,5,1.0,0.006498318623714816,0.007764940226196004,0.009476690549547584,0.015260065787912946,0.019732685073508272,0.0056539042220606905,0.022714431263905155,0.6,-0.001748760483513223,-0.0002781638705723344,0.00038133514517424416,0.0009227601224450765,0.001865270340632619,-0.0027291582254738156,0.0024936104860909802
5,45,5,1.0,0.00816565584079032,0.010275692414592807,0.01252794709305749,0.017820802352056297,0.026288362901650687,0.006758964791588662,0.031933403268046945,0.6,-0.0007449423458988136,-0.000200438681731141,4.310253668704522e-05,0.0004914644390442424,0.0010560232536002358,-0.001107944788677262,0.0014323957966375644
