date,price,index_name,year,month,day,month_key,quarter_key,week_key,return_factor,investment_signal,cash_inflow,cash_balance,contribution,invested_wealth,wealth,total_contribution,wealth_return,all_time_high,all_time_high_flag
2004-05-01,236.92999267578125,STOXX Europe 600,2004,5,1,200405,20042,200418,1.0,False,1.0,1.0,0.0,0.0,1.0,0.0,0.0,236.92999267578125,True
2004-06-01,240.86000061035156,STOXX Europe 600,2004,6,1,200406,20042,200423,1.016587211649258,False,1.0,2.0,0.0,0.0,2.0,0.0,0.0,240.86000061035156,True
2004-07-01,236.39999389648438,STOXX Europe 600,2004,7,1,200407,20043,200427,0.9814829913536274,False,1.0,3.0,0.0,0.0,3.0,0.0,0.0,240.86000061035156,False
2004-08-01,233.6300048828125,STOXX Europe 600,2004,8,1,200408,20043,200431,0.9882826180829565,True,1.0,4.0,4.0,4.0,4.0,4.0,0.0,240.86000061035156,False
2004-09-01,237.74000549316406,STOXX Europe 600,2004,9,1,200409,20043,200436,1.0175919210908424,False,1.0,1.0,0.0,4.07036768436337,5.07036768436337,4.0,0.014073536872673875,240.86000061035156,False
2004-10-01,240.3000030517578,STOXX Europe 600,2004,10,1,200410,20044,200440,1.0107680554363718,False,1.0,2.0,0.0,4.11419762923501,6.11419762923501,4.0,0.01903293820583496,240.86000061035156,False
2004-11-01,246.50999450683594,STOXX Europe 600,2004,11,1,200411,20044,200445,1.0258426607416253,False,1.0,3.0,0.0,4.220519442791329,7.220519442791329,4.0,0.031502777541618565,246.50999450683594,True
2004-12-01,251.02000427246094,STOXX Europe 600,2004,12,1,200412,20044,200449,1.0182954438607963,False,1.0,4.0,0.0,4.297735719320317,8.297735719320318,4.0,0.037216964915039785,251.02000427246094,True
2005-01-01,256.8500061035156,STOXX Europe 600,2005,1,1,200501,20051,200453,1.0232252479158064,False,1.0,5.0,0.0,4.397551696878148,9.397551696878148,4.0,0.04417241076423872,256.8500061035156,True
2005-02-01,264.2900085449219,STOXX Europe 600,2005,2,1,200502,20051,200505,1.02896633157333,False,1.0,6.0,0.0,4.524932637440781,10.52493263744078,4.0,0.052493263744078034,264.2900085449219,True
2005-03-01,262.19000244140625,STOXX Europe 600,2005,3,1,200503,20051,200509,0.9920541600680349,False,1.0,7.0,0.0,4.488978247000752,11.488978247000752,4.0,0.04445256790915919,264.2900085449219,False
2005-04-01,256.05999755859375,STOXX Europe 600,2005,4,1,200504,20052,200513,0.9766199899853831,True,1.0,8.0,8.0,12.384025890630477,12.384025890630477,12.0,0.03200215755253977,264.2900085449219,False
2005-05-01,267.2900085449219,STOXX Europe 600,2005,5,1,200505,20052,200517,1.0438569518605043,False,1.0,1.0,0.0,12.927151517955096,13.927151517955096,12.0,0.07131934753500735,267.2900085449219,True
2005-06-01,275.9200134277344,STOXX Europe 600,2005,6,1,200506,20052,200522,1.0322870463052198,False,1.0,2.0,0.0,13.344531057609906,15.344531057609906,12.0,0.0960379326864218,275.9200134277344,True
2005-07-01,285.0299987792969,STOXX Europe 600,2005,7,1,200507,20053,200526,1.0330167617723334,False,1.0,3.0,0.0,13.785124260502515,16.785124260502513,12.0,0.11900828403350094,285.0299987792969,True
2005-08-01,284.82000732421875,STOXX Europe 600,2005,8,1,200508,20053,200531,0.9992632654247712,True,1.0,4.0,4.0,17.774968282835978,17.774968282835978,16.0,0.11093551767724863,285.0299987792969,False
2005-09-01,297.3999938964844,STOXX Europe 600,2005,9,1,200509,20053,200535,1.0441681983314657,False,1.0,1.0,0.0,18.56005660728779,19.56005660728779,16.0,0.15059156513457594,297.3999938964844,True
2005-10-01,290.2900085449219,STOXX Europe 600,2005,10,1,200510,20054,200539,0.976092853068325,True,1.0,2.0,2.0,20.116338606917154,20.116338606917154,18.0,0.11757436705095303,297.3999938964844,False
2005-11-01,299.4700012207031,STOXX Europe 600,2005,11,1,200511,20054,200544,1.031623522703368,False,1.0,1.0,0.0,20.752488097561642,21.752488097561642,18.0,0.14486779460850752,299.4700012207031,True
2005-12-01,310.0299987792969,STOXX Europe 600,2005,12,1,200512,20054,200548,1.0352622884280527,False,1.0,2.0,0.0,21.48426831845759,23.48426831845759,18.0,0.17421341592287964,310.0299987792969,True
2006-01-01,321.0400085449219,STOXX Europe 600,2006,1,1,200601,20061,200552,1.0355127239588926,False,1.0,3.0,0.0,22.24723320870976,25.24723320870976,18.0,0.20224920041475047,321.0400085449219,True
2006-02-01,327.8800048828125,STOXX Europe 600,2006,2,1,200602,20061,200605,1.02130574431795,False,1.0,4.0,0.0,22.721227071236335,26.721227071236335,18.0,0.21460123051074254,327.8800048828125,True
2006-03-01,334.44000244140625,STOXX Europe 600,2006,3,1,200603,20061,200609,1.0200073120071422,False,1.0,5.0,0.0,23.175817750435687,28.175817750435687,18.0,0.22503555436676903,334.44000244140625,True
2006-04-01,336.4800109863281,STOXX Europe 600,2006,4,1,200604,20062,200613,1.0060997743392832,False,1.0,6.0,0.0,23.3171850088417,29.3171850088417,18.0,0.22154937536840413,336.4800109863281,True
2006-05-01,318.8599853515625,STOXX Europe 600,2006,5,1,200605,20062,200618,0.9476342574314717,True,1.0,7.0,7.0,29.096163301245944,29.096163301245944,25.0,0.16384653204983768,336.4800109863281,False
2006-06-01,320.6600036621094,STOXX Europe 600,2006,6,1,200606,20062,200622,1.0056451683912682,False,1.0,1.0,0.0,29.260416042621316,30.260416042621316,25.0,0.16386215548543515,336.4800109863281,False
2006-07-01,326.0400085449219,STOXX Europe 600,2006,7,1,200607,20063,200626,1.0167779106261148,False,1.0,2.0,0.0,29.751344687867352,31.751344687867352,25.0,0.17597572918027238,336.4800109863281,False
2006-08-01,334.7300109863281,STOXX Europe 600,2006,8,1,200608,20063,200631,1.0266531781795392,False,1.0,3.0,0.0,30.544312578913964,33.54431257891396,25.0,0.19801116353264137,336.4800109863281,False
2006-09-01,341.42999267578125,STOXX Europe 600,2006,9,1,200609,20063,200635,1.0200160770458278,False,1.0,4.0,0.0,31.155689892805352,35.155689892805356,25.0,0.21226516871742596,341.42999267578125,True
2006-10-01,353.3399963378906,STOXX Europe 600,2006,10,1,200610,20064,200639,1.0348827107096563,False,1.0,5.0,0.0,32.24248481029584,37.24248481029584,25.0,0.2414161603431948,353.3399963378906,True
2006-11-01,351.7799987792969,STOXX Europe 600,2006,11,1,200611,20064,200644,0.9955849958262241,True,1.0,6.0,6.0,38.10013410528548,38.10013410528548,31.0,0.22903658404146698,353.3399963378906,False
2006-12-01,365.260009765625,STOXX Europe 600,2006,12,1,200612,20064,200648,1.0383194355367127,False,1.0,1.0,0.0,39.56010973807307,40.56010973807307,31.0,0.26750342931478355,365.260009765625,True
2007-01-01,372.7200012207031,STOXX Europe 600,2007,1,1,200701,20071,200701,1.0204237837584929,False,1.0,2.0,0.0,40.36807686482572,42.36807686482572,31.0,0.2838811171159308,372.7200012207031,True
2007-02-01,365.0299987792969,STOXX Europe 600,2007,2,1,200702,20071,200705,0.9793678836225034,True,1.0,3.0,3.0,42.535198005014905,42.535198005014905,34.0,0.25103523544161477,372.7200012207031,False
2007-03-01,374.2200012207031,STOXX Europe 600,2007,3,1,200703,20071,200709,1.02517601970287,False,1.0,1.0,0.0,43.60606498805464,44.60606498805464,34.0,0.27445899965870413,374.2200012207031,True
2007-04-01,386.92999267578125,STOXX Europe 600,2007,4,1,200704,20072,200713,1.0339639554636797,False,1.0,2.0,0.0,45.087099437255254,47.087099437255254,34.0,0.3079749843682016,386.92999267578125,True
2007-05-01,396.739990234375,STOXX Europe 600,2007,5,1,200705,20072,200718,1.0253534172700172,False,1.0,3.0,0.0,46.230211482782735,49.230211482782735,34.0,0.3305462562914252,396.739990234375,True
2007-06-01,393.7099914550781,STOXX Europe 600,2007,6,1,200706,20072,200722,0.9923627593540372,False,1.0,4.0,0.0,45.87714023257497,49.87714023257497,34.0,0.3125563219098677,396.739990234375,False
2007-07-01,380.07000732421875,STOXX Europe 600,2007,7,1,200707,20073,200726,0.9653552502428283,False,1.0,5.0,0.0,44.28773818964274,49.28773818964274,34.0,0.26378815870878825,396.739990234375,False
2007-08-01,375.94000244140625,STOXX Europe 600,2007,8,1,200708,20073,200731,0.9891335680184588,False,1.0,6.0,0.0,43.80648849498868,49.80648849498868,34.0,0.24516221237471703,396.739990234375,False
2007-09-01,377.8599853515625,STOXX Europe 600,2007,9,1,200709,20073,200735,1.0051071524649882,False,1.0,7.0,0.0,44.030214910688336,51.030214910688336,34.0,0.24463938806556929,396.739990234375,False
2007-10-01,388.42999267578125,STOXX Europe 600,2007,10,1,200710,20074,200740,1.027973343920988,False,1.0,8.0,0.0,45.26188725530004,53.26188725530004,34.0,0.26814017274523905,396.739990234375,False
2007-11-01,370.3599853515625,STOXX Europe 600,2007,11,1,200711,20074,200744,0.9534793716629869,False,1.0,9.0,0.0,43.15627582046443,52.15627582046443,34.0,0.2129366469875449,396.739990234375,False
2007-12-01,364.6400146484375,STOXX Europe 600,2007,12,1,200712,20074,200748,0.9845556460488156,False,1.0,10.0,0.0,42.48975502147824,52.48975502147824,34.0,0.19294897776086906,396.739990234375,False
2008-01-01,322.1600036621094,STOXX Europe 600,2008,1,1,200801,20081,200801,0.8835015103120687,False,1.0,11.0,0.0,37.53976273426583,48.53976273426583,34.0,0.07866139409479622,396.739990234375,False
2008-02-01,318.95001220703125,STOXX Europe 600,2008,2,1,200802,20081,200805,0.9900360335901757,False,1.0,12.0,0.0,37.16571779934883,49.16571779934883,34.0,0.06881995215975723,396.739990234375,False
2008-03-01,305.9599914550781,STOXX Europe 600,2008,3,1,200803,20081,200809,0.9592725497576677,False,1.0,13.0,0.0,35.65205287695529,48.65205287695529,34.0,0.03515006121181474,396.739990234375,False
2008-04-01,323.0899963378906,STOXX Europe 600,2008,4,1,200804,20082,200814,1.055987728334499,False,1.0,14.0,0.0,37.64813032799746,51.64813032799746,34.0,0.07600271516661361,396.739990234375,False
2008-05-01,322.1199951171875,STOXX Europe 600,2008,5,1,200805,20082,200818,0.9969977367554003,False,1.0,15.0,0.0,37.53510073008581,52.53510073008581,34.0,0.07214491285889402,396.739990234375,False
2008-06-01,289.3900146484375,STOXX Europe 600,2008,6,1,200806,20082,200822,0.8983919627316435,False,1.0,16.0,0.0,33.72123281623173,49.72123281623173,34.0,-0.005575343675365385,396.739990234375,False
2008-07-01,283.760009765625,STOXX Europe 600,2008,7,1,200807,20083,200827,0.980545269021628,False,1.0,17.0,0.0,33.065195303532896,50.065195303532896,34.0,-0.018329503852296147,396.739990234375,False
2008-08-01,288.17999267578125,STOXX Europe 600,2008,8,1,200808,20083,200831,1.0155764827954685,False,1.0,18.0,0.0,33.58023474930719,51.58023474930719,34.0,-0.008072408667169517,396.739990234375,False
2008-09-01,256.04998779296875,STOXX Europe 600,2008,9,1,200809,20083,200836,0.8885071632333597,False,1.0,19.0,0.0,29.836279117817217,48.83627911781721,34.0,-0.0785607713619394,396.739990234375,False
2008-10-01,222.07000732421875,STOXX Europe 600,2008,10,1,200810,20084,200840,0.8672916145724452,False,1.0,20.0,0.0,25.876754688925825,45.87675468892583,34.0,-0.15043046872359578,396.739990234375,False
2008-11-01,206.25,STOXX Europe 600,2008,11,1,200811,20084,200844,0.9287611707909669,False,1.0,21.0,0.0,24.033324981157392,45.03332498115739,34.0,-0.18121227306986565,396.739990234375,False
2008-12-01,196.89999389648438,STOXX Europe 600,2008,12,1,200812,20084,200849,0.9546666370738637,False,1.0,22.0,0.0,22.943813537464806,44.943813537464806,34.0,-0.19743190111669995,396.739990234375,False
2009-01-01,191.22999572753906,STOXX Europe 600,2009,1,1,200901,20091,200901,0.9712036650853012,False,1.0,23.0,0.0,22.28311579861957,45.28311579861957,34.0,-0.2055593719540426,396.739990234375,False
2009-02-01,172.9199981689453,STOXX Europe 600,2009,2,1,200902,20091,200905,0.9042514356132628,True,1.0,24.0,24.0,44.14953945083832,44.14953945083832,58.0,-0.2388010439510635,396.739990234375,False
2009-03-01,176.4600067138672,STOXX Europe 600,2009,3,1,200903,20091,200909,1.020471944149937,False,1.0,1.0,0.0,45.05336635672132,46.05336635672132,58.0,-0.21943446853014714,396.739990234375,False
2009-04-01,200.22999572753906,STOXX Europe 600,2009,4,1,200904,20092,200914,1.1347046815668285,False,1.0,2.0,0.0,51.12226572531713,53.12226572531713,58.0,-0.11462890457804786,396.739990234375,False
2009-05-01,208.2100067138672,STOXX Europe 600,2009,5,1,200905,20092,200918,1.0398542234260788,False,1.0,3.0,0.0,53.15970392558129,56.15970392558129,58.0,-0.07934911597407723,396.739990234375,False
2009-06-01,205.8300018310547,STOXX Europe 600,2009,6,1,200906,20092,200923,0.9885692099031377,False,1.0,4.0,0.0,52.55204650839662,56.55204650839662,58.0,-0.08787021760650615,396.739990234375,False
