date,price,index_name,year,month,day,month_key,quarter_key,week_key,return_factor,investment_signal,cash_inflow,cash_balance,contribution,invested_wealth,wealth,total_contribution,wealth_return,all_time_high,all_time_high_flag,segment_reference_high,drawdown_from_reference_high,threshold_hit
2004-05-01,236.92999267578125,STOXX Europe 600,2004,5,1,200405,20042,200418,1.0,False,1.0,1.0,0.0,0.0,1.0,0.0,0.0,236.92999267578125,True,236.92999267578125,0.0,False
2004-06-01,240.86000061035156,STOXX Europe 600,2004,6,1,200406,20042,200423,1.016587211649258,False,1.0,2.0,0.0,0.0,2.0,0.0,0.0,240.86000061035156,True,240.86000061035156,0.0,False
2004-07-01,236.39999389648438,STOXX Europe 600,2004,7,1,200407,20043,200427,0.9814829913536274,False,1.0,3.0,0.0,0.0,3.0,0.0,0.0,240.86000061035156,False,240.86000061035156,-0.018517008646372624,False
2004-08-01,233.6300048828125,STOXX Europe 600,2004,8,1,200408,20043,200431,0.9882826180829565,False,1.0,4.0,0.0,0.0,4.0,0.0,0.0,240.86000061035156,False,240.86000061035156,-0.030017419701145465,False
2004-09-01,237.74000549316406,STOXX Europe 600,2004,9,1,200409,20043,200436,1.0175919210908424,False,1.0,5.0,0.0,0.0,5.0,0.0,0.0,240.86000061035156,False,240.86000061035156,-0.012953562689036247,False
2004-10-01,240.3000030517578,STOXX Europe 600,2004,10,1,200410,20044,200440,1.0107680554363718,False,1.0,6.0,0.0,0.0,6.0,0.0,0.0,240.86000061035156,False,240.86000061035156,-0.002324991933798426,False
2004-11-01,246.50999450683594,STOXX Europe 600,2004,11,1,200411,20044,200445,1.0258426607416253,False,1.0,7.0,0.0,0.0,7.0,0.0,0.0,246.50999450683594,True,246.50999450683594,0.0,False
2004-12-01,251.02000427246094,STOXX Europe 600,2004,12,1,200412,20044,200449,1.0182954438607963,False,1.0,8.0,0.0,0.0,8.0,0.0,0.0,251.02000427246094,True,251.02000427246094,0.0,False
2005-01-01,256.8500061035156,STOXX Europe 600,2005,1,1,200501,20051,200453,1.0232252479158064,False,1.0,9.0,0.0,0.0,9.0,0.0,0.0,256.8500061035156,True,256.8500061035156,0.0,False
2005-02-01,264.2900085449219,STOXX Europe 600,2005,2,1,200502,20051,200505,1.02896633157333,False,1.0,10.0,0.0,0.0,10.0,0.0,0.0,264.2900085449219,True,264.2900085449219,0.0,False
2005-03-01,262.19000244140625,STOXX Europe 600,2005,3,1,200503,20051,200509,0.9920541600680349,False,1.0,11.0,0.0,0.0,11.0,0.0,0.0,264.2900085449219,False,264.2900085449219,-0.00794583993196507,False
2005-04-01,256.05999755859375,STOXX Europe 600,2005,4,1,200504,20052,200513,0.9766199899853831,False,1.0,12.0,0.0,0.0,12.0,0.0,0.0,264.2900085449219,False,264.2900085449219,-0.031140076129398064,False
2005-05-01,267.2900085449219,STOXX Europe 600,2005,5,1,200505,20052,200517,1.0438569518605043,False,1.0,13.0,0.0,0.0,13.0,0.0,0.0,267.2900085449219,True,267.2900085449219,0.0,False
