date,price,index_name,year,month,day,month_key,quarter_key,week_key,return_factor,investment_signal,cash_inflow,cash_balance,contribution,invested_wealth,wealth,total_contribution,wealth_return
2004-05-01,236.92999267578125,STOXX Europe 600,2004,5,1,200405,20042,200418,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2004-06-01,240.86000061035156,STOXX Europe 600,2004,6,1,200406,20042,200423,1.016587211649258,True,1.0,1.0,1.0,2.016587211649258,2.016587211649258,2.0,0.008293605824629013
2004-07-01,236.39999389648438,STOXX Europe 600,2004,7,1,200407,20043,200427,0.9814829913536274,True,1.0,1.0,1.0,2.979246048814984,2.979246048814984,3.0,-0.006917983728338739
2004-08-01,233.6300048828125,STOXX Europe 600,2004,8,1,200408,20043,200431,0.9882826180829565,True,1.0,1.0,1.0,3.944337085036176,3.944337085036176,4.0,-0.013915728740956035
2004-09-01,237.74000549316406,STOXX Europe 600,2004,9,1,200409,20043,200436,1.0175919210908424,True,1.0,1.0,1.0,5.013725551791815,5.013725551791815,5.0,0.00274511035836289
2004-10-01,240.3000030517578,STOXX Europe 600,2004,10,1,200410,20044,200440,1.0107680554363718,True,1.0,1.0,1.0,6.067713626476263,6.067713626476263,6.0,0.011285604412710537
2004-11-01,246.50999450683594,STOXX Europe 600,2004,11,1,200411,20044,200445,1.0258426607416253,True,1.0,1.0,1.0,7.224519491202625,7.224519491202625,7.0,0.03207421302894642
2004-12-01,251.02000427246094,STOXX Europe 600,2004,12,1,200412,20044,200449,1.0182954438607963,True,1.0,1.0,1.0,8.356695281975151,8.356695281975151,8.0,0.044586910246893874
2005-01-01,256.8500061035156,STOXX Europe 600,2005,1,1,200501,20051,200453,1.0232252479158064,True,1.0,1.0,1.0,9.550781601655872,9.550781601655872,9.0,0.061197955739541454
2005-02-01,264.2900085449219,STOXX Europe 600,2005,2,1,200502,20051,200505,1.02896633157333,True,1.0,1.0,1.0,10.827432708313896,10.827432708313896,10.0,0.08274327083138955
2005-03-01,262.19000244140625,STOXX Europe 600,2005,3,1,200503,20051,200509,0.9920541600680349,True,1.0,1.0,1.0,11.74139966113951,11.74139966113951,11.0,0.06739996919450086
2005-04-01,256.05999755859375,STOXX Europe 600,2005,4,1,200504,20052,200513,0.9766199899853831,True,1.0,1.0,1.0,12.46688561947645,12.46688561947645,12.0,0.03890713495637077
2005-05-01,267.2900085449219,STOXX Europe 600,2005,5,1,200505,20052,200517,1.0438569518605043,True,1.0,1.0,1.0,14.01364522194024,14.01364522194024,13.0,0.07797270938001843
2005-06-01,275.9200134277344,STOXX Europe 600,2005,6,1,200506,20052,200522,1.0322870463052198,True,1.0,1.0,1.0,15.466104434125947,15.466104434125947,14.0,0.10472174529471046
2005-07-01,285.0299987792969,STOXX Europe 600,2005,7,1,200507,20053,200526,1.0330167617723334,True,1.0,1.0,1.0,16.97674511977351,16.97674511977351,15.0,0.13178300798490072
2005-08-01,284.82000732421875,STOXX Europe 600,2005,8,1,200508,20053,200531,0.9992632654247712,True,1.0,1.0,1.0,17.964237764668926,17.964237764668926,16.0,0.12276486029180789
2005-09-01,297.3999938964844,STOXX Europe 600,2005,9,1,200509,20053,200535,1.0441681983314657,True,1.0,1.0,1.0,19.757685781132434,19.757685781132434,17.0,0.16221681065484894
2005-10-01,290.2900085449219,STOXX Europe 600,2005,10,1,200510,20054,200539,0.976092853068325,True,1.0,1.0,1.0,20.285335884133033,20.285335884133033,18.0,0.12696310467405736
2005-11-01,299.4700012207031,STOXX Europe 600,2005,11,1,200511,20054,200544,1.031623522703368,True,1.0,1.0,1.0,21.926829664010366,21.926829664010366,19.0,0.1540436665268614
2005-12-01,310.0299987792969,STOXX Europe 600,2005,12,1,200512,20054,200548,1.0352622884280527,True,1.0,1.0,1.0,23.700019855935484,23.700019855935484,20.0,0.18500099279677418
2006-01-01,321.0400085449219,STOXX Europe 600,2006,1,1,200601,20061,200552,1.0355127239588926,True,1.0,1.0,1.0,25.541672118899594,25.541672118899594,21.0,0.21627010089998078
2006-02-01,327.8800048828125,STOXX Europe 600,2006,2,1,200602,20061,200605,1.02130574431795,True,1.0,1.0,1.0,27.08585645451778,27.08585645451778,22.0,0.2311752933871718
2006-03-01,334.44000244140625,STOXX Europe 600,2006,3,1,200603,20061,200609,1.0200073120071422,True,1.0,1.0,1.0,28.627771635583986,28.627771635583986,23.0,0.24468572328626026
2006-04-01,336.4800109863281,STOXX Europe 600,2006,4,1,200604,20062,200613,1.0060997743392832,True,1.0,1.0,1.0,29.802394582397582,29.802394582397582,24.0,0.24176644093323252
2006-05-01,318.8599853515625,STOXX Europe 600,2006,5,1,200605,20062,200618,0.9476342574314717,True,1.0,1.0,1.0,29.241770059770044,29.241770059770044,25.0,0.1696708023908018
2006-06-01,320.6600036621094,STOXX Europe 600,2006,6,1,200606,20062,200622,1.0056451683912682,True,1.0,1.0,1.0,30.40684477581619,30.40684477581619,26.0,0.16949402983908413
2006-07-01,326.0400085449219,STOXX Europe 600,2006,7,1,200607,20063,200626,1.0167779106261148,True,1.0,1.0,1.0,31.91700809988698,31.91700809988698,27.0,0.1821114111069253
2006-08-01,334.7300109863281,STOXX Europe 600,2006,8,1,200608,20063,200631,1.0266531781795392,True,1.0,1.0,1.0,33.76769780373106,33.76769780373106,28.0,0.20598920727610937
2006-09-01,341.42999267578125,STOXX Europe 600,2006,9,1,200609,20063,200635,1.0200160770458278,True,1.0,1.0,1.0,35.44359464463077,35.44359464463077,29.0,0.2221929187803715
2006-10-01,353.3399963378906,STOXX Europe 600,2006,10,1,200610,20064,200639,1.0348827107096563,True,1.0,1.0,1.0,37.679963303129746,37.679963303129746,30.0,0.2559987767709915
2006-11-01,351.7799987792969,STOXX Europe 600,2006,11,1,200611,20064,200644,0.9955849958262241,True,1.0,1.0,1.0,38.51360610787871,38.51360610787871,31.0,0.2423743905767326
2006-12-01,365.260009765625,STOXX Europe 600,2006,12,1,200612,20064,200648,1.0383194355367127,True,1.0,1.0,1.0,40.989425754415905,40.989425754415905,32.0,0.280919554825497
2007-01-01,372.7200012207031,STOXX Europe 600,2007,1,1,200701,20071,200701,1.0204237837584929,True,1.0,1.0,1.0,42.82658492240889,42.82658492240889,33.0,0.29777530067905733
2007-02-01,365.0299987792969,STOXX Europe 600,2007,2,1,200702,20071,200705,0.9793678836225034,True,1.0,1.0,1.0,42.94298183823901,42.94298183823901,34.0,0.26302887759526494
2007-03-01,374.2200012207031,STOXX Europe 600,2007,3,1,200703,20071,200709,1.02517601970287,True,1.0,1.0,1.0,45.0241151950985,45.0241151950985,35.0,0.2864032912885286
2007-04-01,386.92999267578125,STOXX Europe 600,2007,4,1,200704,20072,200713,1.0339639554636797,True,1.0,1.0,1.0,47.55331223837642,47.55331223837642,36.0,0.3209253399549006
2007-05-01,396.739990234375,STOXX Europe 600,2007,5,1,200705,20072,200718,1.0253534172700172,True,1.0,1.0,1.0,49.75895120612739,49.75895120612739,37.0,0.3448365190845242
2007-06-01,393.7099914550781,STOXX Europe 600,2007,6,1,200706,20072,200722,0.9923627593540372,True,1.0,1.0,1.0,50.37893012147548,50.37893012147548,38.0,0.32576131898619676
2007-07-01,380.07000732421875,STOXX Europe 600,2007,7,1,200707,20073,200726,0.9653552502428283,True,1.0,1.0,1.0,49.63356469438292,49.63356469438292,39.0,0.27265550498417745
2007-08-01,375.94000244140625,STOXX Europe 600,2007,8,1,200708,20073,200731,0.9891335680184588,True,1.0,1.0,1.0,50.09422493962998,50.09422493962998,40.0,0.2523556234907496
2007-09-01,377.8599853515625,STOXX Europe 600,2007,9,1,200709,20073,200735,1.0051071524649882,True,1.0,1.0,1.0,51.35006378401209,51.35006378401209,41.0,0.25244058009785597
2007-10-01,388.42999267578125,STOXX Europe 600,2007,10,1,200710,20074,200740,1.027973343920988,True,1.0,1.0,1.0,53.78649677860693,53.78649677860693,42.0,0.28063087568111733
2007-11-01,370.3599853515625,STOXX Europe 600,2007,11,1,200711,20074,200744,0.9534793716629869,True,1.0,1.0,1.0,52.2843151524194,52.2843151524194,43.0,0.21591430587021865
2007-12-01,364.6400146484375,STOXX Europe 600,2007,12,1,200712,20074,200748,0.9845556460488156,True,1.0,1.0,1.0,52.47681768311017,52.47681768311017,44.0,0.19265494734341293
2008-01-01,322.1600036621094,STOXX Europe 600,2008,1,1,200801,20081,200801,0.8835015103120687,True,1.0,1.0,1.0,47.363347679398906,47.363347679398906,45.0,0.05251883731997564
2008-02-01,318.95001220703125,STOXX Europe 600,2008,2,1,200802,20081,200805,0.9900360335901757,True,1.0,1.0,1.0,47.89142087406454,47.89142087406454,46.0,0.041117845088359584
2008-03-01,305.9599914550781,STOXX Europe 600,2008,3,1,200803,20081,200809,0.9592725497576677,True,1.0,1.0,1.0,46.940925413381485,46.940925413381485,47.0,-0.0012569060982662306
2008-04-01,323.0899963378906,STOXX Europe 600,2008,4,1,200804,20082,200814,1.055987728334499,True,1.0,1.0,1.0,50.56904119319587,50.56904119319587,48.0,0.05352169152491393
2008-05-01,322.1199951171875,STOXX Europe 600,2008,5,1,200805,20082,200818,0.9969977367554003,True,1.0,1.0,1.0,51.417219619506895,51.417219619506895,49.0,0.049331012642997774
2008-06-01,289.3900146484375,STOXX Europe 600,2008,6,1,200806,20082,200822,0.8983919627316435,True,1.0,1.0,1.0,47.19281685217277,47.19281685217277,50.0,-0.056143662956544604
2008-07-01,283.760009765625,STOXX Europe 600,2008,7,1,200807,20083,200827,0.980545269021628,True,1.0,1.0,1.0,47.274693296202166,47.274693296202166,51.0,-0.07304522948623204
2008-08-01,288.17999267578125,STOXX Europe 600,2008,8,1,200808,20083,200831,1.0155764827954685,True,1.0,1.0,1.0,49.01106674299152,49.01106674299152,52.0,-0.05747948571170158
2008-09-01,256.04998779296875,STOXX Europe 600,2008,9,1,200809,20083,200836,0.8885071632333597,True,1.0,1.0,1.0,44.54668387885625,44.54668387885625,53.0,-0.15949653058761792
2008-10-01,222.07000732421875,STOXX Europe 600,2008,10,1,200810,20084,200840,0.8672916145724452,True,1.0,1.0,1.0,39.634965385141555,39.634965385141555,54.0,-0.2660191595344157
2008-11-01,206.25,STOXX Europe 600,2008,11,1,200811,20084,200844,0.9287611707909669,True,1.0,1.0,1.0,37.81141685536352,37.81141685536352,55.0,-0.3125196935388451
2008-12-01,196.89999389648438,STOXX Europe 600,2008,12,1,200812,20084,200849,0.9546666370738637,True,1.0,1.0,1.0,37.097298172307895,37.097298172307895,56.0,-0.3375482469230733
2009-01-01,191.22999572753906,STOXX Europe 600,2009,1,1,200901,20091,200901,0.9712036650853012,True,1.0,1.0,1.0,37.02903194970767,37.02903194970767,57.0,-0.3503678605314443
2009-02-01,172.9199981689453,STOXX Europe 600,2009,2,1,200902,20091,200905,0.9042514356132628,True,1.0,1.0,1.0,34.48355529989254,34.48355529989254,58.0,-0.4054559431053011
2009-03-01,176.4600067138672,STOXX Europe 600,2009,3,1,200903,20091,200909,1.020471944149937,True,1.0,1.0,1.0,36.189500718083195,36.189500718083195,59.0,-0.38661863189689505
2009-04-01,200.22999572753906,STOXX Europe 600,2009,4,1,200904,20092,200914,1.1347046815668285,True,1.0,1.0,1.0,42.0643958883751,42.0643958883751,60.0,-0.29892673519374824
2009-05-01,208.2100067138672,STOXX Europe 600,2009,5,1,200905,20092,200918,1.0398542234260788,True,1.0,1.0,1.0,44.74083972039343,44.74083972039343,61.0,-0.26654361114109126
2009-06-01,205.8300018310547,STOXX Europe 600,2009,6,1,200906,20092,200923,0.9885692099031377,True,1.0,1.0,1.0,45.22941657279225,45.22941657279225,62.0,-0.27049328108399595
2009-07-01,224.91000366210938,STOXX Europe 600,2009,7,1,200907,20093,200927,1.0926978655265016,True,1.0,1.0,1.0,50.42208694809908,50.42208694809908,63.0,-0.19964941352223686
2009-08-01,235.6199951171875,STOXX Europe 600,2009,8,1,200908,20093,200931,1.0476190088510609,True,1.0,1.0,1.0,53.823136752769564,53.823136752769564,64.0,-0.15901348823797556
2009-09-01,242.47000122070312,STOXX Europe 600,2009,9,1,200909,20093,200936,1.0290722614611238,True,1.0,1.0,1.0,56.387897057103906,56.387897057103906,65.0,-0.13249389142917067
2009-10-01,236.92999267578125,STOXX Europe 600,2009,10,1,200910,20094,200940,0.9771517774692499,True,1.0,1.0,1.0,56.099533837102165,56.099533837102165,66.0,-0.15000706307420963
2009-11-01,239.1699981689453,STOXX Europe 600,2009,11,1,200911,20094,200944,1.0094542926704486,True,1.0,1.0,1.0,57.62991524867386,57.62991524867386,67.0,-0.13985201121382296
2009-12-01,253.16000366210938,STOXX Europe 600,2009,12,1,200912,20094,200949,1.0584939816877943,True,1.0,1.0,1.0,62.000918455898926,62.000918455898926,68.0,-0.08822178741325104
2010-01-01,246.9600067138672,STOXX Europe 600,2010,1,1,201001,20101,200953,0.975509571580994,True,1.0,1.0,1.0,61.4824894005421,61.4824894005421,69.0,-0.1089494289776507
2010-02-01,245.8000030517578,STOXX Europe 600,2010,2,1,201002,20101,201005,0.9953028683569264,True,1.0,1.0,1.0,62.19369805408388,62.19369805408388,70.0,-0.11151859922737317
2010-03-01,263.57000732421875,STOXX Europe 600,2010,3,1,201003,20101,201009,1.0722945648976219,True,1.0,1.0,1.0,67.68996439427795,67.68996439427795,71.0,-0.046620219798902074
2010-04-01,259.9100036621094,STOXX Europe 600,2010,4,1,201004,20102,201013,0.9861137323655829,True,1.0,1.0,1.0,67.75000343253484,67.75000343253484,72.0,-0.059027730103682785
2010-05-01,244.97000122070312,STOXX Europe 600,2010,5,1,201005,20102,201017,0.9425185555349817,True,1.0,1.0,1.0,64.85563537272279,64.85563537272279,73.0,-0.11156663872982486
2010-06-01,243.32000732421875,STOXX Europe 600,2010,6,1,201006,20102,201022,0.9932645063139881,True,1.0,1.0,1.0,65.41880065016753,65.41880065016753,74.0,-0.11596215337611449
2010-07-01,255.35000610351562,STOXX Europe 600,2010,7,1,201007,20103,201026,1.0494410587587528,True,1.0,1.0,1.0,69.65317541703959,69.65317541703959,75.0,-0.07129099443947207
2010-08-01,251.30999755859375,STOXX Europe 600,2010,8,1,201008,20103,201030,0.9841785453363799,True,1.0,1.0,1.0,69.55116086000172,69.55116086000172,76.0,-0.08485314657892484
2010-09-01,259.7200012207031,STOXX Europe 600,2010,9,1,201009,20103,201035,1.0334646601560233,True,1.0,1.0,1.0,72.87866682163859,72.87866682163859,77.0,-0.05352380751118713
2010-10-01,265.9599914550781,STOXX Europe 600,2010,10,1,201010,20104,201039,1.024025836304661,True,1.0,1.0,1.0,75.62963774079721,75.62963774079721,78.0,-0.030389259733369145
2010-11-01,261.8299865722656,STOXX Europe 600,2010,11,1,201011,20104,201044,0.9844713302169358,True,1.0,1.0,1.0,75.4552100705076,75.4552100705076,79.0,-0.044870758601169514
2010-12-01,275.80999755859375,STOXX Europe 600,2010,12,1,201012,20104,201048,1.053393467911551,True,1.0,1.0,1.0,80.4840254081666,80.4840254081666,80.0,0.006050317602082522
2011-01-01,280.04998779296875,STOXX Europe 600,2011,1,1,201101,20111,201052,1.015372866364187,True,1.0,1.0,1.0,82.72129557521818,82.72129557521818,81.0,0.021250562657014527
2011-02-01,286.4700012207031,STOXX Europe 600,2011,2,1,201102,20111,201105,1.0229245267187101,True,1.0,1.0,1.0,85.61764212583859,85.61764212583859,82.0,0.04411758690047063
2011-03-01,275.8999938964844,STOXX Europe 600,2011,3,1,201103,20111,201109,0.9631025682299091,True,1.0,1.0,1.0,83.45857101718441,83.45857101718441,83.0,0.005524952014269946
2011-04-01,283.7799987792969,STOXX Europe 600,2011,4,1,201104,20112,201113,1.0285610911820788,True,1.0,1.0,1.0,86.8422388739322,86.8422388739322,84.0,0.033836177070621476
2011-05-01,279.04998779296875,STOXX Europe 600,2011,5,1,201105,20112,201117,0.983332119928555,True,1.0,1.0,1.0,86.39476285124572,86.39476285124572,85.0,0.016408974720537817
