horizon_years,contribution_interval_days,window_stride_days,window_number,start_date,end_date,final_relative_advantage_theoretical,mean_relative_advantage_theoretical,median_relative_advantage_theoretical,annual_return_btd_theoretical,annual_return_dca,annual_alpha_theoretical,theoretical_win,final_relative_advantage_implementable,mean_relative_advantage_implementable,median_relative_advantage_implementable,annual_return_btd_implementable,annual_alpha_implementable,implementable_win,implementable_minus_theoretical_annual_alpha,implementable_minus_theoretical_annual_return
1,15,0,0,2004-05-01,2005-05-01,0.0014285319206672753,0.0042793158010348735,0.0025570643454780884,0.07537960692714774,0.07384453428200732,0.0015350726451404118,True,0.0,0.0,0.0,0.07384453428200732,0.0,False,-0.0015350726451404118,-0.0015350726451404118
1,15,1907,1,2009-07-21,2010-07-21,0.0027039106872965846,0.007992824060455489,0.0048752579997461964,0.03521442825838661,0.03216204633763531,0.0030523819207513014,True,0.0,0.0,0.0,0.03216204633763531,0.0,False,-0.0030523819207513014,-0.0030523819207513014
1,15,3814,2,2014-10-10,2015-10-10,0.0,0.0,0.0,-0.004408731942845856,-0.004408731942845856,0.0,False,0.0,0.0,0.0,-0.004408731942845856,0.0,False,0.0,0.0
1,15,5721,3,2019-12-30,2020-12-29,0.0,0.0,0.0,0.12278792178178355,0.12278792178178355,0.0,False,0.0,0.0,0.0,0.12278792178178355,0.0,False,0.0,0.0
1,15,7628,4,2025-03-20,2026-03-20,0.003488995783686333,0.010436367973447769,0.006278294699404552,0.00624141656195909,0.0026216604680204814,0.0036197560939386086,True,0.0,0.0,0.0,0.0026216604680204814,0.0,False,-0.0036197560939386086,-0.0036197560939386086
1,30,0,0,2004-05-01,2005-05-01,0.0014285319206672753,0.0042793158010348735,0.0025570643454780884,0.07537960692714774,0.07384453428200732,0.0015350726451404118,True,0.0,0.0,0.0,0.07384453428200732,0.0,False,-0.0015350726451404118,-0.0015350726451404118
1,30,1907,1,2009-07-21,2010-07-21,0.0027039106872965846,0.007992824060455489,0.0048752579997461964,0.03521442825838661,0.03216204633763531,0.0030523819207513014,True,0.0,0.0,0.0,0.03216204633763531,0.0,False,-0.0030523819207513014,-0.0030523819207513014
1,30,3814,2,2014-10-10,2015-10-10,0.0,0.0,0.0,-0.004408731942845856,-0.004408731942845856,0.0,False,0.0,0.0,0.0,-0.004408731942845856,0.0,False,0.0,0.0
1,30,5721,3,2019-12-30,2020-12-29,0.0,0.0,0.0,0.12278792178178355,0.12278792178178355,0.0,False,0.0,0.0,0.0,0.12278792178178355,0.0,False,0.0,0.0
1,30,7628,4,2025-03-20,2026-03-20,0.09446381813518001,0.018017603169405576,0.007389807231763079,0.00624141656195909,0.0028600046478761687,0.0033814119140829213,True,0.09065851517429513,0.007554876264524594,0.0,0.0026216604680204814,-0.00023834417985568734,False,-0.0036197560939386086,-0.0036197560939386086
1,45,0,0,2004-05-01,2005-05-01,0.004219198889081177,0.06981117990072505,0.004776762110789257,0.0754733579881377,0.07095169834501891,0.004521659643118792,True,0.0,0.0,0.0,0.07095169834501891,0.0,False,-0.004521659643118792,-0.004521659643118792
