date,year,investment_signal_a,investment_signal_b,wealth_a,wealth_b,wealth_return_a,wealth_return_b,relative_advantage
1950-01-03,1950,False,False,0.0,0.047619047619047616,0.0,0.0,-1.0
1950-01-04,1950,False,False,0.0,0.09523809523809523,0.0,0.0,-1.0
1950-01-05,1950,False,False,0.0,0.14285714285714285,0.0,0.0,-1.0
1950-01-06,1950,False,False,0.0,0.19047619047619047,0.0,0.0,-1.0
1950-01-09,1950,False,False,0.0,0.23809523809523808,0.0,0.0,-1.0
1950-01-10,1950,False,False,0.0,0.2857142857142857,0.0,0.0,-1.0
1950-01-11,1950,False,False,0.0,0.3333333333333333,0.0,0.0,-1.0
1950-01-12,1950,False,False,0.0,0.38095238095238093,0.0,0.0,-1.0
1950-01-13,1950,False,False,0.0,0.42857142857142855,0.0,0.0,-1.0
1950-01-16,1950,False,False,0.0,0.47619047619047616,0.0,0.0,-1.0
1950-01-17,1950,False,False,0.0,0.5238095238095237,0.0,0.0,-1.0
1950-01-18,1950,False,False,0.0,0.5714285714285714,0.0,0.0,-1.0
1950-01-19,1950,False,False,0.0,0.6190476190476191,0.0,0.0,-1.0
1950-01-20,1950,False,False,0.0,0.6666666666666666,0.0,0.0,-1.0
1950-01-23,1950,False,False,0.0,0.7142857142857142,0.0,0.0,-1.0
1950-01-24,1950,False,False,0.0,0.7619047619047619,0.0,0.0,-1.0
1950-01-25,1950,False,False,0.0,0.8095238095238095,0.0,0.0,-1.0
1950-01-26,1950,False,False,0.0,0.8571428571428571,0.0,0.0,-1.0
1950-01-27,1950,False,False,0.0,0.9047619047619047,0.0,0.0,-1.0
1950-01-30,1950,False,False,0.0,0.9523809523809523,0.0,0.0,-1.0
1950-01-31,1950,False,True,0.0,1.0,0.0,0.0,-1.0
1950-02-01,1950,True,False,1.0,1.0510220015547829,0.0,0.0009733348140787967,-0.048545131766324356
1950-02-02,1950,False,False,1.0012596243397054,1.102282913232522,0.0012596243397053897,0.00207537566592908,-0.09164914712916916
1950-02-03,1950,False,False,0.9868737991293256,1.1378823856864102,-0.013126200870674398,-0.01053705592486065,-0.1327101890816167
1950-02-06,1950,False,False,0.9846925503729097,1.185698907690374,-0.015307449627090297,-0.011917576924688422,-0.16952563253094755
1950-02-07,1950,False,False,0.972523028542443,1.2235169485896755,-0.02747697145755701,-0.021186441128259625,-0.20514135119791221
1950-02-08,1950,False,False,0.9611796818155226,1.2621620089447638,-0.0388203181844774,-0.02910614696556635,-0.23846568427525305
1950-02-09,1950,False,False,0.9583425731640957,1.309322000763884,-0.04165742683590434,-0.030131851286011924,-0.2680619644327522
1950-02-10,1950,False,False,0.9664897165448122,1.3674774705378026,-0.033510283455187806,-0.023230378187283796,-0.2932317077482012
1950-02-13,1950,False,False,0.9726300513910927,1.423624080815843,-0.02736994860890729,-0.01819028909252207,-0.31679291991625835
1950-02-14,1950,False,False,0.9673878917580181,1.4683765636874728,-0.03261210824198191,-0.021082290875018117,-0.3411854181813845
1950-02-15,1950,False,False,0.9612077303357821,1.5121900861306545,-0.03879226966421789,-0.02439349281893255,-0.3643605131711378
1950-02-16,1950,False,False,0.9540061826455486,1.554981178447485,-0.045993817354451405,-0.0281367634703219,-0.3864837749367219
1950-02-17,1950,False,False,0.9556255806259062,1.606602231455096,-0.04437441937409381,-0.026301677906002352,-0.4051884393560202
1950-02-20,1950,False,False,0.9644947215889009,1.6654804366939446,-0.03550527841109907,-0.02030562547415027,-0.42089099316983436
1950-02-21,1950,False,False,0.9649881613966828,1.7159743807979773,-0.03501183860331725,-0.01944321097258439,-0.43764419084862116
1950-02-22,1950,False,False,0.9716902847950913,1.7726833537769195,-0.02830971520490866,-0.01517591456837808,-0.4518534386162165
1950-02-23,1950,False,False,0.9749376328673028,1.8259340206439096,-0.02506236713269716,-0.013008637489778652,-0.4660608642783849
1950-02-24,1950,False,False,0.9893055837713436,1.8903166556161133,-0.010694416228656412,-0.005096497044150827,-0.47664557637360605
1950-02-27,1950,False,False,0.9709545934007707,1.92194691050485,-0.029045406599229273,-0.014386199741102668,-0.49480675657907536
1950-02-28,1950,False,True,0.95181899050544,1.9527917509936086,-0.048181009494559945,-0.02360412450319571,-0.5125855124996606
