date,year,investment_signal_a,investment_signal_b,wealth_a,wealth_b,wealth_return_a,wealth_return_b,relative_advantage
1950-01-03,1950,False,True,0.0,1.0,0.0,0.0,-1.0
1950-01-04,1950,False,False,0.0,1.0028512485066374,0.0,0.002851248506637427,-1.0
1950-01-05,1950,False,False,0.0,1.0089951251188194,0.0,0.008995125118819391,-1.0
1950-01-06,1950,False,False,0.0,1.0000593936275306,0.0,5.9393627530601734e-05,-1.0
1950-01-09,1950,False,False,0.0,1.0077218632605054,0.0,0.0077218632605053905,-1.0
1950-01-10,1950,False,False,0.0,1.010510101578357,0.0,0.010510101578357078,-1.0
1950-01-11,1950,False,False,0.0,1.0184008095625434,0.0,0.01840080956254342,-1.0
1950-01-12,1950,False,False,0.0,1.021387029516545,0.0,0.02138702951654503,-1.0
1950-01-13,1950,False,False,0.0,1.0330758492344005,0.0,0.033075849234400545,-1.0
1950-01-16,1950,False,False,0.0,1.0242615644311652,0.0,0.024261564431165228,-1.0
1950-01-17,1950,False,False,0.0,1.0420447362652998,0.0,0.04204473626529981,-1.0
1950-01-18,1950,False,False,0.0,1.0543743723169057,0.0,0.05437437231690567,-1.0
1950-01-19,1950,False,False,0.0,1.0487384644902482,0.0,0.04873846449024821,-1.0
1950-01-20,1950,False,False,0.0,1.0556952550669183,0.0,0.0556952550669183,-1.0
1950-01-23,1950,False,False,0.0,1.0605258283134449,0.0,0.060525828313444885,-1.0
1950-01-24,1950,False,False,0.0,1.043437024758286,0.0,0.043437024758286036,-1.0
1950-01-25,1950,False,False,0.0,1.049710750003138,0.0,0.04971075000313796,-1.0
1950-01-26,1950,False,False,0.0,1.0442441877077915,0.0,0.04424418770779148,-1.0
1950-01-27,1950,False,False,0.0,1.0421211775603632,0.0,0.042121177560363154,-1.0
1950-01-30,1950,False,False,0.0,1.0365268516561232,0.0,0.03652685165612324,-1.0
1950-01-31,1950,False,False,0.0,1.0326711146311605,0.0,0.03267111463116046,-1.0
1950-02-01,1950,True,False,1.0,1.033726506115893,0.0,0.033726506115892896,-0.0326261403924103
1950-02-02,1950,False,False,1.0012596243397054,1.035028613183595,0.0012596243397053897,0.03502861318359507,-0.0326261403924103
1950-02-03,1950,False,False,0.9868737991293256,1.0201576043512752,-0.013126200870674398,0.020157604351275227,-0.0326261403924103
1950-02-06,1950,False,False,0.9846925503729097,1.0179027896953359,-0.015307449627090297,0.017902789695335874,-0.0326261403924103
1950-02-07,1950,False,False,0.972523028542443,1.0053228324124264,-0.02747697145755701,0.00532283241242637,-0.0326261403924103
1950-02-08,1950,False,False,0.9611796818155226,0.9935969142327459,-0.0388203181844774,-0.006403085767254124,-0.0326261403924103
1950-02-09,1950,False,False,0.9583425731640957,0.9906641198190351,-0.04165742683590434,-0.009335880180964873,-0.0326261403924103
1950-02-10,1950,False,False,0.9664897165448122,0.9990860378808084,-0.033510283455187806,-0.0009139621191915914,-0.0326261403924103
1950-02-13,1950,False,False,0.9726300513910927,1.0054334647678356,-0.02736994860890729,0.005433464767835572,-0.0326261403924103
1950-02-14,1950,False,False,0.9673878917580181,1.0000145054058356,-0.03261210824198191,1.450540583558535e-05,-0.0326261403924103
1950-02-15,1950,False,False,0.9612077303357821,0.9936259087315954,-0.03879226966421789,-0.0063740912684046025,-0.0326261403924103
1950-02-16,1950,False,False,0.9540061826455486,0.9861814779991434,-0.045993817354451405,-0.013818522000856648,-0.0326261403924103
1950-02-17,1950,False,False,0.9556255806259062,0.9878554926153895,-0.04437441937409381,-0.012144507384610481,-0.0326261403924103
1950-02-20,1950,False,False,0.9644947215889009,0.9970237587153155,-0.03550527841109907,-0.0029762412846845443,-0.0326261403924103
