horizon_years,contribution_interval_days,window_count,theoretical_win_rate,annual_alpha_theoretical_p10,annual_alpha_theoretical_p25,annual_alpha_theoretical_median,annual_alpha_theoretical_p75,annual_alpha_theoretical_p90,annual_alpha_theoretical_min,annual_alpha_theoretical_max,implementable_win_rate,annual_alpha_implementable_p10,annual_alpha_implementable_p25,annual_alpha_implementable_median,annual_alpha_implementable_p75,annual_alpha_implementable_p90,annual_alpha_implementable_min,annual_alpha_implementable_max
1,15,5,1.0,0.01808235967125551,0.018621775224361037,0.01928166602795356,0.019307483112037005,0.020988837447630627,0.017722749302518492,0.022109740338026374,0.2,-0.007538294817550284,-0.0074354154359645985,-0.004159916399169683,-0.00029383412799366404,0.004377568046865111,-0.007606881071940741,0.007491836163437626
1,30,5,1.0,0.028976975184499265,0.02958957916709548,0.03008245944750887,0.03014387980728439,0.03405261229588952,0.02856857252943512,0.0366584339549596,0.4,-0.013393827229168931,-0.013303008615424883,-0.009459813059232491,0.0015607509803532427,0.008525522562861055,-0.013454372971664963,0.013168703617866262
1,45,5,1.0,0.02930206909607218,0.029442589440993983,0.03225331764099959,0.03700834010098475,0.041432861188082225,0.029208388866124313,0.04438254191281388,0.4,-0.020728045245809668,-0.01667344118175551,-0.007414421842533603,0.0006869636235047327,0.009556375949065044,-0.023431114621845772,0.015469317499438584
1,60,5,1.0,0.03964977373015945,0.041713221026488556,0.04432309959655045,0.046581628756759974,0.05084020306443611,0.03827414219927339,0.05367925260288686,0.2,-0.01785691358338539,-0.004186076841775632,-0.0025185363091724255,-0.002142600728238353,0.009505023960367256,-0.026970804744458565,0.017270107086104325
1,90,5,1.0,0.03822307695289808,0.045232944599150615,0.049523014476002825,0.06526162779835132,0.06793123821151097,0.033549831855396395,0.06971097848695074,0.6,-0.03823581523562862,-0.024377307063754516,0.0030188752819568787,0.009438120410652173,0.01150389130936671,-0.047474820683544694,0.012881071908509734
1,120,5,1.0,0.05860247013934652,0.06143084208056482,0.0694016500846264,0.07746584914655053,0.07801904303645588,0.056716888845200986,0.07838783896305945,0.6,-0.02984922990050358,-0.011527984911507305,0.0005456130803802584,0.00479009777588324,0.007259636077755105,-0.0420633932265011,0.008905994945669682
2,15,5,1.0,0.00883691342161672,0.008915765856373215,0.009189374397421846,0.009401936565808455,0.010200102773631859,0.008784345131779059,0.01073221357884746,0.2,-0.0034168999724197404,-0.0029388754117836147,-0.001566340347210149,-0.0004974012344449719,0.0012046062923680937,-0.003735583012843824,0.002339277976910137
2,30,5,1.0,0.013393433863903237,0.014176833351528417,0.014439623512160882,0.014498625818109678,0.015784207490602276,0.012871167538819783,0.016641261938930674,0.2,-0.005733853129900624,-0.00496399222325028,-0.002655975121769183,-0.0017681935260451809,0.0014344821697652504,-0.006247093734334186,0.003569599300305537
2,45,5,1.0,0.016890840241583115,0.01764316924871845,0.018405289600869068,0.018986882102217217,0.020255176551125454,0.01638928757015956,0.021100706183730944,0.2,-0.009999022907106836,-0.0048617205355672155,-0.003545382803782582,-0.0005408124159753669,0.0027230238775151523,-0.013423891154799916,0.004898914739842164
2,60,5,1.0,0.019399368510888214,0.02245470822654272,0.02275730748720206,0.024234314463865037,0.027153122214272594,0.017362475367118546,0.029098994047877635,0.2,-0.007060678306116097,-0.005980270678093147,-0.0057955976943047105,-0.0016209130388433746,0.0017543156257267662,-0.007780950058131397,0.004004468068773526
