date,price,index_name,year,month,day,month_key,quarter_key,week_key,return_factor,investment_signal,cash_inflow,cash_balance,contribution,invested_wealth,wealth,total_contribution,wealth_return,dip_window
1994-07-01,4505.247671554893,Ibovespa,1994,7,1,199407,19943,199426,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
1994-07-04,4619.416148445855,Ibovespa,1994,7,4,199407,19943,199427,1.025341220996971,False,0.0,0.0,0.0,1.025341220996971,1.025341220996971,1.0,0.025341220996971003,0
1994-07-05,4724.97987523427,Ibovespa,1994,7,5,199407,19943,199427,1.022852179452144,False,0.0,0.0,0.0,1.048772502578874,1.048772502578874,1.0,0.04877250257887411,0
1994-07-06,4684.352852495778,Ibovespa,1994,7,6,199407,19943,199427,0.9914016516871454,False,0.0,0.0,0.0,1.0397547913007568,1.0397547913007568,1.0,0.039754791300756764,0
1994-07-07,4661.859128289316,Ibovespa,1994,7,7,199407,19943,199427,0.9951981148912644,False,0.0,0.0,0.0,1.034762008251673,1.034762008251673,1.0,0.03476200825167308,0
1994-07-08,4620.354379494695,Ibovespa,1994,7,8,199407,19943,199427,0.9910969534573107,False,0.0,0.0,0.0,1.0255494739316018,1.0255494739316018,1.0,0.025549473931601785,0
1994-07-11,4670.5483388779785,Ibovespa,1994,7,11,199407,19943,199428,1.0108636600703282,False,0.0,0.0,0.0,1.0366906948016987,1.0366906948016987,1.0,0.03669069480169873,0
1994-07-12,4668.404302621986,Ibovespa,1994,7,12,199407,19943,199428,0.999540945494955,False,0.0,0.0,0.0,1.0362147972679117,1.0362147972679117,1.0,0.03621479726791166,0
1994-07-13,4734.192924867424,Ibovespa,1994,7,13,199407,19943,199428,1.014092314628467,False,0.0,0.0,0.0,1.0508174622136843,1.0508174622136843,1.0,0.05081746221368433,0
1994-07-14,4581.880103840945,Ibovespa,1994,7,14,199407,19943,199428,0.9678270777208039,False,0.0,0.0,0.0,1.0170095936722614,1.0170095936722614,1.0,0.017009593672261403,0
1994-07-15,4715.511033611461,Ibovespa,1994,7,15,199407,19943,199428,1.0291650865456945,False,0.0,0.0,0.0,1.0466707664895145,1.0466707664895145,1.0,0.046670766489514515,0
1994-07-18,4709.922794069198,Ibovespa,1994,7,18,199407,19943,199429,0.9988149238751789,False,0.0,0.0,0.0,1.0454303819535995,1.0454303819535995,1.0,0.0454303819535995,0
1994-07-19,4770.582086345663,Ibovespa,1994,7,19,199407,19943,199429,1.0128790417441338,False,0.0,0.0,0.0,1.0588945234833655,1.0588945234833655,1.0,0.058894523483365546,0
1994-07-20,4761.487569987144,Ibovespa,1994,7,20,199407,19943,199429,0.9980936254331417,False,0.0,0.0,0.0,1.0568758738948114,1.0568758738948114,1.0,0.05687587389481141,0
1994-07-21,4731.708583077566,Ibovespa,1994,7,21,199407,19943,199429,0.9937458648223126,False,0.0,0.0,0.0,1.0502660293134367,1.0502660293134367,1.0,0.05026602931343671,0
