horizon_years,contribution_interval_days,window_count,annual_alpha_theoretical_mean,annual_alpha_theoretical_median,final_relative_advantage_theoretical_mean,final_relative_advantage_theoretical_median,theoretical_win_rate,annual_alpha_implementable_mean,annual_alpha_implementable_median,final_relative_advantage_implementable_mean,final_relative_advantage_implementable_median,implementable_win_rate,implementable_minus_theoretical_annual_alpha_mean,implementable_minus_theoretical_annual_alpha_median
1,15,5,0.03601269272808279,0.03661085010754972,0.0738955050126405,0.0734563200429712,1.0,-0.0035833694952180917,-0.0033099327760575115,0.03849974799892579,0.03844106634309674,0.2,-0.03959606222330088,-0.04282011134708252
1,30,5,0.05846864881445861,0.05984502511068346,0.13807749547099873,0.136376617254244,1.0,-8.7325756987644e-05,-0.0004987638337694555,0.08335310006574245,0.08287466983642111,0.4,-0.058555974571446255,-0.06478023845922709
1,45,5,0.06944098314501886,0.06841151772706877,0.19280780774968997,0.18881975028458609,1.0,0.008782966331989162,-0.004402184510329921,0.13370537630082535,0.12037048686012475,0.4,-0.060658016813029694,-0.05858134794299685
1,60,5,0.08137332982596086,0.08294955584271846,0.24928520660755799,0.24877031521928594,1.0,0.003979007134039714,0.014253690843489153,0.17076415722150773,0.18244653242728615,0.6,-0.07739432269192115,-0.06878365253744412
1,90,5,0.10010649295209398,0.0991324803779996,0.3609790612520386,0.3544701169683486,1.0,0.02182969836748434,0.0240454264660086,0.2745465827532656,0.27534277872679036,0.8,-0.07827679458460964,-0.075087053911991
1,120,5,0.10371832468490463,0.09068226213910147,0.4561563465487728,0.44028428709136636,1.0,0.013579905339331866,0.03026991035883886,0.35080937343165547,0.3723071544960175,0.6,-0.09013841934557276,-0.08985635979344142
2,15,5,0.019059804212905096,0.018744094815087653,0.05575840079239334,0.057351416061978355,1.0,-0.0004461926220395984,-0.0005432058153547192,0.02002021802013827,0.019903301349950775,0.2,-0.019505996834944694,-0.018965577654664
2,30,5,0.029609062236220972,0.02971873533114766,0.09741451271251407,0.101300651696965,1.0,0.001309647980766515,0.0032059881269697055,0.04392317890607948,0.0474835772071458,0.6,-0.028299414255454458,-0.029148996313972608
2,45,5,0.037117921765014515,0.03620787942883252,0.13440310647331785,0.13605716619912522,1.0,0.00572605229671117,0.010573952324735902,0.07344790614215668,0.08365995726272679,0.6,-0.03139186946830334,-0.032213759301591205
2,60,5,0.04481750972823355,0.04504792416435932,0.17228587605147952,0.1724658814322657,1.0,0.01133310089348356,0.011885393456565918,0.10530304126864234,0.10760533761541846,0.8,-0.03348440883474999,-0.026743973964358236
2,90,5,0.05385320115311058,0.05566900395524543,0.23718525399175167,0.2341237444738431,1.0,0.0158266150622397,0.01868931074376423,0.15678490269661965,0.16235185833397847,1.0,-0.03802658609087088,-0.03733434301197924
2,120,5,0.061785583353447436,0.06285470542874583,0.30098787032289753,0.30388243394351266,1.0,0.023133539657576342,0.014917765820879891,0.21595801720517951,0.1965696304033091,1.0,-0.038652043695871094,-0.03728198265949523
3,15,5,0.013802341603539992,0.01394502304234213,0.047524001215585976,0.04656231908390307,1.0,0.00014697527517695263,0.0002524167974571334,0.008567961531157265,0.011861633285179085,0.6,-0.013655366328363039,-0.0140009273821593
3,30,5,0.021403562837800073,0.021675284232249847,0.09051647887005676,0.09132217051810398,1.0,0.0014384616758314373,0.001661095247805111,0.03185984851114325,0.032520151468052205,0.8,-0.019965101161968635,-0.020406390076906256
3,45,5,0.025535213247485623,0.025115081628494407,0.11779672516054847,0.11806132241682454,1.0,0.0016001243408173328,0.0015367194606037415,0.046296995229907045,0.046259117966009455,0.6,-0.02393508890666829,-0.025124122604071042
3,60,5,0.03358982093432461,0.033652003034987166,0.15801136781601013,0.15860614164428544,1.0,0.0027174976454466203,0.0009857495014473638,0.06348513462178543,0.0585401112820485,0.8,-0.03087232328887799,-0.03312294071984767
3,90,5,0.03956910781269456,0.03953199505430227,0.20824283848455924,0.2029661766699331,1.0,0.007242551998440883,0.007946233682261994,0.1053729655361145,0.10674149568320002,0.8,-0.03232655581425368,-0.03436647128521342
3,120,5,0.04790117964078085,0.04662109633284861,0.2681700383459499,0.2631563477846215,1.0,0.006796531823338547,0.0025346395699332724,0.1328952047985256,0.11873306427487496,0.8,-0.041104647817442296,-0.04485522203712344
4,15,5,0.010265413484379593,0.010044633261385716,0.04774505243235576,0.04679166307289262,1.0,-0.0007609310703343475,-0.0006437060139232731,0.007660905599623913,0.008014131930382362,0.4,-0.01102634455471394,-0.011702324968325684
4,30,5,0.01637667211699112,0.01600388181889012,0.08155171328488295,0.07989694472220377,1.0,-0.0008090767561903078,0.0006131016006025725,0.018031204172747017,0.023098871129732634,0.6,-0.017185748873181427,-0.017567862002450862
4,45,5,0.020681813819878592,0.020241904755499363,0.10930499754758989,0.1091911370618941,1.0,-0.0006588185218489695,-0.0015075847066945425,0.029086442953745673,0.02563198062345129,0.4,-0.02134063234172756,-0.019537446963320493
4,60,5,0.025683453563503635,0.025238675272114097,0.1403877508893018,0.14131082781564186,1.0,0.0038387434394751897,0.006470742692395337,0.055836311686220386,0.06428271999218604,0.8,-0.021844710124028444,-0.02129282813041522
4,90,5,0.031111562815291816,0.02759128056698401,0.18568264403021706,0.1745521620135635,1.0,0.002022005014157324,0.00420456318839002,0.07097388783693796,0.07883604897800467,0.6,-0.02908955780113449,-0.028878414185031342
4,120,5,0.037484653300026594,0.03138822611147507,0.23619416887769287,0.21239556380116764,1.0,0.009884520746184445,0.0078057803176982965,0.12233763047877866,0.1148385278694517,0.8,-0.02760013255384215,-0.026541517700178208
5,15,5,0.008333266432007136,0.007986953673852826,0.04560209564679685,0.04495815091412503,1.0,-0.0007475033261693742,-0.0006325279741665746,0.005244049126246075,0.005387009755559502,0.2,-0.00908076975817651,-0.009180104852119175
5,30,5,0.013149315390884597,0.012473970215876484,0.07636864696288362,0.07433411402225132,1.0,-0.000975358042501373,-0.0018655618283500708,0.012588991352317835,0.007958115398408516,0.4,-0.01412467343338597,-0.014591080140873736
5,45,5,0.01700598600947654,0.016302058001846254,0.10367384578878354,0.10434065162075856,1.0,-0.0011314158991455603,-0.0020075251310778253,0.020393937668964447,0.015740108702072098,0.4,-0.0181374019086221,-0.01885328187319457
5,60,5,0.020321508795577748,0.01852752045903716,0.12869633051625057,0.12231846796913648,1.0,-0.00015175882898761374,-0.0006338324560724029,0.03359977311609304,0.030317050627585385,0.4,-0.02047326762456536,-0.02258826025378924
5,90,5,0.02598749765138848,0.022034353601549705,0.17514954274945796,0.1580126867447451,1.0,0.0006566782633008472,-0.0009326749627156516,0.05386251178522054,0.045485321901742815,0.4,-0.025330819388087632,-0.028257954266887264
5,120,5,0.03120498750349334,0.027851440592157273,0.22172673021661887,0.19783870761135947,1.0,0.008311169841015608,0.00135955708745783,0.10722513976436768,0.07325463283281053,0.8,-0.022893817662477733,-0.023993359939288306
6,15,5,0.007013914403872912,0.006485890287348806,0.043796791230967844,0.043357302270954357,1.0,-4.132634479927511e-05,7.86843724445152e-05,0.005323652788058153,0.00723947316805984,0.8,-0.007055240748672187,-0.006442189027500822
6,30,5,0.011110916848312691,0.010483237739840945,0.07253902400466923,0.06929489775538267,1.0,4.1340836640246795e-05,-0.000715663764231822,0.01110780444281414,0.009456989999419019,0.4,-0.011069576011672444,-0.011198901504072767
6,45,5,0.013911905061988205,0.013359603886336169,0.09914992320506207,0.0940691696019853,1.0,0.0003913286219553669,0.00013172534671479497,0.023013933910748907,0.0215969181671134,0.6,-0.01352057644003284,-0.012092295211646897
6,60,5,0.01697872014204198,0.014922717278363251,0.12447771075650511,0.11753798056698939,1.0,0.0018110553732619827,0.0023085741493218404,0.03744152422807545,0.04008331088308137,0.8,-0.015167664768779999,-0.015648546650263828
6,90,5,0.02136312822577726,0.018399078055871154,0.16631408525563343,0.15485466273355786,1.0,0.0023461382947771448,0.0015229359464083991,0.054675910132574265,0.05055572294464761,0.6,-0.019016989931000115,-0.01967726422191185
6,120,5,0.02459959516418171,0.0215510680851847,0.2022578848157724,0.1894701747565939,1.0,0.003652385074200826,0.005664546703762152,0.07590972370022117,0.08986543684521497,0.8,-0.020947210089980885,-0.019728721186154097
7,15,5,0.00591908896267217,0.005626317754633403,0.04417510621270511,0.04351110890120102,1.0,-5.036438582561864e-05,2.2534206645108412e-06,0.005675215970272029,0.005894943460093449,0.6,-0.005969453348497788,-0.0058736944794990364
7,30,5,0.009325589370048126,0.008998042844551746,0.07285892769442608,0.07274253792620433,1.0,0.00018668790984721628,0.0008467152626217,0.013099027846804922,0.016539220076936978,0.6,-0.00913890146020091,-0.00892686435234169
7,45,5,0.011924634762058007,0.011453889069566792,0.09736098196617848,0.09964688117692622,1.0,0.0005053949633837985,0.0009854882729727343,0.02165487258761507,0.024429218277883136,0.8,-0.011419239798674208,-0.010021632448826256
7,60,5,0.013531991379941165,0.013015017347344893,0.11468557146259983,0.11407465809138384,1.0,0.0010601749423336804,0.0026396195323787897,0.030821017306061682,0.04159123531996456,0.6,-0.012471816437607485,-0.012648443776103857
7,90,5,0.01792086684195693,0.01771364210199433,0.15906342082493863,0.15626044062135058,1.0,0.002221738140516072,0.0037300399678483753,0.05137094444012624,0.057428966065263376,0.6,-0.015699128701440856,-0.015617680860921634
7,120,5,0.02014733982530692,0.018432178235993968,0.18869033602228993,0.1927546825029307,1.0,0.00340306136312849,0.004956345622827429,0.07011308325449539,0.08507089242549526,0.6,-0.01674427846217843,-0.014993298366937191
8,15,5,0.004879805935183734,0.004767594968899003,0.041137700955653014,0.041306992026155065,1.0,-0.0003003347157588543,-0.0005055612554982769,0.0031261270482344727,0.0013774099876340262,0.4,-0.005180140650942589,-0.005291057800866694
8,30,5,0.007664603573993967,0.0076902927042692415,0.06763057640311829,0.06664231635479245,1.0,-0.00038859236559303235,-0.0005889467333326515,0.007668546012783795,0.006504446117173046,0.4,-0.008053195939587,-0.008423786992384885
8,45,5,0.010043535732064868,0.0097947506478957,0.09181403249802686,0.09186538076307937,1.0,6.93369293669921e-05,0.0010666646814254666,0.016660430891325073,0.023719772777964776,0.6,-0.009974198802697875,-0.008863799216697554
8,60,5,0.011705256805384145,0.01137964876958808,0.11043803415588771,0.11033810302364522,1.0,0.0004526356343760085,0.0008140923887587359,0.024910586310556183,0.026858967785926557,0.6,-0.011252621171008137,-0.011764050164326134
8,90,5,0.014351240946346521,0.0147921285498962,0.14346054443564862,0.14659182431806395,1.0,0.0005252151867236154,-0.0008517496663402735,0.036407513598831764,0.025636012897498173,0.4,-0.013826025759622907,-0.013099910338054688
8,120,5,0.0176708582577914,0.017526709696837672,0.1820584779926031,0.18548345167862546,1.0,0.0031692532399265616,0.0039374651098487146,0.06506348148341475,0.07409717461182619,0.6,-0.014501605017864839,-0.013297848062984174
9,15,5,0.004489894070443823,0.004332836247796346,0.041413187064864763,0.04161866295831351,1.0,-0.0002422494299266109,-0.00046460580088081294,0.0027042520686602067,0.0009388376681995769,0.2,-0.004732143500370434,-0.004869512124513253
9,30,5,0.006969272339024668,0.007017689179384945,0.06715518580896744,0.06642810924063003,1.0,-0.00027674419338157285,-0.0004974906352936959,0.007132279407778474,0.0052212630156009965,0.4,-0.007246016532406241,-0.007515179814678641
9,45,5,0.008876622495881526,0.008882987233636452,0.08856277784179004,0.08881313000597069,1.0,-0.00019710732569229173,0.0010344277281955083,0.01247470299247424,0.02200846680894597,0.6,-0.009073729821573817,-0.008054647976276863
9,60,5,0.010161165321554089,0.010009025980191266,0.10481692777718918,0.10516920274930075,1.0,5.422539931076997e-06,0.00025042776279304846,0.01877664132385366,0.020642124013824592,0.6,-0.010155742781623012,-0.0105909355640883
9,90,5,0.012766680468419977,0.012375169537861774,0.13851990108784631,0.14132447386629265,1.0,0.0004997868259425609,0.00010193605998676247,0.032820611277498045,0.02860359779528121,0.6,-0.012266893642477416,-0.011073441422464025
9,120,5,0.01481094652164452,0.014274163486463598,0.16774476051430126,0.16668971259540055,1.0,0.0016593242253240437,0.0019463284966483307,0.05110583361215828,0.05396447514907288,0.8,-0.013151622296320475,-0.01285266244167449
10,15,5,0.004204315632500144,0.0041974284546557605,0.042308277735786694,0.04215858257955629,1.0,-0.00011034827341873665,-0.00024307849630256229,0.003200161954540315,0.002028358196025648,0.4,-0.0043146639059188805,-0.004310920149321218
10,30,5,0.006495846660571037,0.00660406661941737,0.0681001625075269,0.07036891013350144,1.0,-3.6821726135549684e-05,-7.232561864900511e-05,0.007998799595869998,0.007633192363273089,0.4,-0.006532668386706586,-0.006820306248425112
10,45,5,0.008269814722867874,0.008376678485028544,0.0894888783298351,0.09053516203051015,1.0,0.00023984057355508348,0.0009380217692043225,0.014835456867752029,0.021173246525408862,0.6,-0.00802997414931279,-0.007444242807036705
