horizon_years,contribution_interval_days,window_count,theoretical_win_rate,annual_alpha_theoretical_p10,annual_alpha_theoretical_p25,annual_alpha_theoretical_median,annual_alpha_theoretical_p75,annual_alpha_theoretical_p90,annual_alpha_theoretical_min,annual_alpha_theoretical_max,implementable_win_rate,annual_alpha_implementable_p10,annual_alpha_implementable_p25,annual_alpha_implementable_median,annual_alpha_implementable_p75,annual_alpha_implementable_p90,annual_alpha_implementable_min,annual_alpha_implementable_max
1,15,5,1.0,0.028472261851623992,0.028710004170267034,0.03661085010754972,0.037333585526082125,0.0443905883288247,0.02831376697252863,0.049095256863986414,0.2,-0.007724835110835615,-0.005486525821000399,-0.0033099327760575115,-0.002721172974515129,0.0006022260499189531,-0.009217041304059093,0.0028178253995416735
1,30,5,1.0,0.042947930977902615,0.04527087774268135,0.05984502511068346,0.06869281517859327,0.07375826181480823,0.04139929980138346,0.07713522623895153,0.4,-0.0051601070684032194,-0.004935213348543632,-0.0004987638337694555,0.002582904628135818,0.005667849841783524,-0.005310036214976277,0.007724479984215327
1,45,5,1.0,0.054268414376318755,0.0556738591853998,0.06841151772706877,0.07483050542868952,0.08690675149967868,0.05333145117026472,0.09495758221367145,0.4,-0.012189208009203778,-0.007680994972703248,-0.004402184510329921,0.016249157485692667,0.03946578520877134,-0.015194683366870798,0.05494353702415711
1,60,5,1.0,0.06848247907448046,0.0712600639348937,0.08294955584271846,0.08313127553075361,0.09498950900464158,0.06663075583420497,0.10289499798723356,0.6,-0.024848205273325652,-0.023145600091851293,0.014253690843489153,0.020658874863079824,0.028730357215105598,-0.025983275394308558,0.03411134544978944
1,90,5,1.0,0.06798312412033107,0.07644827122952647,0.0991324803779996,0.11157500276443333,0.13525221171035912,0.06233969271420081,0.15103701767430966,0.8,-0.017847198312083368,0.014928186722849457,0.0240454264660086,0.039156277227996084,0.058092144744762125,-0.039697455002038584,0.07071605642260614
1,120,5,1.0,0.0764580669454475,0.08306730610916979,0.09068226213910147,0.13220179520031805,0.13723372956390795,0.07205190750296597,0.14058835247296786,0.6,-0.046188544159588396,-0.025111229347123176,0.03026991035883886,0.04234543540687663,0.06531947275033,-0.06024008736789854,0.08063549764596556
2,15,5,1.0,0.01699032577111188,0.017173205586584084,0.018744094815087653,0.02116872602344655,0.02127424365654469,0.01686840589413041,0.021344588745276782,0.2,-0.000780914414824574,-0.000675533730675415,-0.0005432058153547192,-0.00022148283957634796,-5.233664803103719e-05,-0.0008511682042573465,6.0427479665836614e-05
2,30,5,1.0,0.025503418657581056,0.026566098447132536,0.02971873533114766,0.03310347097196842,0.03355861296857308,0.024794965464546737,0.033862040966309515,0.6,-0.002413102922125221,-0.00011078353486149162,0.0032059881269697055,0.0034465431673629254,0.0037513020617426563,-0.003947982513634374,0.00395447465799581
2,45,5,1.0,0.03284965182149278,0.03285357496938546,0.03620787942883252,0.03875419360019494,0.04245783210233518,0.03284703638956432,0.04492692443709534,0.6,-0.004794594158151444,-0.003057242817086747,0.010573952324735902,0.012713165135504134,0.013697195189759936,-0.0059528283855279085,0.014353215225930471
2,60,5,1.0,0.04037736016585738,0.042999349283257216,0.04504792416435932,0.04569875884536345,0.04930679289450355,0.038629367420924154,0.05171214892726361,0.8,-0.005380277851150383,0.0034752651571794413,0.011885393456565918,0.022066036216857876,0.027140084182854053,-0.011283973190036933,0.030522782826851502
2,90,5,1.0,0.046202583952596396,0.047702116242871684,0.05566900395524543,0.058049005018353306,0.0608053928813431,0.04520289575907954,0.06264298479000296,1.0,0.006233343977855599,0.0063454740617741034,0.01868931074376423,0.022631058139059856,0.024237608322438174,0.006158590588576596,0.02530864177802372
2,120,5,1.0,0.053994293033410745,0.06273519729381327,0.06285470542874583,0.06369031065274067,0.06836453218037328,0.04816702352647573,0.0714806798654617,1.0,0.011844493937082845,0.013283673542236363,0.014917765820879891,0.03643749102215743,0.03866123263023948,0.0108850408669805,0.04014372703562752
3,15,5,1.0,0.012340548189177625,0.013510909468504417,0.01394502304234213,0.014664177270018675,0.015064445448332454,0.011560307336293096,0.015331290900541639,0.6,-0.0004940425117127667,-0.0003165941984044629,0.0002524167974571334,0.000663249887859374,0.0007141871208783624,-0.0006123413872516359,0.0007481452762243546
3,30,5,1.0,0.019699381682048635,0.021617872747749844,0.021675284232249847,0.022565348714550737,0.022669491999541557,0.018420387638247826,0.022738920856202105,0.8,-0.00011027138632977438,0.000988596854811341,0.001661095247805111,0.0021589586376444814,0.002799488166649855,-0.0008428502137571847,0.0032265078526534374
3,45,5,1.0,0.023792904200374256,0.02424654178457053,0.025115081628494407,0.02670494100071541,0.02755339000792878,0.023490479144243404,0.02811902267940436,0.6,-0.0014643827894970762,-0.001210491784001233,0.0015367194606037415,0.00326577254981375,0.004931667982424327,-0.0016336434598276384,0.006042264937498043
3,60,5,1.0,0.031839103065261075,0.03326600595977092,0.033652003034987166,0.03502112121840906,0.03508173248108446,0.030887834468921183,0.03512213998953473,0.8,-0.0010636860807288872,0.0005290623151394946,0.0009857495014473638,0.0039506273062666075,0.0077287913919191105,-0.002125518344641142,0.010247567449020778
3,90,5,1.0,0.03297344186982141,0.03384278849905975,0.03953199505430227,0.04321841917429947,0.04660244300100906,0.03239387745032918,0.048858458885482126,0.8,0.0001672449221238109,0.006999194538110709,0.007946233682261994,0.011162732326763791,0.013160285490866742,-0.004387388155200789,0.014491987600268708
3,120,5,1.0,0.04246689596152007,0.04525489191868215,0.04662109633284861,0.04852843119072192,0.05450732053923248,0.04060823199007868,0.05849324677157286,0.8,-0.002466216456982595,0.0017658742957251672,0.0025346395699332724,0.015475729258017212,0.017886707474289797,-0.005287610292121103,0.01949402628513819
4,15,5,1.0,0.009680862891928621,0.009846144205921004,0.010044633261385716,0.010806995650921802,0.010957969633010167,0.009570675349267033,0.01105861895440241,0.4,-0.0019977789666680403,-0.0017908494590685997,-0.0006437060139232731,0.0003195306639316442,0.00039547312304635265,-0.0021357319717343337,0.0004461014291228249
4,30,5,1.0,0.014661843967592025,0.014789337203624076,0.01600388181889012,0.017116139881101944,0.01848474787510206,0.014576848476903992,0.01939715320443547,0.6,-0.004059602461808342,-0.0035517476861872677,0.0006131016006025725,0.0014621434148709422,0.0016824320871391407,-0.004398172312222393,0.0018292912019846064
4,45,5,1.0,0.018412178635235678,0.02000413419542868,0.020241904755499363,0.02121217908731099,0.023244857314552548,0.01735087492844034,0.024599976132713586,0.4,-0.005186082580604978,-0.004983245715727058,-0.0015075847066945425,0.0034555158009739184,0.004419723822025423,-0.005321307157190258,0.005062529169393093
4,60,5,1.0,0.02162851209450838,0.023980873672212244,0.025238675272114097,0.027763570822810557,0.0299297545337295,0.020060271042705802,0.031373877007675466,0.8,-0.002572822892841131,0.000870180358882866,0.006470742692395337,0.006696607549780742,0.008693250014096777,-0.004868158393990463,0.010024344990307466
4,90,5,1.0,0.02556076836860908,0.027543294612826674,0.02759128056698401,0.03148481544803161,0.039413529724904306,0.024239084205797345,0.044699339242819436,0.6,-0.009593255684193646,-0.005032288424905884,0.00420456318839002,0.0077507257732332135,0.012592845343966142,-0.012633900523718822,0.015820925057788093
4,120,5,1.0,0.030341752364397668,0.030905030449680293,0.03138822611147507,0.04475277555267643,0.048147710668325724,0.029966233640875917,0.05041100074542526,0.8,-0.001971076568224283,0.004846708411296863,0.0078057803176982965,0.014101664193863384,0.02315149609512659,-0.006516266554571715,0.029184717362635393
5,15,5,1.0,0.007407733113853033,0.007585306885593779,0.007986953673852826,0.0085475768779526,0.009573317225147404,0.007289350599359201,0.010257144123277273,0.2,-0.0019101101807646348,-0.0013053157768072587,-0.0006325279741665746,-0.0001481731512071871,0.00033781477235934616,-0.002313306450069552,0.0006618067214037016
5,30,5,1.0,0.011107088481059124,0.011730515522784923,0.012473970215876484,0.013581840951686575,0.015794004267174477,0.010691470453241925,0.01726877981083308,0.4,-0.0029776917716436203,-0.0021171099249972514,-0.0018655618283500708,0.0009128454751248238,0.001411807631124029,-0.0035514130027411994,0.0017444490684568326
