date,price,index_name,year,month,day,month_key,quarter_key,week_key,return_factor,investment_signal,cash_inflow,cash_balance,contribution,invested_wealth,wealth,total_contribution,wealth_return
1971-02-08,98.39821945330384,Nasdaq Composite,1971,2,8,197102,19711,197106,1.0,False,0.06666666666666667,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0
1971-02-09,98.80110754908512,Nasdaq Composite,1971,2,9,197102,19711,197106,1.0040944653065849,False,0.06666666666666667,0.13333333333333333,0.0,0.0,0.13333333333333333,0.0,0.0
1971-02-10,98.8393012939555,Nasdaq Composite,1971,2,10,197102,19711,197106,1.000386572031608,False,0.06666666666666667,0.2,0.0,0.0,0.2,0.0,0.0
1971-02-11,99.55856246543615,Nasdaq Composite,1971,2,11,197102,19711,197106,1.0072770766493129,False,0.06666666666666667,0.26666666666666666,0.0,0.0,0.26666666666666666,0.0,0.0
1971-02-12,97.8382110302135,Nasdaq Composite,1971,2,12,197102,19711,197106,0.9827202061518324,False,0.06666666666666667,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0
1971-02-15,99.3600455695106,Nasdaq Composite,1971,2,15,197102,19711,197107,1.0155546030867955,False,0.06666666666666667,0.4,0.0,0.0,0.4,0.0,0.0
1971-02-16,99.53364898132487,Nasdaq Composite,1971,2,16,197102,19711,197107,1.0017472155011524,False,0.06666666666666667,0.4666666666666667,0.0,0.0,0.4666666666666667,0.0,0.0
1971-02-17,98.01982201534364,Nasdaq Composite,1971,2,17,197102,19711,197107,0.9847908020908058,False,0.06666666666666667,0.5333333333333333,0.0,0.0,0.5333333333333333,0.0,0.0
1971-02-18,96.28509001848198,Nasdaq Composite,1971,2,18,197102,19711,197107,0.9823022327403318,False,0.06666666666666667,0.6,0.0,0.0,0.6,0.0,0.0
1971-02-19,94.647064604502,Nasdaq Composite,1971,2,19,197102,19711,197107,0.9829877563217155,False,0.06666666666666667,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0
1971-02-22,93.7795727438613,Nasdaq Composite,1971,2,22,197102,19711,197108,0.9908344557301838,False,0.06666666666666667,0.7333333333333333,0.0,0.0,0.7333333333333333,0.0,0.0
1971-02-23,95.33842654693832,Nasdaq Composite,1971,2,23,197102,19711,197108,1.0166225304452463,False,0.06666666666666667,0.8,0.0,0.0,0.8,0.0,0.0
1971-02-24,96.54306243063806,Nasdaq Composite,1971,2,24,197102,19711,197108,1.012635365689685,False,0.06666666666666667,0.8666666666666667,0.0,0.0,0.8666666666666667,0.0,0.0
1971-02-25,95.88259804875094,Nasdaq Composite,1971,2,25,197102,19711,197108,0.9931588623225864,False,0.06666666666666667,0.9333333333333333,0.0,0.0,0.9333333333333333,0.0,0.0
1971-02-26,95.22338659169364,Nasdaq Composite,1971,2,26,197102,19711,197108,0.9931248060599889,True,0.06666666666666667,1.0,1.0,1.0,1.0,1.0,0.0
1971-03-01,97.78341712331766,Nasdaq Composite,1971,3,1,197103,19711,197109,1.0268844726411708,False,0.043478260869565216,0.043478260869565216,0.0,1.0268844726411708,1.070362733510736,1.0,0.02576428628112204
1971-03-02,99.02998168904502,Nasdaq Composite,1971,3,2,197103,19711,197109,1.0127482205306373,False,0.043478260869565216,0.08695652173913043,0.0,1.0399754223578876,1.126931944097018,1.0,0.03677738856925661
1971-03-03,98.00876140883622,Nasdaq Composite,1971,3,3,197103,19711,197109,0.9896877666461109,False,0.043478260869565216,0.13043478260869565,0.0,1.0292509531202236,1.1596857357289192,1.0,0.02587584314481317
1971-03-04,97.85783530436716,Nasdaq Composite,1971,3,4,197103,19711,197109,0.9984600753820417,False,0.043478260869565216,0.17391304347826086,0.0,1.0276659842394569,1.2015790277177176,1.0,0.02356731990768557
1971-03-05,97.33774412746912,Nasdaq Composite,1971,3,5,197103,19711,197109,0.9946852372599455,False,0.043478260869565216,0.21739130434782608,0.0,1.0222041833571995,1.2395954877050257,1.0,0.018239150614842492
1971-03-08,97.58391149858564,Nasdaq Composite,1971,3,8,197103,19711,197110,1.0025290022213187,False,0.043478260869565216,0.2608695652173913,0.0,1.0247893400075512,1.2856589052249425,1.0,0.01966051104047173
1971-03-09,98.79639949387897,Nasdaq Composite,1971,3,9,197103,19711,197110,1.012425080903945,False,0.043478260869565216,0.30434782608695654,0.0,1.0375224304666455,1.341870256553602,1.0,0.028767196691094954
1971-03-10,98.4777000137604,Nasdaq Composite,1971,3,10,197103,19711,197110,0.9967741792033796,False,0.043478260869565216,0.34782608695652173,0.0,1.0341755690334862,1.382001655990008,1.0,0.025356067347425126
1971-03-11,99.01738300314686,Nasdaq Composite,1971,3,11,197103,19711,197110,1.0054802558275737,False,0.043478260869565216,0.3913043478260869,0.0,1.0398431157224162,1.431147463548503,1.0,0.02863723942548657
1971-03-12,99.827830216622,Nasdaq Composite,1971,3,12,197103,19711,197110,1.0081848983369859,False,0.043478260869565216,0.43478260869565216,0.0,1.0483541259110187,1.4831367346066708,1.0,0.033701360483437304
1971-03-15,100.93778709386024,Nasdaq Composite,1971,3,15,197103,19711,197111,1.0111187118344622,False,0.043478260869565216,0.4782608695652174,0.0,1.0600104733374929,1.5382713429027102,1.0,0.040595320198892226
1971-03-16,100.1304161088119,Nasdaq Composite,1971,3,16,197103,19711,197111,0.992001300917192,False,0.043478260869565216,0.5217391304347826,0.0,1.0515317685366414,1.573270898971424,1.0,0.03386373360979289
1971-03-17,99.87897921490408,Nasdaq Composite,1971,3,17,197103,19711,197111,0.9974889059320937,False,0.043478260869565216,0.5652173913043478,0.0,1.048891273350454,1.6141086646548017,1.0,0.03123609130723448
1971-03-18,102.6234040313492,Nasdaq Composite,1971,3,18,197103,19711,197111,1.027477501652676,False,0.043478260869565216,0.6086956521739131,0.0,1.0777121850474185,1.6864078372213316,1.0,0.048307574488935856
1971-03-19,102.4152315720496,Nasdaq Composite,1971,3,19,197103,19711,197111,0.9979714913838174,False,0.043478260869565216,0.6521739130434783,0.0,1.075526036594285,1.7276999496377632,1.0,0.04571312741233036
1971-03-22,102.50578890897673,Nasdaq Composite,1971,3,22,197103,19711,197112,1.0008842174697756,False,0.043478260869565216,0.6956521739130435,0.0,1.0764770355050401,1.7721292094180836,1.0,0.04510184145169038
1971-03-23,103.1673137376137,Nasdaq Composite,1971,3,23,197103,19711,197112,1.0064535362897835,False,0.043478260869565216,0.7391304347826086,0.0,1.0834241191187906,1.8225545539013992,1.0,0.04796886849330462
1971-03-24,102.41560136426826,Nasdaq Composite,1971,3,24,197103,19711,197112,0.9927136575906466,False,0.043478260869565216,0.7826086956521738,0.0,1.075529920012339,1.8581386156645128,1.0,0.04237044293375103
1971-03-25,101.927060614014,Nasdaq Composite,1971,3,25,197103,19711,197112,0.9952298210063071,False,0.043478260869565216,0.8260869565217391,0.0,1.0703994497808078,1.896486406302547,1.0,0.03855207964187102
1971-03-26,104.31274428206828,Nasdaq Composite,1971,3,26,197103,19711,197112,1.0234057928648468,False,0.043478260869565216,0.8695652173913043,0.0,1.0954529975850233,1.9650182149763276,1.0,0.05105625452222173
1971-03-29,106.205479033214,Nasdaq Composite,1971,3,29,197103,19711,197113,1.0181448083278075,False,0.043478260869565216,0.9130434782608695,0.0,1.1153297822583257,2.0283732605191953,1.0,0.06028602254412485
1971-03-30,104.68536147467758,Nasdaq Composite,1971,3,30,197103,19711,197113,0.9856870137739219,False,0.043478260869565216,0.9565217391304348,0.0,1.0993660824473275,2.0558878215777625,1.0,0.05078710880641202
1971-03-31,104.82780298295818,Nasdaq Composite,1971,3,31,197103,19711,197113,1.0013606630982026,True,0.043478260869565216,1.0,1.0,2.1008619493071294,2.1008619493071294,2.0,0.05043097465356472
1971-04-01,103.06828516563117,Nasdaq Composite,1971,4,1,197104,19712,197113,0.9832151607945742,False,0.045454545454545456,0.045454545454545456,0.0,2.065599319295212,2.111053864749757,2.0,0.03207077832210348
1971-04-02,101.0073351814174,Nasdaq Composite,1971,4,2,197104,19712,197113,0.9800040334337395,False,0.045454545454545456,0.09090909090909091,0.0,2.0242956643672945,2.1152047552763853,2.0,0.011619665566966919
1971-04-05,101.059563651931,Nasdaq Composite,1971,4,5,197104,19712,197114,1.000517076016507,False,0.045454545454545456,0.13636363636363635,0.0,2.0253423791056577,2.161706015469294,2.0,0.011862390219669505
