horizon_years,contribution_interval_days,window_count,annual_alpha_theoretical_mean,annual_alpha_theoretical_median,final_relative_advantage_theoretical_mean,final_relative_advantage_theoretical_median,theoretical_win_rate,annual_alpha_implementable_mean,annual_alpha_implementable_median,final_relative_advantage_implementable_mean,final_relative_advantage_implementable_median,implementable_win_rate,implementable_minus_theoretical_annual_alpha_mean,implementable_minus_theoretical_annual_alpha_median
1,15,5,0.030115797647663235,0.029539938828227585,0.06849318379199584,0.06762725786116319,1.0,-0.006625052157619171,-0.005641642216749343,0.036059796305135186,0.03626591377643673,0.0,-0.0367408498052824,-0.035135781092078266
1,30,5,0.04953688865050428,0.05045970396090027,0.1292664846300507,0.13175219357213153,1.0,-0.008051940661966439,-0.005015089792609562,0.0761735235572178,0.07811277616226353,0.0,-0.05758882931247071,-0.05466112255167266
1,45,5,0.05936316789193201,0.05855880084022291,0.1824057034972637,0.18433403689047,1.0,-0.010905165376744819,-0.0112246087814043,0.11574816174905492,0.11429829439576289,0.2,-0.07026833326867683,-0.06978340962162721
1,60,5,0.07474613977258615,0.06546216411651473,0.24188177549994241,0.2371733550594708,1.0,-0.011103324641994216,-0.019729972883829383,0.15614118830325535,0.14730881454703737,0.4,-0.08584946441458037,-0.08519213700034411
1,90,5,0.09024663786693585,0.09296355432423131,0.3480287642762744,0.3507061481154512,1.0,-0.006584949034681165,-0.00410158541751704,0.24263144861381347,0.24508032118612588,0.4,-0.09683158690161701,-0.09815681291605816
1,120,5,0.11230302035477932,0.11451289710885049,0.4669246555271759,0.4680914023651843,1.0,-0.007657639400996974,-0.014757284323107633,0.325842838224733,0.3145921537334322,0.4,-0.1199606597557763,-0.12030123210907973
2,15,5,0.015444444284708415,0.014123474726589036,0.04699017665301297,0.04636268612390726,1.0,-0.0035343102311733874,-0.003122616631511921,0.015023969613096178,0.015228487115666711,0.0,-0.018978754515881803,-0.017238548089777872
2,30,5,0.023886833749099078,0.020842250783084104,0.08296188660375217,0.08080547612282918,1.0,-0.007025599233285629,-0.007430443502668194,0.02968704707694223,0.028744277368591975,0.0,-0.03091243298238471,-0.028163210713220366
2,45,5,0.031060016222068443,0.028829135935241945,0.11782223609179168,0.11484413877744482,1.0,-0.008718172249374457,-0.010934517756079565,0.04784573773208982,0.04468974355780775,0.2,-0.0397781884714429,-0.04023476388980818
2,60,5,0.03583000368459173,0.033827929704858484,0.1481936797942487,0.1495921958174642,1.0,-0.008968179374877882,-0.01073564200942978,0.06765290816043326,0.06321478332015817,0.2,-0.04479818305946961,-0.03997682648627232
2,90,5,0.04698134733475716,0.03457886788971165,0.21392757175008464,0.19890938113282441,1.0,-0.007347530961819881,-0.0049461332668931934,0.11003486491210582,0.11635827101640839,0.4,-0.054328878296577045,-0.05296894839891686
2,120,5,0.05405526096533664,0.044725053946129245,0.27354412381690285,0.24952446063006728,1.0,-0.007583636022021789,-0.003794294330158099,0.15135569888521472,0.15883492730247606,0.4,-0.06163889698735843,-0.05276576571770919
3,15,5,0.010503577935707886,0.009556515226883278,0.036282224353230544,0.03894186669773081,1.0,-0.0008137164402814534,-0.00041043651101935197,0.006210924953692842,0.007834780419447185,0.4,-0.011317294375989339,-0.011755689416181436
3,30,5,0.015020299995775144,0.013966495335592022,0.06883854857388116,0.06875400795817055,1.0,-0.003310075793389311,-0.003539945559357438,0.01902166244123049,0.018529464939677887,0.0,-0.018330375789164455,-0.01782745655138185
3,45,5,0.02001323297764852,0.018863764541666717,0.09747834956641946,0.09818631090097374,1.0,-0.0019055657261432656,-0.004871896801557973,0.036735883713364136,0.02722842417502691,0.4,-0.021918798703791785,-0.021785995593837315
3,60,5,0.02275653810046587,0.021813035859570062,0.12000332731260706,0.11589466065314946,1.0,-0.0032691111792522596,-0.00584304017035242,0.047008418281025574,0.039855951475034956,0.2,-0.026025649279718132,-0.02696220486136003
3,90,5,0.02973698705364818,0.02612372353460235,0.17042139333184445,0.1693763392327139,1.0,-0.0029145026030388045,0.0013269804160325194,0.07459148109892602,0.086755595971435,0.6,-0.03265148965668698,-0.037132453785581054
3,120,5,0.03413809207736849,0.03077973584532412,0.21428782840605093,0.2052706648998981,1.0,0.004480791723296318,0.008915186726597746,0.1227989967073074,0.13943172248736713,0.6,-0.02965730035407217,-0.02920153238968881
4,15,5,0.007297214459812596,0.0073890210613758445,0.03711856562633979,0.03691414183276631,1.0,-0.00087790522815685,-0.0012022089913474865,0.00727051145222859,0.0063586021753461175,0.2,-0.008175119687969445,-0.008423261703384366
