horizon_years,contribution_interval_days,window_count,theoretical_win_rate,annual_alpha_theoretical_p10,annual_alpha_theoretical_p25,annual_alpha_theoretical_median,annual_alpha_theoretical_p75,annual_alpha_theoretical_p90,annual_alpha_theoretical_min,annual_alpha_theoretical_max,implementable_win_rate,annual_alpha_implementable_p10,annual_alpha_implementable_p25,annual_alpha_implementable_median,annual_alpha_implementable_p75,annual_alpha_implementable_p90,annual_alpha_implementable_min,annual_alpha_implementable_max
1,15,5,1.0,0.025610585620078518,0.025871150622124306,0.029539938828227585,0.03446378473298317,0.034945856954953135,0.02543687561871466,0.035267238436266446,0.0,-0.010887884230533818,-0.007226191503725499,-0.005641642216749343,-0.005595842263850681,-0.003037880158758854,-0.013329012715072697,-0.0013325720886976367
1,30,5,1.0,0.03811270608646562,0.04241895027002496,0.05045970396090027,0.0561537535957124,0.06050759671535957,0.035241876630759394,0.06341015879512435,0.0,-0.013855882228137916,-0.010279169935568877,-0.005015089792609562,-0.004523667901030759,-0.004330318314875736,-0.01624035708985061,-0.004201418590772388
1,45,5,1.0,0.04635334239832223,0.056992907940461635,0.05855880084022291,0.06341755381483294,0.07251878842228114,0.039260298703562624,0.07858627816057995,0.2,-0.028263417611844276,-0.014108793413114773,-0.0112246087814043,-0.004728298417866927,0.006050105116648742,-0.03769983374433061,0.01323570747299252
1,60,5,1.0,0.0582450986959691,0.061161022617447935,0.06546216411651473,0.08288637910221897,0.09790654180794714,0.05630114941498321,0.10791998361176591,0.4,-0.022830598542266278,-0.022778514404800942,-0.019729972883829383,0.0027438053803567897,0.005365550151470089,-0.022865321300576502,0.007113379998878955
1,90,5,1.0,0.05808060523466403,0.06154248305890442,0.09296355432423131,0.10334672754774332,0.1239033336502752,0.055772686685170436,0.13760773771862977,0.4,-0.02498524215349205,-0.005193258591826844,-0.00410158541751704,0.0015616161535396689,0.008417674787616215,-0.03817989786126885,0.012988380543667244
1,120,5,1.0,0.06990039681829815,0.10098212010764929,0.11451289710885049,0.13426772149614608,0.15125095765997046,0.04917924795873074,0.16257311510252004,0.4,-0.031007503829758188,-0.028439039297935675,-0.014757284323107633,0.01396648938706635,0.019783466202805713,-0.03271981351763986,0.02366145074663195
2,15,5,1.0,0.012682222781415353,0.014115931458265951,0.014123474726589036,0.015883610042105367,0.019177116936682205,0.011726416996848288,0.021372788199733428,0.0,-0.00542199021169445,-0.004460524141057798,-0.003122616631511921,-0.0023237849227082386,-0.0019505086901653534,-0.006062967592118884,-0.0017016578684700967
2,30,5,1.0,0.01789194747075622,0.02003862301386561,0.020842250783084104,0.022666066426568765,0.03272226541860368,0.016460830442016627,0.03942639807996029,0.0,-0.009619195883302822,-0.008124587699354757,-0.007430443502668194,-0.005557077347132289,-0.004263002705655738,-0.0106156013392682,-0.003400286278004705
2,45,5,1.0,0.025367269495853773,0.027140136744191468,0.028829135935241945,0.02950597441145897,0.0391860753780763,0.024185357996961976,0.04563947602248786,0.2,-0.015928816348705375,-0.011405627954566233,-0.010934517756079565,-0.007820876442045765,0.00018031113355214835,-0.018944275278131473,0.005514436183950755
2,60,5,1.0,0.022965387769936552,0.02924118447684254,0.033827929704858484,0.03409011003113771,0.05156160655932749,0.018781523298665892,0.06320927091145401,0.2,-0.018728279060162258,-0.016898208874581044,-0.01073564200942978,-0.01055599154918263,0.003755966225939213,-0.01994832585054973,0.013297271409353772
2,90,5,1.0,0.03436945242413669,0.03442116840530551,0.03457886788971165,0.044086823931761776,0.07012567037889435,0.03433497510335748,0.08748490134364939,0.4,-0.02236011092221273,-0.018547779993611346,-0.0049461332668931934,0.004494953915924249,0.00609576321242642,-0.02490166487461365,0.007162969410094533
2,120,5,1.0,0.03451345920891562,0.035842558870428975,0.044725053946129245,0.04897147138755109,0.08385448526782074,0.033627392767906716,0.10710982785466716,0.4,-0.02364694791387283,-0.016558491174482715,-0.003794294330158099,0.004291877442865744,0.005625939192225715,-0.028372585740132905,0.0065153136917990295
3,15,5,1.0,0.008946905343638489,0.009395734939102951,0.009556515226883278,0.01222086310709214,0.012506599718116185,0.008647685613328848,0.012697090792132215,0.4,-0.002361373036243597,-0.0021991741892981587,-0.00041043651101935197,0.0003988144663966686,0.0005265575665911459,-0.002469505600873889,0.0006117196333874642
3,30,5,1.0,0.013432310005785864,0.013633879767148471,0.013966495335592022,0.014522526921767254,0.01761741144240121,0.013297930164877458,0.019680667789490514,0.0,-0.004633817222908965,-0.004193576784233377,-0.003539945559357438,-0.002487979695511955,-0.001836131525695439,-0.00492731084869269,-0.0014015660791510953
3,45,5,1.0,0.0174749398668848,0.01831620147879298,0.018863764541666717,0.020975442824598733,0.023388171480382393,0.016914098792279342,0.02499665725090483,0.4,-0.0068314888697213584,-0.005918832619856262,-0.004871896801557973,0.003937866137204926,0.004434123068756612,-0.007439926369631422,0.004764961023124403
3,60,5,1.0,0.019598142047170607,0.020529474973897566,0.021813035859570062,0.021817885347400923,0.027114178674225276,0.018977253429352636,0.030645040892108177,0.2,-0.008565480546470772,-0.007984951432007392,-0.00584304017035242,-0.0016182215330253769,0.004184605703931999,-0.008952499956113025,0.008053157195236915
3,90,5,1.0,0.023627535691704126,0.025551556912072337,0.02612372353460235,0.03177513254960296,0.03844385345614394,0.02234485487812532,0.04288966739383793,0.6,-0.013774454526456602,-0.012254737954957906,0.0013269804160325194,0.004381874844757494,0.005809331089760761,-0.014787598907455735,0.006760968586429605
3,120,5,1.0,0.02662045530813173,0.027664610294149794,0.03077973584532412,0.031632877987473496,0.045466481760454605,0.025924351984119687,0.05468888427577534,0.6,-0.01401601315323211,-0.008787695518756244,0.008915186726597746,0.014290673765436246,0.02100868063782642,-0.017501558242882687,0.02548735188608653
4,15,5,1.0,0.006900459611293952,0.006970067444405981,0.0073890210613758445,0.007521672351874065,0.007659423172062319,0.006854054389219266,0.007751257052187821,0.2,-0.0014476424372874331,-0.001265295121970933,-0.0012022089913474865,-0.0004360726417995675,-0.000124474299620525,-0.0015692073141650997,8.325792849883662e-05
4,30,5,1.0,0.01032349953365137,0.010505658778844795,0.01153534065974049,0.011748204630147585,0.012237451878686833,0.010202060036855753,0.012563616711046333,0.4,-0.0024129627881434245,-0.0020437292295472087,-0.001967648884262818,0.00024224171087738888,0.0004185141136267667,-0.002659118493874235,0.0005360290487930186
4,45,5,1.0,0.013319493990755582,0.013352715849838104,0.01561124363040034,0.016491792935062533,0.01663284743024529,0.013297346084700568,0.01672688376036713,0.6,-0.004357209114550731,-0.0020033438535100867,0.000564170205617609,0.0024775315542018284,0.002802158279477096,-0.00592645262191116,0.0030185760963272745
4,60,5,1.0,0.0162348193624303,0.016872419626671853,0.017045455212646887,0.01788529710213238,0.018990740704748,0.015809752519602593,0.019727703106491745,0.4,-0.005216283318020887,-0.0039700649720855186,-0.0018744489115058993,0.0008144163336534227,0.003368832898473207,-0.0060470955486444655,0.005071777275019729
4,90,5,1.0,0.018285630487692696,0.0194916558285696,0.025789465028699388,0.027248053799983962,0.02754144656908313,0.01748161359377476,0.02773704174848257,0.8,-0.005961025344933101,0.00129096548545804,0.0015409130136803117,0.003487806621402356,0.005196490525121078,-0.010795685898527196,0.006335613127600226
4,120,5,1.0,0.02321692104930815,0.025817019059318103,0.026817509886642554,0.028921459144639394,0.03066846865966908,0.021483522375968178,0.03183314166968887,0.4,-0.0047235190619187685,-0.003967169781551982,-0.0015042364821264975,0.004939063978271152,0.0051777848993574075,-0.005227751915496626,0.005336932180081577
5,15,5,1.0,0.005239190291863283,0.005474414084066792,0.005556733950768722,0.005734748603130724,0.0058342840050722876,0.005082374430394276,0.005900640939699997,0.2,-0.0009403531135419474,-0.0008539521782506831,-0.0007949950479684276,-0.0004365098286738256,-0.0001331038761678282,-0.000997953737069457,6.916675883616996e-05
5,30,5,1.0,0.007988104847333099,0.008201665445217943,0.008781520456116132,0.008859178416193103,0.009163194688724952,0.00784573111540987,0.009365872203746184,0.2,-0.002260064895819358,-0.0016335776233045163,-0.0008075642473439615,-0.00028283891324676347,-4.082105492742014e-05,-0.0026777230774959193,0.00012052418395214204
5,45,5,1.0,0.01056252336479031,0.010715206569619218,0.011691043450755112,0.011805377209118895,0.012622703269572355,0.010460734561571039,0.013167587309874662,0.4,-0.0032136888289663545,-0.0020854060252193385,-0.0006697732729510353,0.0008327154948057913,0.0018255766909557548,-0.003965877364797699,0.0024874841550557303
5,60,5,1.0,0.012154076820094017,0.012240670335216697,0.01316671052086349,0.0139105936537669,0.014129895180830854,0.012096347810012231,0.014276096198873489,0.2,-0.002308407078617325,-0.002227317773522808,-0.0011616619681014129,-0.0007817369315246125,0.0016782665261127598,-0.002362466615347003,0.0033182688312043407
5,90,5,1.0,0.01456021229176203,0.015644695564796862,0.018226177606014415,0.0192630986270379,0.019990774580689586,0.013837223443072144,0.020475891883124042,0.4,-0.006260491370651655,-0.003801139243589491,-0.0033525074092426443,0.002901609755085577,0.0035367540407903243,-0.007900059455359765,0.003960183564593489
5,120,5,1.0,0.01617521390399017,0.018127895677040984,0.018594991085841173,0.021188919965307917,0.022522057629448478,0.01487342605528963,0.02341081607220885,0.8,-0.0011060803363452274,0.0014717754346842415,0.0017043674210805992,0.001975867888545757,0.0029625272643986735,-0.0028246508503648737,0.003620300181633951
6,15,5,1.0,0.004410730433906718,0.004535028810737973,0.00469973685733116,0.005156657690468025,0.005425698693963854,0.004327864849352547,0.005605059362961073,0.0,-0.000616121111967427,-0.0005353758524813124,-0.00032701360631914866,-0.0002002447360793802,-0.0001477261480433256,-0.0006699512849581701,-0.00011271375601928924
6,30,5,1.0,0.0069057125545014305,0.007036610002287169,0.007480326885235256,0.007544042482424462,0.00816446639984143,0.006818447589310939,0.008578082344786075,0.2,-0.0011224954125191645,-0.0010913421832703385,-0.0006013759681608999,-0.00037771481501813753,-1.6985003896641216e-05,-0.0011432642320183817,0.00022350153685102292
6,45,5,1.0,0.008773584399923973,0.00907969500881256,0.009855621535219905,0.010513126693114438,0.011021812768655215,0.008569510660664914,0.011360936819015732,0.4,-0.0017048326989716144,-0.0009867147400657306,-0.000980161059385587,0.0012813781472755803,0.001703712765908083,-0.0021835780049088704,0.0019852691783297516
6,60,5,1.0,0.010646068289268128,0.010897609207780823,0.011230390169397308,0.012078414077888011,0.012179935352630044,0.010478374343593,0.012247616202458067,0.4,-0.0017135240497386127,-0.0008947444063067689,-0.000834779295678878,0.0005935977803706027,0.0020910350285254344,-0.002259377145359842,0.003089326527295322
6,90,5,1.0,0.013009829162022956,0.01314409653238302,0.014727306377669835,0.016336024943043537,0.017429837548075967,0.012920317581782914,0.01815904595143092,0.4,-0.0032600940107968767,-0.00214079165327119,-0.0009311627092658536,0.0036583976675776952,0.005629876644965304,-0.004006295582480668,0.006944195963223709
6,120,5,1.0,0.015037206687436378,0.016864862234031497,0.017397962452168514,0.017451366478063113,0.01786021601501111,0.013818769656372965,0.01813278237297644,0.8,0.000144325942568857,0.0006952942118398919,0.0012477277362927808,0.0035800480835679327,0.0042024404108091055,-0.00022298623694516628,0.004617368628969887
7,15,5,1.0,0.0037826887857700165,0.003944320425838255,0.003993116709496869,0.004516539355279514,0.004575814229825425,0.0036749343590578576,0.004615330812856033,0.0,-0.0005639882493069682,-0.00035797452362063,-0.00016330401938335903,-0.0001424704286354661,-9.640995820503484e-05,-0.0007013307330978602,-6.570297791808066e-05
7,30,5,1.0,0.005895685117093796,0.005904448167868281,0.006032659421981279,0.007003210732594578,0.007027598742834806,0.0058898430832441395,0.007043857416328292,0.4,-0.0007038844878036965,-0.0004829670773738304,-0.0003743762728118938,6.472838417237448e-05,0.00014432730861400068,-0.0008511627614236073,0.00019739325824175147
7,45,5,1.0,0.007554859246715529,0.007777910631415752,0.00783887577729292,0.00849203593943626,0.009079924382435411,0.007406158323582046,0.009471850011101512,0.6,-0.0013119046538941693,-0.0012117184579736318,0.0006435712480095113,0.0006649101378208844,0.001217264631753512,-0.0013786954511745275,0.0015855009610419302
7,60,5,1.0,0.00946205052557052,0.00958504216029299,0.010065996523900722,0.01057266299062376,0.010614225544928768,0.009380056102422207,0.01064193391446544,0.8,2.6149343200110336e-06,0.0001111418761710059,0.0015489970058266689,0.0027292198346540175,0.0028856525081041085,-6.973636024731888e-05,0.0029899409570708357
7,90,5,1.0,0.011657064186647137,0.011978317497542967,0.012412624498930214,0.013313856704881832,0.013619464269653925,0.011442895312716583,0.013823202646168653,0.4,-0.0015519842731630984,-0.0012035434940622647,-0.00044035957530907943,0.002938151590527127,0.0036324097673615884,-0.0017842781258969875,0.004095248551917896
7,120,5,1.0,0.012981553523513111,0.013635444173015543,0.014036183798078472,0.014935450051645427,0.015807278916397306,0.012545626423844825,0.016388498159565223,1.0,0.00034323932506818977,0.0003444780146970583,0.004238225326441691,0.005445247769287009,0.005838693665009664,0.0003424135319822774,0.006100990928824768
8,15,5,1.0,0.003310796176182085,0.003366976609582739,0.0034824926314185323,0.00350711512519708,0.00371662307719971,0.003273342553914982,0.0038562950452014633,0.4,-0.00042431871245964816,-0.0003442156550823583,-6.318724535603337e-05,4.7696642624606156e-05,6.406901966657941e-05,-0.0004777207507111747,7.498393769456158e-05
8,30,5,1.0,0.00522857744042593,0.005243433660894414,0.0053897685593089495,0.005802773277333584,0.0062977544485478985,0.00521867329344694,0.006627741896024109,0.6,-0.00012186438469754534,-9.701316280641414e-05,6.1359481063894e-05,0.00022356102033516123,0.0003336988457694812,-0.00013843186595829948,0.00040712406272569446
8,45,5,1.0,0.006411039977798372,0.006415007756731983,0.006460091025545234,0.007673437223063351,0.007855538743892021,0.006408394791842631,0.007976939757777801,0.6,-0.0012496874237950095,-0.0012300592463445614,8.29313153227762e-05,0.0013020314811900136,0.0013344496134166661,-0.0012627728754286416,0.0013560617015677678
8,60,5,1.0,0.007598766898832832,0.007941391992054458,0.008047065686370924,0.00900713315780588,0.009734516406299586,0.007370350170018414,0.010219438571962058,0.4,-0.0010138613653974948,-0.0003709759591943307,-0.00018251137690272756,0.0010944039254494609,0.0019113048461821603,-0.0014424516361996043,0.00245590546000396
8,90,5,1.0,0.00998937107538005,0.010135630765064962,0.010170955932274683,0.011533046932423519,0.011910398490136132,0.009891864615590107,0.012161966195277873,0.6,-0.0016373307737494124,-0.0015212352096647397,0.0016558299042876978,0.002294114414775894,0.0024673673585855925,-0.0017147278164725277,0.0025828693211253917
8,120,5,1.0,0.01114772336451697,0.011317393364905781,0.012610351402269737,0.013929880250420634,0.01414508955545175,0.01103461003092443,0.014288562425472495,0.6,-0.001532473078591945,-0.000816813643045089,0.0010803844564870602,0.002751823699280731,0.004155887352818244,-0.0020095793689565156,0.005091929788509919
9,15,5,1.0,0.0029225662632170303,0.0029956384417733073,0.003011848780243298,0.003028763657976441,0.003224965623090359,0.0028738514775128454,0.0033557669331663043,0.2,-0.0002611270299542667,-0.0001381276593031,-6.29478061067168e-05,-1.357726294948236e-06,7.596499374757927e-05,-0.0003431266103883779,0.00012751347377593092
9,30,5,1.0,0.004612125869614037,0.00472149948362155,0.00485928140415437,0.005070163450665799,0.005324134163110683,0.004539210126942361,0.005493447971407273,0.8,-8.257111513123582e-05,0.00010443143004246203,0.0001876145624704062,0.00023280814184589715,0.00041007183406471803,-0.00020723947858036773,0.0005282476288772653
9,45,5,1.0,0.005344476692944333,0.005840490850826052,0.005862262393514506,0.006460045225685773,0.006611153414775117,0.005013800587689854,0.0067118922075013465,0.6,-0.0006694343367900756,-0.0006493098376352258,0.0001385763237129467,0.0010588732323173478,0.0011305117096777283,-0.0006828506695599756,0.0011782706945846488
9,60,5,1.0,0.007068233132474422,0.00715395429498189,0.007682318348227746,0.007895755666638582,0.008332335153878035,0.007011085690802776,0.008623388145371003,1.0,0.0005389769055459404,0.0009775855412417211,0.0010643203830478232,0.00138457330381625,0.0017342943254294862,0.00024657114841541983,0.0019674416731716438
9,90,5,1.0,0.0082333237994904,0.00920773414797571,0.009477559909878197,0.010172939674187198,0.010176808848672803,0.0075837169005001925,0.010179388298329872,0.6,-0.0002647780270763622,-7.176975611411507e-05,0.0008037484610188272,0.0017050163005292163,0.0019488954006162019,-0.0003934502077178603,0.002111481467340859
9,120,5,1.0,0.009589933559788877,0.009697383431702233,0.01105460557216742,0.011441797526392739,0.011676456145469949,0.00951830031184664,0.011832895224854756,0.8,-0.0006454221647686608,0.00047585632090574315,0.0005039101332373619,0.0018025490127449029,0.0019320516592905347,-0.0013929411552182636,0.0020183867569876224
10,15,5,1.0,0.0026778329586301997,0.0027261246845871057,0.002801533491425978,0.0028928795646958605,0.0029741074697017924,0.002645638474658929,0.0030282594063724133,0.2,-0.00018949059107176147,-0.00012589495058801248,-4.2804462803136545e-05,-1.3899963384744751e-05,5.887601174827673e-05,-0.00023188768472759413,0.00010739332850362437
10,30,5,1.0,0.004345354136964552,0.004460475279891796,0.00453604526074991,0.004545578866490763,0.004553615901624841,0.00426860670834639,0.00455897392504756,0.8,-0.0002472507822667946,5.204495866051317e-06,0.00010918053274000528,0.00018506770109327775,0.00029153156894676794,-0.0004155543010220253,0.0003625074808490947
10,45,5,1.0,0.005170456581601268,0.00526094321613213,0.005532059842370929,0.005566429051465649,0.005787909980390716,0.005110132158580694,0.005935563933007426,0.8,2.262865965589889e-05,0.0001895028773131191,0.0002995692754381718,0.0007889741930897642,0.0009004271587306877,-8.862081878224792e-05,0.0009747291358246368
