date,price,index_name,year,month,day,month_key,quarter_key,week_key,return_factor,investment_signal,cash_inflow,cash_balance,contribution,invested_wealth,wealth,total_contribution,wealth_return,all_time_high,all_time_high_flag
1950-09-07,99.35199216200245,Nikkei 225,1950,9,7,195009,19503,195036,1.0,False,0.058823529411764705,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,0.0,99.35199216200245,True
1950-09-08,98.12970564574344,Nikkei 225,1950,9,8,195009,19503,195036,0.9876974131100869,True,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.0,99.35199216200245,False
1950-09-11,99.41818948236674,Nikkei 225,1950,9,11,195009,19503,195037,1.0131304157914713,False,0.058823529411764705,0.058823529411764705,0.0,0.11919181362252604,0.17801534303429073,0.11764705882352941,0.00875361052764756,99.41818948236674,True
1950-09-12,98.10936871842586,Nikkei 225,1950,9,12,195009,19503,195037,0.9868351981588538,False,0.058823529411764705,0.11764705882352941,0.0,0.11762267701509865,0.23526973583862806,0.11764705882352941,-0.00010362268583075096,99.41818948236674,False
1950-09-13,96.06547594056076,Nikkei 225,1950,9,13,195009,19503,195037,0.9791672008029012,True,0.058823529411764705,0.1764705882352941,0.1764705882352941,0.291642855639112,0.291642855639112,0.2941176470588235,-0.008414290827018944,99.41818948236674,False
1950-09-14,96.85252636426168,Nikkei 225,1950,9,14,195009,19503,195037,1.0081928540507923,False,0.058823529411764705,0.058823529411764705,0.0,0.29403224299031955,0.35285577240208427,0.2941176470588235,-0.00024197819409443877,99.41818948236674,False
1950-09-15,97.86456072782998,Nikkei 225,1950,9,15,195009,19503,195037,1.0104492304079096,False,0.058823529411764705,0.11764705882352941,0.0,0.29710465364467986,0.4147517124682093,0.2941176470588235,0.007254158851365489,99.41818948236674,False
1950-09-18,96.78530423614598,Nikkei 225,1950,9,18,195009,19503,195038,0.9889719375056971,False,0.058823529411764705,0.1764705882352941,0.0,0.2938281649569381,0.4702987531922322,0.2941176470588235,-0.0006151494665064261,99.41818948236674,False
1950-09-19,96.15978193811628,Nikkei 225,1950,9,19,195009,19503,195038,0.993537011605569,False,0.058823529411764705,0.23529411764705882,0.0,0.29192915693686444,0.5272232745839233,0.2941176470588235,-0.004133814674811442,99.41818948236674,False
1950-09-20,99.4512854114669,Nikkei 225,1950,9,20,195009,19503,195038,1.034229523060575,False,0.058823529411764705,0.29411764705882354,0.0,0.301921752746289,0.5960393998051126,0.2941176470588235,0.013266979668691503,99.4512854114669,True
1950-09-21,98.27391887008872,Nikkei 225,1950,9,21,195009,19503,195038,0.9881613743200304,False,0.058823529411764705,0.3529411764705882,0.0,0.29834741413088534,0.6512885906014736,0.2941176470588235,0.006536912747731938,99.4512854114669,False
1950-09-22,97.70856296449558,Nikkei 225,1950,9,22,195009,19503,195038,0.9942471419467814,True,0.058823529411764705,0.4117647058823529,0.4117647058823529,0.7083957696891985,0.7083957696891985,0.7058823529411764,0.0035606737263644828,99.4512854114669,False
1950-09-25,99.13021364522191,Nikkei 225,1950,9,25,195009,19503,195039,1.0145499088062826,False,0.058823529411764705,0.058823529411764705,0.0,0.7187028635369327,0.7775263929486974,0.7058823529411764,0.016765283086758176,99.4512854114669,False
1950-09-26,100.05090918755212,Nikkei 225,1950,9,26,195009,19503,195039,1.009287738909,False,0.058823529411764705,0.11764705882352941,0.0,0.7253779880866144,0.8430250469101438,0.7058823529411764,0.02367327124803187,100.05090918755212,True
1950-09-27,102.03550026626505,Nikkei 225,1950,9,27,195009,19503,195039,1.0198358125361227,False,0.058823529411764705,0.1764705882352941,0.0,0.7397664498761303,0.9162370381114244,0.7058823529411764,0.03840197652628108,102.03550026626505,True
1950-09-28,103.0726278501257,Nikkei 225,1950,9,28,195009,19503,195039,1.0101643798595021,False,0.058823529411764705,0.23529411764705882,0.0,0.7472857170799866,0.9825798347270454,0.7058823529411764,0.04399107439748562,103.0726278501257,True
1950-09-29,102.6003882082287,Nikkei 225,1950,9,29,195009,19503,195039,0.9954183797216883,False,0.058823529411764705,0.29411764705882354,0.0,0.7438619376849203,1.0379795847437439,0.7058823529411764,0.037979584743743855,103.0726278501257,False
1950-10-02,102.7771443441506,Nikkei 225,1950,10,2,195010,19504,195040,1.001722762837536,False,0.045454545454545456,0.339572192513369,0.0,0.7451434353874213,1.0847156279007903,0.7058823529411764,0.03755407886162554,103.0726278501257,False
1950-10-03,102.13152720381844,Nikkei 225,1950,10,3,195010,19504,195040,0.993718281000586,True,0.045454545454545456,0.3850267379679144,0.3850267379679144,1.125489391679974,1.125489391679974,1.0909090909090908,0.03169860903997623,103.0726278501257,False
1950-10-04,103.15477684915744,Nikkei 225,1950,10,4,195010,19504,195040,1.0100189400213018,False,0.045454545454545456,0.045454545454545456,0.0,1.136765602389827,1.1822201478443723,1.0909090909090908,0.04035373010304788,103.15477684915744,True
1950-10-05,103.81711328259031,Nikkei 225,1950,10,5,195010,19504,195040,1.0064208023483139,False,0.045454545454545456,0.09090909090909091,0.0,1.144064549639134,1.2349736405482248,1.0909090909090908,0.04497769584849798,103.81711328259031,True
1950-10-06,102.32573927812469,Nikkei 225,1950,10,6,195010,19504,195040,0.9856346034164319,False,0.045454545454545456,0.13636363636363635,0.0,1.1276296086663666,1.263993245030003,1.0909090909090908,0.029920421876298953,103.81711328259031,False
1950-10-09,102.95331028320834,Nikkei 225,1950,10,9,195010,19504,195041,1.006133070813961,False,0.045454545454545456,0.18181818181818182,0.0,1.1345454409082367,1.3163636227264186,1.0909090909090908,0.03428570357075755,103.81711328259031,False
1950-10-10,101.97661570296268,Nikkei 225,1950,10,10,195010,19504,195041,0.9905132280102609,False,0.045454545454545456,0.2272727272727273,0.0,1.1237822669983422,1.3510549942710695,1.0909090909090908,0.024938271515983823,103.81711328259031,False
1950-10-11,102.09561885634048,Nikkei 225,1950,10,11,195010,19504,195041,1.0011669651180075,False,0.045454545454545456,0.2727272727272727,0.0,1.1250936817041646,1.3978209544314373,1.0909090909090908,0.025068699916387382,103.81711328259031,False
1950-10-12,101.6603719487304,Nikkei 225,1950,10,12,195010,19504,195041,0.9957368698825116,False,0.045454545454545456,0.3181818181818182,0.0,1.1202972609446957,1.4384790791265138,1.0909090909090908,0.02085612067042919,103.81711328259031,False
1950-10-13,102.03686712696648,Nikkei 225,1950,10,13,195010,19504,195041,1.003703460562056,False,0.045454545454545456,0.36363636363636365,0.0,1.124446237668384,1.4880826013047477,1.0909090909090908,0.023056788397014083,103.81711328259031,False
1950-10-16,98.93735862923464,Nikkei 225,1950,10,16,195010,19504,195042,0.969623641091655,False,0.045454545454545456,0.4090909090909091,0.0,1.090289655179831,1.49938056427074,1.0909090909090908,-0.0004129571528399545,103.81711328259031,False
1950-10-17,99.49622125190272,Nikkei 225,1950,10,17,195010,19504,195042,1.0056486511304836,False,0.045454545454545456,0.4545454545454546,0.0,1.096448321073117,1.5509937756185717,1.0909090909090908,0.003584207753193347,103.81711328259031,False
1950-10-18,97.84073057737164,Nikkei 225,1950,10,18,195010,19504,195042,0.9833612708733959,False,0.045454545454545456,0.5,0.0,1.0782048144574616,1.5782048144574616,1.0909090909090908,-0.007985545198166966,103.81711328259031,False
1950-10-19,99.25630981591436,Nikkei 225,1950,10,19,195010,19504,195042,1.0144681997997071,False,0.045454545454545456,0.5454545454545454,0.0,1.0938044971380383,1.6392590425925837,1.0909090909090908,0.0017694149176901153,103.81711328259031,False
1950-10-20,97.88719655379111,Nikkei 225,1950,10,20,195010,19504,195042,0.9862062848733498,False,0.045454545454545456,0.5909090909090909,0.0,1.0787168695002674,1.6696259604093582,1.0909090909090908,-0.007249428945786951,103.81711328259031,False
1950-10-23,97.309847808135,Nikkei 225,1950,10,23,195010,19504,195043,0.9941018972247423,False,0.045454545454545456,0.6363636363636364,0.0,1.0723544865385506,1.7087181229021868,1.0909090909090908,-0.01074213937241808,103.81711328259031,False
1950-10-24,96.51314137999329,Nikkei 225,1950,10,24,195010,19504,195043,0.9918126844704086,True,0.045454545454545456,0.6818181818181819,0.6818181818181819,1.7453929638158683,1.7453929638158683,1.7727272727272727,-0.015419353744894781,103.81711328259031,False
1950-10-25,96.84058587435518,Nikkei 225,1950,10,25,195010,19504,195043,1.0033927451710714,False,0.045454545454545456,0.045454545454545456,0.0,1.7513146373654764,1.7967691828200218,1.7727272727272727,-0.011776949448987994,103.81711328259031,False
1950-10-26,98.10879775930673,Nikkei 225,1950,10,26,195010,19504,195043,1.013095871668899,False,0.045454545454545456,0.09090909090909091,0.0,1.774249629108279,1.8651587200173698,1.7727272727272727,0.0008168741556620063,103.81711328259031,False
1950-10-27,98.38967069045384,Nikkei 225,1950,10,27,195010,19504,195043,1.002862872011093,False,0.045454545454545456,0.13636363636363635,0.0,1.7793290787121454,1.9156927150757816,1.7727272727272727,0.003458088849218832,103.81711328259031,False
1950-10-30,98.39287482956992,Nikkei 225,1950,10,30,195010,19504,195044,1.0000325658079106,False,0.045454545454545456,0.18181818181818182,0.0,1.7793870240011322,1.9612052058193141,1.7727272727272727,0.0034073146052304715,103.81711328259031,False
1950-10-31,98.61705260582102,Nikkei 225,1950,10,31,195010,19504,195044,1.0022783944125975,False,0.045454545454545456,0.2272727272727273,0.0,1.783441169454465,2.010713896727192,1.7727272727272727,0.005356948363596015,103.81711328259031,False
1950-11-01,98.52285027137398,Nikkei 225,1950,11,1,195011,19504,195044,0.9990447662756302,False,0.045454545454545456,0.2727272727272727,0.0,1.7817375663039727,2.0544648390312457,1.7727272727272727,0.004405032415275567,103.81711328259031,False
1950-11-02,98.61716974297563,Nikkei 225,1950,11,2,195011,19504,195044,1.0009573360021746,False,0.045454545454545456,0.3181818181818182,0.0,1.7834432878226225,2.1016251060044406,1.7727272727272727,0.0051250506977760235,103.81711328259031,False
1950-11-03,97.77770597425334,Nikkei 225,1950,11,3,195011,19504,195044,0.9914876509748741,False,0.045454545454545456,0.36363636363636365,0.0,1.7682619960901584,2.131898359726522,1.7727272727272727,-0.0020901294897130995,103.81711328259031,False
1950-11-06,97.64949538565584,Nikkei 225,1950,11,6,195011,19504,195045,0.9986887543809705,False,0.045454545454545456,0.4090909090909091,0.0,1.765943370294489,2.175034279385398,1.7727272727272727,-0.003109288615025796,103.81711328259031,False
1950-11-07,99.4195873184688,Nikkei 225,1950,11,7,195011,19504,195045,1.0181269951864285,False,0.045454545454545456,0.4545454545454546,0.0,1.7979546172673224,2.252500071812777,1.7727272727272727,0.011326562854716116,103.81711328259031,False
1950-11-08,100.79214146866268,Nikkei 225,1950,11,8,195011,19504,195045,1.0138056713693369,False,0.045454545454545456,0.5,0.0,1.8227765878502968,2.3227765878502966,1.7727272727272727,0.022021698654130617,103.81711328259031,False
1950-11-09,98.78065347234508,Nikkei 225,1950,11,9,195011,19504,195045,0.9800432060773012,False,0.045454545454545456,0.5454545454545454,0.0,1.7863998111194483,2.3318543565739938,1.7727272727272727,0.005897957737801107,103.81711328259031,False
1950-11-10,98.56027070191408,Nikkei 225,1950,11,10,195011,19504,195045,0.9977689682879786,False,0.045454545454545456,0.5909090909090909,0.0,1.7824142964904917,2.3733233873995827,1.7727272727272727,0.004098356207515641,103.81711328259031,False
1950-11-13,98.83300330855724,Nikkei 225,1950,11,13,195011,19504,195046,1.002767165762643,False,0.045454545454545456,0.6363636363636364,0.0,1.7873465323065854,2.4237101686702216,1.7727272727272727,0.006068371900846747,103.81711328259031,False
1950-11-14,98.24597005216172,Nikkei 225,1950,11,14,195011,19504,195046,0.9940603519396978,False,0.045454545454545456,0.6818181818181819,0.0,1.7767303229428828,2.4585485047610645,1.7727272727272727,0.0016308723100633138,103.81711328259031,False
1950-11-15,97.5103226102175,Nikkei 225,1950,11,15,195011,19504,195046,0.992512187099851,False,0.045454545454545456,0.7272727272727273,0.0,1.7634264987106651,2.490699225983392,1.7727272727272727,-0.0037203096066431574,103.81711328259031,False
1950-11-16,97.49364558919584,Nikkei 225,1950,11,16,195011,19504,195046,0.9998289717378095,False,0.045454545454545456,0.7727272727272727,0.0,1.76312490294109,2.5358521756683627,1.7727272727272727,-0.003772359558857463,103.81711328259031,False
1950-11-17,98.71867155763285,Nikkei 225,1950,11,17,195011,19504,195046,1.012565187823613,False,0.045454545454545456,0.8181818181818182,0.0,1.7852788985030343,2.6034607166848525,1.7727272727272727,0.00484448714152208,103.81711328259031,False
1950-11-20,100.04070457746688,Nikkei 225,1950,11,20,195011,19504,195047,1.0133919247390015,False,0.045454545454545456,0.8636363636363636,0.0,1.8091872191499148,2.6728235827862785,1.7727272727272727,0.013829634849967798,103.81711328259031,False
1950-11-21,100.14508186404612,Nikkei 225,1950,11,21,195011,19504,195047,1.001043348175326,False,0.045454545454545456,0.9090909090909092,0.0,1.8110748313338378,2.720165740424747,1.7727272727272727,0.014299089649905783,103.81711328259031,False
1950-11-22,101.21259568737216,Nikkei 225,1950,11,22,195011,19504,195047,1.0106596729809982,False,0.045454545454545456,0.9545454545454546,0.0,1.8303802967799732,2.784925751325428,1.7727272727272727,0.02113944215265673,103.81711328259031,False
1950-11-23,101.14800242397295,Nikkei 225,1950,11,23,195011,19504,195047,0.9993618060779834,False,0.045454545454545456,1.0,0.0,1.8292121591995893,2.8292121591995896,1.7727272727272727,0.02037159839985203,103.81711328259031,False
1950-11-24,101.68214050083736,Nikkei 225,1950,11,24,195011,19504,195047,1.0052807575440343,False,0.045454545454545456,1.0454545454545454,0.0,1.8388717851089218,2.884326330563467,1.7727272727272727,0.0234706334257464,103.81711328259031,False
1950-11-27,101.48114761506945,Nikkei 225,1950,11,27,195011,19504,195048,0.9980233216494271,False,0.045454545454545456,1.0909090909090908,0.0,1.8352369270618176,2.9261460179709085,1.7727272727272727,0.021828768180317315,103.81711328259031,False
1950-11-28,99.68567593457225,Nikkei 225,1950,11,28,195011,19504,195048,0.9823073376415918,False,0.045454545454545456,1.1363636363636365,0.0,1.8027666997636307,2.939130336127267,1.7727272727272727,0.010326053043747896,103.81711328259031,False
1950-11-29,98.9255317471952,Nikkei 225,1950,11,29,195011,19504,195048,0.9923745896263374,False,0.045454545454545456,1.1818181818181819,0.0,1.7890198638699595,2.9708380456881414,1.7727272727272727,0.00551441546367859,103.81711328259031,False
1950-11-30,99.4304240999276,Nikkei 225,1950,11,30,195011,19504,195048,1.0051037618278633,False,0.045454545454545456,1.2272727272727273,0.0,1.7981505951604682,3.0254233224331957,1.7727272727272727,0.008474440811065298,103.81711328259031,False
1950-12-01,100.89243513261638,Nikkei 225,1950,12,1,195012,19504,195048,1.0147038599696554,False,0.047619047619047616,1.274891774891775,0.0,1.8245903497160603,3.0994821246078352,1.7727272727272727,0.017017572136946102,103.81711328259031,False
1950-12-04,101.35516420412284,Nikkei 225,1950,12,4,195012,19504,195049,1.0045863604233383,False,0.047619047619047616,1.3225108225108226,0.0,1.8329585786848028,3.1554694011956252,1.7727272727272727,0.019459345001663575,103.81711328259031,False
