horizon_years,contribution_interval_days,window_count,annual_alpha_theoretical_mean,annual_alpha_theoretical_median,final_relative_advantage_theoretical_mean,final_relative_advantage_theoretical_median,theoretical_win_rate,annual_alpha_implementable_mean,annual_alpha_implementable_median,final_relative_advantage_implementable_mean,final_relative_advantage_implementable_median,implementable_win_rate,implementable_minus_theoretical_annual_alpha_mean,implementable_minus_theoretical_annual_alpha_median
1,15,5,0.023655347080643808,0.02288970513889832,0.06724391797462514,0.06560566183276606,1.0,0.0005181906020723881,0.0006390750468215911,0.04274486168957301,0.04235441029836018,0.6,-0.023137156478571418,-0.023679031102383563
1,30,5,0.03719424531981434,0.03615335279576626,0.1253461482685388,0.12224996375322839,1.0,-0.0033887046138350472,-0.0008547424202576259,0.08025254619695103,0.08240188692926131,0.4,-0.040582949933649394,-0.043782078812754754
1,45,5,0.0403506657697084,0.04336994340078559,0.17215867527866835,0.17547047016246076,1.0,-0.0012440791326998823,-0.00220316138850174,0.12403341391697267,0.12252640053363306,0.4,-0.04159474490240829,-0.03915660282133038
1,60,5,0.05908451325353192,0.056385494089919885,0.2388307208327372,0.2486338126772938,1.0,-0.0042638242634738255,0.006759441897958962,0.16347517190834812,0.17462802582134485,0.6,-0.06334833751700575,-0.06690089367713403
1,90,5,0.05859041322826804,0.057689262757022464,0.3254339730758887,0.3240874795019728,1.0,0.0002671531344506484,0.0008249546427598897,0.25089043305942893,0.25108389501086514,0.6,-0.058323260093817386,-0.057073254825632525
1,120,5,0.08450301083814396,0.08786128829454465,0.45263093493065065,0.45383633907863064,1.0,0.015111760632833681,0.0217016230715652,0.3540965279232441,0.36067684549689427,0.8,-0.06939125020531027,-0.07397550417179044
2,15,5,0.01213712726550793,0.012640003799273547,0.046409584719355565,0.04538653987079466,1.0,4.264261850777107e-05,-9.062890637745458e-05,0.02138124243398525,0.020641549934204972,0.4,-0.01209448464700016,-0.010942530878960244
2,30,5,0.018760771406775033,0.01959041415552376,0.08209430065903037,0.081739646221336,1.0,3.0423095381681974e-05,0.0009109299279500549,0.04249838942899662,0.04370918323429507,0.8,-0.018730348311393353,-0.016801328592051745
2,45,5,0.02145378592963918,0.02201411441828749,0.10992036003493802,0.112210093377898,1.0,-0.0006341894410920812,0.0011697165486815875,0.06216813033607793,0.06497920272375524,0.8,-0.02208797537073126,-0.022088201848571742
2,60,5,0.027127031641862743,0.027637187995545487,0.1446266188372339,0.14196972976610334,1.0,0.0006731445788197066,0.0034297909507913227,0.08594929460192566,0.0907837495985222,0.8,-0.026453887063043035,-0.025460147762028873
