horizon_years,contribution_interval_days,window_count,theoretical_win_rate,annual_alpha_theoretical_p10,annual_alpha_theoretical_p25,annual_alpha_theoretical_median,annual_alpha_theoretical_p75,annual_alpha_theoretical_p90,annual_alpha_theoretical_min,annual_alpha_theoretical_max,implementable_win_rate,annual_alpha_implementable_p10,annual_alpha_implementable_p25,annual_alpha_implementable_median,annual_alpha_implementable_p75,annual_alpha_implementable_p90,annual_alpha_implementable_min,annual_alpha_implementable_max
1,15,5,1.0,0.021562740511878543,0.022743445713238053,0.02288970513889832,0.0230684946656039,0.026507089570945497,0.0207756037109722,0.02879948617450656,0.6,-0.0036986391677575003,-0.0006105364367796628,0.0006390750468215911,0.0007391551389827056,0.004844042205441101,-0.005757374321742725,0.007580633583080032
1,30,5,1.0,0.032298726583298666,0.033848590915683485,0.03615335279576626,0.03732711770489783,0.043356855974568356,0.03126548369504212,0.04737668148768204,0.4,-0.012041302121788621,-0.007628726016988496,-0.0008547424202576259,0.0026388921560207557,0.0033860005046316036,-0.014983019524988705,0.003884072737038835
1,45,5,1.0,0.032940223818086214,0.035969790707560234,0.04336994340078559,0.04499064785140039,0.04589771973877552,0.030920512558436863,0.046502434330358944,0.4,-0.007664396380694471,-0.004876703717760389,-0.00220316138850174,0.004548282568676565,0.0053197400455126335,-0.00952285815598386,0.005834045030070012
1,60,5,1.0,0.047298633030949014,0.04847419367635675,0.056385494089919885,0.0697024999974627,0.07248827154093093,0.04651492593401052,0.07434545256990976,0.6,-0.027118636392368643,-0.002334439690040324,0.006759441897958962,0.007444558892775732,0.00924947462262471,-0.04364143419392086,0.01045275177585736
1,90,5,1.0,0.04576983618692352,0.0489082721813775,0.057689262757022464,0.06647317154129984,0.07231155709913165,0.0436775455239542,0.07620381413768618,0.6,-0.007906916184872692,-0.0023139365592006467,0.0008249546427598897,0.005060400141680743,0.007664110086072685,-0.011635569268654056,0.009399916715667311
1,120,5,1.0,0.06221855209941465,0.06446584782389542,0.08786128829454465,0.09567712724335564,0.10654511242484022,0.0607203549497608,0.11379043587916327,0.8,-0.0009963466671052633,0.004144718755648924,0.0217016230715652,0.021771750414338986,0.028127360888669607,-0.004423723615608055,0.03236443453822335
2,15,5,1.0,0.010763755841495647,0.011091813802929784,0.012640003799273547,0.012863306782256778,0.0132725995584267,0.01054505053387289,0.01354546140920665,0.4,-0.002382894369016242,-0.0003974803450873532,-9.062890637745458e-05,0.001062778964530109,0.002432139844477477,-0.0037065037183021676,0.003345047097775722
2,30,5,1.0,0.015751811297921848,0.0177122585200018,0.01959041415552376,0.02095213604913404,0.02104337551526183,0.014444846483201879,0.02110420182601369,0.8,-0.0043289802277233225,0.00018277712561176607,0.0009109299279500549,0.0016990018174712906,0.0034973357684817243,-0.007336818463280048,0.004696225069155346
2,45,5,1.0,0.017667950789128972,0.021508133392383666,0.02201411441828749,0.0237004307807559,0.02444322551418816,0.015107829053625843,0.024938422003143,0.8,-0.0065715920554793245,0.0008439904741929238,0.0011697165486815875,0.002850220154571259,0.0032283516772412925,-0.011515313741927491,0.0034804393590213145
2,60,5,1.0,0.023463662166680454,0.024899148614040856,0.027637187995545487,0.02908659456288265,0.03053797132619578,0.02250667120177352,0.0315055558350712,0.8,-0.005907786950949401,0.0016867957226306407,0.0034297909507913227,0.0036264468008537776,0.004806697612236843,-0.010970842066669428,0.00559353148649222
2,90,5,1.0,0.026720490699893507,0.03171255749260693,0.032755141564183576,0.03592505184025563,0.036248258871779404,0.02339244617141789,0.03646373022612859,0.8,-0.014268624035356047,0.0006785469343695283,0.0013106919166782083,0.0014562453518220941,0.005407300898804214,-0.024233404681839765,0.008041337930125625
2,120,5,1.0,0.024474824703736697,0.03401216222497272,0.042642091061481535,0.04955531301448257,0.05092233151905414,0.01811659968957935,0.05183367718876852,0.6,-0.02179838629943105,-0.016101664354470357,0.002218225071433766,0.008824434142286952,0.01165467671008249,-0.025596200929404844,0.013541505088612849
3,15,5,1.0,0.0068059489212169534,0.007497400273208998,0.00801116343791164,0.008743831733731389,0.009392854665575667,0.0063449813532222565,0.00982553662013852,0.4,-0.0003105497266105761,-0.00024899451191595645,-0.00014409740686904815,0.0002415511121639513,0.00036338519323355636,-0.0003515865364069892,0.00044460791394662635
3,30,5,1.0,0.01208840426826625,0.012334724115778073,0.012387556120232124,0.012693751278065046,0.013541040769816904,0.011924191036591703,0.014105900430984808,0.6,-0.003255628368689711,-0.00012732638664503249,0.000854953199936892,0.0021688006458031595,0.0021718043221214955,-0.005341163023386164,0.0021738067730003863
