horizon_years,contribution_interval_days,window_stride_days,window_number,start_date,end_date,final_relative_advantage_theoretical,mean_relative_advantage_theoretical,median_relative_advantage_theoretical,annual_return_btd_theoretical,annual_return_dca,annual_alpha_theoretical,theoretical_win,final_relative_advantage_implementable,mean_relative_advantage_implementable,median_relative_advantage_implementable,annual_return_btd_implementable,annual_alpha_implementable,implementable_win,implementable_minus_theoretical_annual_alpha,implementable_minus_theoretical_annual_return
1,15,0,0,1950-09-07,1951-09-07,0.06335487183848887,0.10828111305832105,0.027649444221983233,0.017920730214175284,-0.002854873496796917,0.0207756037109722,True,0.042438295640109924,0.0008028158025241669,0.0,-0.0021157183578142114,0.0007391551389827056,True,-0.020036448571989496,-0.020036448571989496
1,15,6786,1,1969-04-06,1970-04-06,0.07265783719173102,0.12478061279160074,0.07448872215425473,-0.0065617351726753315,-0.03536122134718189,0.02879948617450656,True,0.04235441029836018,0.002389203014394722,-0.0005594369497810003,-0.0347221463003603,0.0006390750468215911,True,-0.02816041112768497,-0.02816041112768497
1,15,13572,2,1987-11-04,1988-11-03,0.06560566183276606,0.11225194145095979,0.037368216442236535,0.026161849044201047,0.0030933543785971462,0.0230684946656039,True,0.04103308626944879,0.0011225763615318237,0.0,0.0024828179418174834,-0.0006105364367796628,False,-0.023679031102383563,-0.023679031102383563
1,15,20358,3,2006-06-03,2007-06-03,0.06291001087978443,0.07721354861464844,0.027506111813589307,0.12485951671645901,0.10211607100322095,0.022743445713238053,True,0.03628822951895194,0.008888804809193226,-0.0024556593689729067,0.09635869668147823,-0.005757374321742725,False,-0.02850082003498078,-0.02850082003498078
1,15,27144,4,2024-12-31,2025-12-31,0.07169120813035534,0.10356469471119537,0.021413040064973687,-0.1835298179148449,-0.20641952305374323,0.02288970513889832,True,0.051610286720994214,0.0059106267455956195,0.0,-0.1988388894706632,0.007580633583080032,True,-0.015309071555818288,-0.015309071555818288
1,30,0,0,1950-09-07,1951-09-07,0.12021903682916402,0.19569216359016517,0.13335513351663342,0.0272900076210838,-0.006558583294599685,0.033848590915683485,True,0.08240188692926131,0.05594201279256301,0.0007510013607514576,-0.007413325714857311,-0.0008547424202576259,False,-0.03470333333594111,-0.03470333333594111
1,30,6786,1,1969-04-06,1970-04-06,0.13677510362970602,0.19027997499423568,0.11029986634002709,0.004396365487197906,-0.04298031600048413,0.04737668148768204,True,0.08631028641361915,0.025662220331534976,-0.0006711661658489465,-0.040341423844463375,0.0026388921560207557,True,-0.04473778933166128,-0.04473778933166128
1,30,13572,2,1987-11-04,1988-11-03,0.12224996375322839,0.18732109152663212,0.06848370199995646,0.041863461169977745,0.005710108374211487,0.03615335279576626,True,0.07512140635716458,0.0346556032706631,-0.0002706467448847505,-0.0019186176427770096,-0.007628726016988496,False,-0.043782078812754754,-0.043782078812754754
1,30,20358,3,2006-06-03,2007-06-03,0.11358291902416728,0.1615617553018953,0.12178773352597516,0.1377722532027179,0.10650676950767579,0.03126548369504212,True,0.06883364313108564,0.07801611669884169,-0.007096573678635032,0.09152374998268709,-0.014983019524988705,False,-0.04624850322003082,-0.04624850322003082
1,30,27144,4,2024-12-31,2025-12-31,0.1339037181064282,0.17388319293639748,0.05148178272669379,-0.16360052524396518,-0.200927642948863,0.03732711770489783,True,0.08859550815362449,0.06730580050426314,-0.004025041635443705,-0.19704357021182417,0.003884072737038835,True,-0.03344304496785899,-0.03344304496785899
1,45,0,0,1950-09-07,1951-09-07,0.15971561640143994,0.2803405970205342,0.18601498761790025,0.032239433698934006,0.0013189211404971424,0.030920512558436863,True,0.12252640053363306,0.038166831203031874,-0.00230906410271442,-0.0008842402480045974,-0.00220316138850174,False,-0.0331236739469386,-0.0331236739469386
1,45,6786,1,1969-04-06,1970-04-06,0.17882784426623743,0.2116507315844016,0.06507108775050874,0.014997156425697655,-0.03150527790466129,0.046502434330358944,True,0.11935457629573643,0.020501530795177723,-0.00969755316471177,-0.03638198162242168,-0.004876703717760389,False,-0.05137913804811933,-0.05137913804811933
1,45,13572,2,1987-11-04,1988-11-03,0.17547047016246076,0.16830685024719255,0.09991788752759301,0.04714238556896477,0.0021517377175643837,0.04499064785140039,True,0.13154471277717295,0.10120975130426749,0.0,0.007985782747634396,0.005834045030070012,True,-0.03915660282133038,-0.03915660282133038
1,45,20358,3,2006-06-03,2007-06-03,0.16126954128631832,0.2722540757895866,0.18017786066234476,0.13848299160773214,0.10251320090017191,0.035969790707560234,True,0.11539549682418837,0.17284593854149072,0.002008852479257306,0.09299034274418805,-0.00952285815598386,False,-0.045492648863544094,-0.045492648863544094
1,45,27144,4,2024-12-31,2025-12-31,0.1855099042768853,0.2101350918472508,0.045650131182746634,-0.15086265821783884,-0.19423260161862443,0.04336994340078559,True,0.13134588315413254,0.106142973048109,0.0,-0.18968431904994787,0.004548282568676565,True,-0.03882166083210903,-0.03882166083210903
1,60,0,0,1950-09-07,1951-09-07,0.2237593980777841,0.3396438623252077,0.2491473194164079,0.03833023908893973,-0.010143954587417015,0.04847419367635675,True,0.17462802582134485,0.08666583851086741,-0.0010339610562671853,-0.0033845126894580524,0.006759441897958962,True,-0.041714751778397785,-0.041714751778397785
1,60,6786,1,1969-04-06,1970-04-06,0.25774234600173673,0.408869600757168,0.14261339802541384,0.02331698200491794,-0.051028470564991824,0.07434545256990976,True,0.17578757142420365,0.15673108732711788,0.0906791361323479,-0.04358391167221609,0.007444558892775732,True,-0.06690089367713403,-0.06690089367713403
