date,year,investment_signal_a,investment_signal_b,wealth_a,wealth_b,wealth_return_a,wealth_return_b,relative_advantage
1950-01-03,1950,False,False,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0
1950-01-04,1950,False,False,0.09523809523809523,0.09523809523809523,0.0,0.0,0.0
1950-01-05,1950,False,False,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0
1950-01-06,1950,False,False,0.19047619047619047,0.19047619047619047,0.0,0.0,0.0
1950-01-09,1950,False,False,0.23809523809523808,0.23809523809523808,0.0,0.0,0.0
1950-01-10,1950,False,False,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0
1950-01-11,1950,False,False,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
1950-01-12,1950,False,False,0.38095238095238093,0.38095238095238093,0.0,0.0,0.0
1950-01-13,1950,False,False,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0
1950-01-16,1950,False,False,0.47619047619047616,0.47619047619047616,0.0,0.0,0.0
1950-01-17,1950,False,False,0.5238095238095237,0.5238095238095237,0.0,0.0,0.0
1950-01-18,1950,False,False,0.5714285714285714,0.5714285714285714,0.0,0.0,0.0
1950-01-19,1950,False,False,0.6190476190476191,0.6190476190476191,0.0,0.0,0.0
1950-01-20,1950,False,False,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0
1950-01-23,1950,False,False,0.7142857142857142,0.7142857142857142,0.0,0.0,0.0
1950-01-24,1950,False,False,0.7619047619047619,0.7619047619047619,0.0,0.0,0.0
1950-01-25,1950,False,False,0.8095238095238095,0.8095238095238095,0.0,0.0,0.0
1950-01-26,1950,False,False,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0
1950-01-27,1950,False,False,0.9047619047619047,0.9047619047619047,0.0,0.0,0.0
1950-01-30,1950,False,False,0.9523809523809523,0.9523809523809523,0.0,0.0,0.0
1950-01-31,1950,False,True,1.0,1.0,0.0,0.0,0.0
1950-02-01,1950,False,False,1.05,1.0525314479941423,0.0,0.0024109028515639785,-0.002405104378559453
1950-02-02,1950,False,False,1.0999999999999999,1.0947234860144643,0.0,-0.004796830895941628,0.00481995138767477
1950-02-03,1950,False,False,1.15,1.1451292191822495,0.0,-0.0042354615806524665,0.004253477019151353
1950-02-06,1950,False,False,1.2,1.1940451321800134,0.0,-0.0049623898499887575,0.004987137972845668
1950-02-07,1950,False,False,1.25,1.2533382419277352,0.0,0.0026705935421882376,-0.0026634804684494418
1950-02-08,1950,False,False,1.3,1.304969961296843,0.0,0.003823047151417791,-0.003808487125561144
1950-02-09,1950,False,False,1.3499999999999999,1.3714111085202667,0.0,0.01586008038538278,-0.01561246542867012
1950-02-10,1950,False,False,1.4,1.4139161945885723,0.0,0.009940138991837433,-0.009842305111033678
1950-02-13,1950,False,False,1.45,1.4690912298264804,0.0,0.013166365397572655,-0.012995264990272481
1950-02-14,1950,False,False,1.5,1.524576854818278,0.0,0.016384569878852062,-0.01612044334833318
1950-02-15,1950,False,False,1.55,1.5661452661085833,0.0,0.010416300715214932,-0.010308919905430924
1950-02-16,1950,False,False,1.6,1.6045941779486455,0.0,0.0028713612179034342,-0.002863140108434581
