horizon_years,contribution_interval_days,window_count,theoretical_win_rate,annual_alpha_theoretical_p10,annual_alpha_theoretical_p25,annual_alpha_theoretical_median,annual_alpha_theoretical_p75,annual_alpha_theoretical_p90,annual_alpha_theoretical_min,annual_alpha_theoretical_max,implementable_win_rate,annual_alpha_implementable_p10,annual_alpha_implementable_p25,annual_alpha_implementable_median,annual_alpha_implementable_p75,annual_alpha_implementable_p90,annual_alpha_implementable_min,annual_alpha_implementable_max
1,15,5,1.0,0.01766948102996535,0.017933993144788163,0.018208133371449997,0.018583255301350077,0.018679059075615578,0.017493139620083475,0.018742928258459246,0.8,-0.009073364562043995,0.001230229395205007,0.0012814245407450908,0.0025471885289038987,0.004507471722370027,-0.015942427200209996,0.005814327184680779
1,30,5,1.0,0.02617303830949902,0.026450216833108664,0.029051204344426984,0.029864691085319972,0.032543850206895056,0.02598825262709259,0.03432995628794511,0.6,-0.015638151833469838,-0.0005345120065552988,8.174056497667337e-05,0.0013294435739250599,0.006250907180674248,-0.025707245051412864,0.00953188291850704
1,45,5,1.0,0.03330781915013257,0.03363255278257482,0.03387436997390558,0.043869464692142146,0.05156738932332763,0.03309133006183773,0.05669933907745128,0.6,-0.021428732899470004,-0.0007243446091907968,0.007700566729671676,0.01009916491133156,0.01184353667336242,-0.03523165842632281,0.013006451181382994
1,60,5,1.0,0.04187456369336644,0.04211296141273224,0.046685835255186214,0.04981703402617366,0.05940137447404519,0.041715631880455906,0.06579093477262621,0.8,-0.020417987349079913,0.0039067515081459,0.011620363568693448,0.015554426623105133,0.016837071450253083,-0.03663447992056379,0.01769216800168505
1,90,5,1.0,0.0372037408739214,0.042853325377753104,0.057237737867365523,0.05861222830178181,0.07562587708357618,0.03343735120470026,0.08696830960477242,0.6,-0.03591443664597645,-0.008214693743564316,0.005547783312634058,0.009282406035301283,0.014312214656913725,-0.054380931914251196,0.017665420404655352
1,120,5,1.0,0.042486375598475366,0.050365718288352235,0.05274993518591786,0.06855545394547868,0.11551245569296911,0.03723348047189079,0.1468171235246294,0.6,-0.0027345219290266344,-0.0021012096278317793,0.01202722567078629,0.02255917348077141,0.027008871075540265,-0.0031567301298232042,0.0299753361387195
2,15,5,1.0,0.008590573503402,0.009257144151997743,0.009286343470876535,0.010566222542435,0.012476218912550864,0.008146193071004837,0.013749549825961438,0.2,-0.002943452667608515,-0.0022463400641266063,-0.0002460454555361924,-0.00010935442632487025,0.0002703097779226838,-0.0034081944032631206,0.0005234192474210531
2,30,5,1.0,0.012774601925225993,0.01279597431341295,0.015268059439716763,0.01697015686298986,0.02224374069590711,0.012760353666434687,0.025759463251185277,0.2,-0.0037021106658384094,-0.003560868794290961,-0.0013622640297550337,-9.310768682879722e-05,0.0009399142932724481,-0.0037962719135367085,0.0016285956133399448
2,45,5,1.0,0.016679157312571614,0.018549535803690453,0.0192447225451724,0.021114738864266958,0.028068445922163444,0.015432238318492386,0.03270425062742777,0.6,-0.007526753693035992,-0.006058352807867706,0.0006987979433308311,0.0012419940723567002,0.0016892273488676058,-0.008505687616481516,0.0019873828665415427
2,60,5,1.0,0.019569007525540007,0.021706165144533274,0.023348326382590656,0.027695675713724777,0.03596489249037656,0.018144235779544493,0.04147770367481107,0.4,-0.006076077454098039,-0.005240122716733131,-0.003025138646668535,0.004716532889724068,0.005182196375420833,-0.006633380612341311,0.005492638699218677
