date,year,investment_signal_a,investment_signal_b,wealth_a,wealth_b,wealth_return_a,wealth_return_b,relative_advantage
1987-01-02,1987,False,False,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0
1987-01-05,1987,False,False,0.09523809523809523,0.09523809523809523,0.0,0.0,0.0
1987-01-06,1987,False,False,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0
1987-01-07,1987,False,False,0.19047619047619047,0.19047619047619047,0.0,0.0,0.0
1987-01-08,1987,False,False,0.23809523809523808,0.23809523809523808,0.0,0.0,0.0
1987-01-09,1987,False,False,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0
1987-01-12,1987,False,False,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
1987-01-13,1987,False,False,0.38095238095238093,0.38095238095238093,0.0,0.0,0.0
1987-01-14,1987,False,False,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0
1987-01-15,1987,False,False,0.47619047619047616,0.47619047619047616,0.0,0.0,0.0
1987-01-16,1987,False,False,0.5238095238095237,0.5238095238095237,0.0,0.0,0.0
1987-01-19,1987,False,False,0.5714285714285714,0.5714285714285714,0.0,0.0,0.0
1987-01-20,1987,False,False,0.6190476190476191,0.6190476190476191,0.0,0.0,0.0
1987-01-21,1987,False,False,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0
1987-01-22,1987,False,False,0.7142857142857142,0.7142857142857142,0.0,0.0,0.0
1987-01-23,1987,False,False,0.7619047619047619,0.7619047619047619,0.0,0.0,0.0
1987-01-26,1987,False,False,0.8095238095238095,0.8095238095238095,0.0,0.0,0.0
1987-01-27,1987,False,False,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0
1987-01-28,1987,False,False,0.9047619047619047,0.9047619047619047,0.0,0.0,0.0
1987-01-29,1987,False,False,0.9523809523809523,0.9523809523809523,0.0,0.0,0.0
1987-01-30,1987,False,True,1.0,1.0,0.0,0.0,0.0
1987-02-02,1987,False,False,1.05,1.0678254760911223,0.0,0.016976643896307042,-0.016693248560030738
1987-02-03,1987,False,False,1.0999999999999999,1.1012543727715463,0.0,0.001140338883223846,-0.001139039991632007
1987-02-04,1987,False,False,1.15,1.1447261600238565,0.0,-0.00458594780534205,0.004607075613641598
1987-02-05,1987,False,False,1.2,1.182531048744719,0.0,-0.014557459379400894,0.01477250958765497
1987-02-06,1987,False,False,1.25,1.248538376439542,0.0,-0.0011692988483664735,0.0011706677087701678
1987-02-09,1987,False,False,1.3,1.3023651876611413,0.0,0.0018193751239548028,-0.001816071009536735
1987-02-10,1987,False,False,1.3499999999999999,1.3448646050037378,0.0,-0.0038039962935275673,0.0038185219368218615
1987-02-11,1987,False,False,1.4,1.402980897993102,0.0,0.0021292128522156784,-0.0021246889372237288
1987-02-12,1987,False,False,1.45,1.474952237555299,0.0,0.01720843969330965,-0.016917319029026268
1987-02-13,1987,False,False,1.5,1.5144391757062037,0.0,0.009626117137469192,-0.009534338478447313
1987-02-16,1987,False,False,1.55,1.554798588614508,0.0,0.0030958636222631064,-0.003086308831026119
1987-02-17,1987,False,False,1.6,1.6095116427686083,0.0,0.005944776730380186,-0.005909645209056458
1987-02-18,1987,False,False,1.65,1.6624930745649307,0.0,0.007571560342382266,-0.007514662620895507
1987-02-19,1987,False,False,1.7,1.7002009450476487,0.0,0.00011820296920506124,-0.00011818899891458123
1987-02-20,1987,False,False,1.75,1.7434802277753343,0.0,-0.0037255841283804214,0.003739516009874544
1987-02-23,1987,False,False,1.8,1.7935479320583034,0.0,-0.0035844821898314283,0.003597376923343276
1987-02-24,1987,False,False,1.85,1.8533177721378131,0.0,0.001793390344763779,-0.001790179853499163
1987-02-25,1987,False,False,1.9,1.8873144465822795,0.0,-0.006676607061958051,0.0067214837679501205
1987-02-26,1987,False,False,1.95,1.9449189465904544,0.0,-0.0026056684151516407,0.0026124756604652966
1987-02-27,1987,False,True,2.0,2.000771794919862,0.0,0.0003858974599308951,-0.0003857486005257593
1987-03-02,1987,False,False,2.0454545454545454,2.0926297495590407,0.0,0.023063433117753274,-0.022543502554351114
1987-03-03,1987,False,False,2.090909090909091,2.0853653762322044,0.0,-0.0026513418019891155,0.002658390102794783
1987-03-04,1987,False,False,2.1363636363636362,2.12389960675289,0.0,-0.005834226626306838,0.005868464578606902
1987-03-05,1987,False,False,2.1818181818181817,2.161305022229856,0.0,-0.009401864811315885,0.009491098839515821
1987-03-06,1987,False,False,2.227272727272727,2.241090438218319,0.0,0.006203870220469643,-0.006165619517156662
1987-03-09,1987,False,False,2.272727272727273,2.26111602064836,0.0,-0.005108950914721522,0.005135186329617847
1987-03-10,1987,False,False,2.3181818181818183,2.2950513139131545,0.0,-0.009977864586482421,0.010078425753899722
1987-03-11,1987,False,False,2.3636363636363638,2.346834092372587,0.0,-0.007108653226982398,0.007159547970768454
1987-03-12,1987,False,False,2.409090909090909,2.4066634752894975,0.0,-0.0010076140307746506,0.0010086303408578523
1987-03-13,1987,False,False,2.4545454545454546,2.463872192320078,0.0,0.003799782056328027,-0.003785398367534998
1987-03-16,1987,False,False,2.5,2.481392338964245,0.0,-0.007443064414301981,0.007498879054137042
1987-03-17,1987,False,False,2.5454545454545454,2.571384252847326,0.0,0.010186670761449523,-0.010083948894090033
1987-03-18,1987,False,False,2.590909090909091,2.601954055060894,0.0,0.004262968619994201,-0.00424487286019537
1987-03-19,1987,False,False,2.6363636363636362,2.6582106406048087,0.0,0.008286794712168977,-0.00821868813082538
1987-03-20,1987,False,False,2.6818181818181817,2.7264628015509897,0.0,0.016647146341047137,-0.016374556699402354
1987-03-23,1987,False,False,2.7272727272727275,2.7645060016901164,0.0,0.013652200619709287,-0.013468328299748977
1987-03-24,1987,False,False,2.772727272727273,2.823183175029799,0.0,0.018197210666484942,-0.017871990294074158
1987-03-25,1987,False,False,2.8181818181818183,2.834779279511395,0.0,0.005889421762107938,-0.005854939553684546
1987-03-26,1987,False,False,2.8636363636363638,2.878098834197071,0.0,0.005050386545008889,-0.005025008310648227
1987-03-27,1987,False,False,2.909090909090909,2.912031519828945,0.0,0.0010108349411999118,-0.001009814185736757
1987-03-30,1987,False,False,2.9545454545454546,2.923495235844415,0.0,-0.01050930479112111,0.010620923311363217
1987-03-31,1987,False,True,3.0,2.954176741488852,0.0,-0.015274419503715997,0.01551134631438944
1987-04-01,1987,True,False,3.0454545454545454,2.9659357014248133,0.0,-0.02611066520379257,0.02681071069461538
1987-04-02,1987,False,False,3.124746588397525,3.0438391875235915,0.010947425658022869,-0.015228498154132186,0.026580708076026305
1987-04-03,1987,False,False,3.1420481123734767,3.0622959999682724,0.001812441626325878,-0.023615768126058034,0.026043240890505137
1987-04-06,1987,False,False,3.1344091133254373,3.0568357496479477,-0.014899992954862551,-0.03928019296778784,0.025377014020600663
1987-04-07,1987,False,False,3.1731880902328675,3.0958886654422066,-0.016758619927843776,-0.04071055437002058,0.024968412350713454
1987-04-08,1987,False,False,3.207230514634043,3.1303993980804474,-0.020012898306264626,-0.04348907280875214,0.024543550768859834
1987-04-09,1987,False,False,3.342912954016465,3.262379242148477,0.007453219018660695,-0.016817214694979543,0.024685576351004324
1987-04-10,1987,False,False,3.452885455903503,3.369704182701854,0.026533513917257556,0.0018039462086592017,0.02468503722927795
1987-04-13,1987,False,False,3.5051930693778144,3.4217305734141727,0.0281899670174921,0.0037076348681572835,0.02439189590557489
1987-04-14,1987,False,False,3.522845806964034,3.4405241870539456,0.01977115464748347,-0.004058787958068355,0.023927057458235312
1987-04-15,1987,False,False,3.652394384532356,3.5666218786964397,0.043541252723530155,0.01903482248469701,0.024048668110359106
1987-04-16,1987,False,False,3.70901626101757,3.6227854921573446,0.04613279156905814,0.02181129265976378,0.023802339124659344
1987-04-17,1987,False,False,3.692019440091292,3.6083514278961384,0.02815731243048636,0.00485735966727896,0.023187323592795517
1987-04-20,1987,False,False,3.752619096941948,3.6683295893749084,0.031970251659035664,0.008790637078099905,0.022977626604539392
1987-04-21,1987,False,False,3.7361445946960385,3.6543964099046784,0.014755322016207995,-0.007447888667865055,0.022369818602545166
1987-04-22,1987,False,False,3.8272294006695287,3.743608730758135,0.02681764408206866,0.004382830203401911,0.022336914973071886
1987-04-23,1987,False,False,3.888122439427937,3.803868234913442,0.030586670691742368,0.008254230940912377,0.02214961174027419
1987-04-24,1987,False,False,3.891549674158889,3.8090201039784968,0.01921539085113766,-0.0023994965770604004,0.02166687702545622
1987-04-27,1987,False,False,3.914783518249655,3.833165797622326,0.0132380870763813,-0.007886499438927386,0.021292509882550714
1987-04-28,1987,False,False,3.881605833302795,3.80321486789683,-0.007031065899284927,-0.027084568677555154,0.02061176350241678
1987-04-29,1987,False,False,3.9885382075324984,3.9076244355879717,0.00859586857143646,-0.011865085253616403,0.020706639872455357
1987-04-30,1987,False,True,4.036940194079803,3.9559054708295953,0.009235048519950828,-0.011023632292601171,0.020484494345921256
1987-05-01,1987,False,False,4.10859031335123,4.034365684442166,0.015063489180892065,-0.0032743603142882938,0.01839809147576732
1987-05-04,1987,False,False,4.204088952407757,4.143432779347079,0.02657986047166161,0.01176846937544962,0.014639111164785445
1987-05-05,1987,False,False,4.236238346917842,4.171198274602869,0.022540290635341353,0.006840962835175102,0.015592658999449283
1987-05-06,1987,False,False,4.262371233553079,4.191242261606603,0.01715677164334828,0.00018281242884832238,0.016970856730961437
1987-05-07,1987,False,False,4.291893505211732,4.215636141433897,0.01269397313984677,-0.005299337414473637,0.018089171175929897
1987-05-08,1987,False,False,4.35021195633875,4.276986664885333,0.015049456479041767,-0.002036444860088804,0.01712076683675612
