date,year,investment_signal_a,investment_signal_b,wealth_a,wealth_b,wealth_return_a,wealth_return_b,relative_advantage
1987-01-02,1987,False,False,0.0,0.0,0.0,0.0,
1987-01-05,1987,False,False,0.0,0.0,0.0,0.0,
1987-01-06,1987,False,False,0.0,0.0,0.0,0.0,
1987-01-07,1987,False,False,0.0,0.0,0.0,0.0,
1987-01-08,1987,False,False,0.0,0.0,0.0,0.0,
1987-01-09,1987,False,False,0.0,0.0,0.0,0.0,
1987-01-12,1987,False,True,0.0,1.0,0.0,0.0,-1.0
1987-01-13,1987,False,False,0.0,1.020029922074666,0.0,0.02002992207466603,-1.0
1987-01-14,1987,False,False,0.0,1.0163903252312385,0.0,0.01639032523123851,-1.0
1987-01-15,1987,False,False,0.0,1.0035237719879344,0.0,0.00352377198793441,-1.0
1987-01-16,1987,False,False,0.0,1.0004725074794762,0.0,0.0004725074794762474,-1.0
1987-01-19,1987,False,False,0.0,1.0040415459338579,0.0,0.00404154593385786,-1.0
1987-01-20,1987,False,False,0.0,1.0074995050887687,0.0,0.007499505088768732,-1.0
1987-01-21,1987,False,False,0.0,1.0286475274284592,0.0,0.02864752742845922,-1.0
1987-01-22,1987,False,False,0.0,1.0267715774785935,0.0,0.02677157747859349,-1.0
1987-01-23,1987,False,False,0.0,1.0097445578832296,0.0,0.009744557883229588,-1.0
1987-01-26,1987,False,False,0.0,1.026931106401647,0.0,0.026931106401647087,-1.0
1987-01-27,1987,False,False,0.0,1.030466848842973,0.0,0.030466848842972905,-1.0
1987-01-28,1987,False,False,0.0,1.0341625531567995,0.0,0.0341625531567995,-1.0
1987-01-29,1987,False,False,0.0,1.0267542738769242,0.0,0.026754273876924195,-1.0
1987-01-30,1987,False,False,0.0,1.0154081641456705,0.0,0.015408164145670478,-1.0
1987-02-02,1987,True,False,1.0,1.0335082980983796,0.0,0.03350829809837963,-0.03242189555713659
1987-02-03,1987,False,False,0.9837191112731664,1.0166818644987805,-0.016280888726833642,0.016681864498780508,-0.03242189555713637
1987-02-04,1987,False,False,0.9773052290300525,1.0100530639774965,-0.022694770969947542,0.010053063977496501,-0.03242189555713648
1987-02-05,1987,False,True,0.9653236943115742,1.9976700484219954,-0.034676305688425835,-0.0011649757890023205,-0.5167752076604917
1987-02-06,1987,False,False,0.9810506809815265,2.0302159502864483,-0.01894931901847352,0.01510797514322415,-0.5167752076604917
1987-02-09,1987,False,False,0.9848104721357976,2.037996575812859,-0.015189527864202357,0.018998287906429434,-0.5167752076604917
1987-02-10,1987,False,False,0.9774412493823952,2.0227464833709443,-0.022558750617604817,0.011373241685472157,-0.5167752076604917
1987-02-11,1987,False,False,0.9854153993521267,2.0392484304898515,-0.014584600647873258,0.019624215244925747,-0.5167752076604917
1987-02-12,1987,False,False,1.0070019484003747,2.0839202879575485,0.0070019484003747134,0.041960143978774234,-0.5167752076604917
1987-02-13,1987,False,False,0.9966730048869248,2.062545259860495,-0.003326995113075215,0.031272629930247486,-0.5167752076604917
1987-02-16,1987,False,False,0.9872012562245512,2.0429441367134054,-0.012798743775448762,0.021472068356702678,-0.5167752076604917
1987-02-17,1987,False,False,0.9918317692789114,2.052526660474121,-0.008168230721088632,0.02626333023706051,-0.5167752076604918
1987-02-18,1987,False,False,0.9947609863857304,2.0585884709467113,-0.005239013614269594,0.029294235473355634,-0.5167752076604917
1987-02-19,1987,False,False,0.9826841325379679,2.0335962643397343,-0.017315867462032064,0.01679813216986714,-0.5167752076604917
1987-02-20,1987,False,False,0.9760811171584307,2.0199317846106024,-0.02391888284156929,0.009965892305301205,-0.5167752076604917
1987-02-23,1987,False,False,0.9761476357164345,2.020069440126334,-0.02385236428356552,0.010034720063166969,-0.5167752076604917
1987-02-24,1987,False,False,0.9857463737211364,2.039933358859125,-0.014253626278863618,0.01996667942956254,-0.5167752076604917
1987-02-25,1987,False,False,0.9700233190998342,2.0073955940950703,-0.02997668090016581,0.003697797047535145,-0.5167752076604917
1987-02-26,1987,False,False,0.9774946392689652,2.022856970016945,-0.022505360731034818,0.011428485008472489,-0.5167752076604917
1987-02-27,1987,False,False,0.9832449849489387,2.034756909281513,-0.01675501505106125,0.01737845464075649,-0.5167752076604917
1987-03-02,1987,True,False,2.0060491445643294,2.0819485268824756,0.0030245722821646837,0.04097426344123778,-0.03645593603209707
