horizon_years,contribution_interval_days,window_count,annual_alpha_theoretical_mean,annual_alpha_theoretical_median,final_relative_advantage_theoretical_mean,final_relative_advantage_theoretical_median,theoretical_win_rate,annual_alpha_implementable_mean,annual_alpha_implementable_median,final_relative_advantage_implementable_mean,final_relative_advantage_implementable_median,implementable_win_rate,implementable_minus_theoretical_annual_alpha_mean,implementable_minus_theoretical_annual_alpha_median
1,15,5,0.024024988010058857,0.025550192644799075,0.0665743344889949,0.06811546113790268,1.0,-0.0011606729630257995,-0.0010346445161808493,0.04079664427744385,0.0406089062151056,0.4,-0.025185660973084657,-0.02538867526976385
1,30,5,0.03784222942160735,0.03743867197163464,0.12433940254243118,0.12607381182441757,1.0,-0.00171748609928275,0.0012590414076332213,0.08188505889362126,0.08467696261865032,0.6,-0.039559715520890104,-0.03885870895398691
1,45,5,0.044465976492373584,0.0425097867806683,0.17428533914852212,0.1749581782829963,1.0,0.00359588716501289,0.0011566047039246463,0.1288865270853427,0.12628252018957364,0.6,-0.04087008932736069,-0.041353182076743655
1,60,5,0.05548937765828954,0.05682637852754491,0.23189834735946632,0.22626576575293944,1.0,0.00851010159742882,0.007249147461792171,0.1761396188640803,0.17426963451345046,0.8,-0.04697927606086072,-0.04615268420811214
1,90,5,0.06747774967274218,0.06409109699911797,0.3340418179533966,0.33483937860505364,1.0,0.02146365191236632,0.025951005507974467,0.2754234101187071,0.28424373299416983,0.8,-0.04601409776037586,-0.03561013292511361
1,120,5,0.0889175383131707,0.07951959231233052,0.4544044112368965,0.4463485170773016,1.0,0.028986934880526238,0.037531788994280335,0.3696821620619786,0.38019578902762796,0.8,-0.05993060343264447,-0.037073697040492126
2,15,5,0.011469148657103134,0.011408030092301402,0.043620040012961825,0.042807473585060984,1.0,-0.001123022371617366,-0.0008823169873435344,0.018695145737369412,0.019089615820315098,0.0,-0.012592171028720501,-0.01272340330713373
2,30,5,0.017213270340836882,0.01722786357196271,0.07665739934333264,0.07617157591098289,1.0,-0.0009722643044783652,-0.0009284198738606086,0.039816889799586974,0.03965501172634345,0.4,-0.01818553464531525,-0.01843531048895053
2,45,5,0.021057509623944325,0.020487616256304353,0.10626197986299135,0.10499675939318243,1.0,-0.0005427519004799874,-0.0005227222249657437,0.06152758158408482,0.06142828713955839,0.4,-0.021600261524424312,-0.021926136390525652
2,60,5,0.025892963331383956,0.026589882044172786,0.13850702767796536,0.13991834352571497,1.0,-0.0017196643981020943,-0.002041855085500921,0.07997129282582435,0.07872615854492149,0.4,-0.02761262772948605,-0.030596343457911956
2,90,5,0.029281866424594204,0.027934758726817943,0.18976857192646152,0.1869176657840328,1.0,0.003759407243803503,0.001702960859132574,0.13333560140444273,0.12871391844582414,0.8,-0.025522459180790703,-0.026493349395942722
2,120,5,0.035913721356981856,0.035598284480078624,0.2502778111240486,0.24893088286725207,1.0,0.0018250558336550648,0.0040236250857881295,0.17087858256452101,0.17577060041165948,0.6,-0.03408866552332679,-0.02864281143744507
3,15,5,0.0075936445269788825,0.007612989321161612,0.033299805574285204,0.03482702176844055,1.0,-0.0006173058565974721,-0.0002579598759124835,0.00934379964558545,0.01041201397092606,0.2,-0.008210950383576355,-0.00837462687788293
3,30,5,0.011554731881581293,0.011472153931078255,0.06243406670653688,0.06248011024293665,1.0,-0.0006684073573199001,-0.00016376506393322998,0.026188552907561214,0.02730644526191317,0.4,-0.012223139238901193,-0.012384107748421025
3,45,5,0.01476861761144046,0.015462078793107237,0.08688289281747216,0.09165859461119008,1.0,-0.0003209506279935548,0.00035017079908894466,0.041105999149221174,0.042729725590960665,0.6,-0.015089568239434015,-0.014671100457712916
3,60,5,0.017754043027487974,0.018742049747695555,0.1106009484071608,0.11206494196206096,1.0,0.0007878068842942287,0.0007760963612200023,0.05815643600372118,0.057856680583839415,0.6,-0.016966236143193748,-0.017965953386475553
3,90,5,0.02170580951264107,0.02366924064023257,0.15281838398354405,0.15383675445396472,1.0,0.0025540899863058407,0.002407490970264159,0.0921748474847012,0.09144330915010057,0.6,-0.01915171952633523,-0.01813455057929314
3,120,5,0.024995329828944857,0.023540684276081913,0.19369068332066613,0.18938871999055107,1.0,0.003029929463924064,0.004154638323893511,0.12139457241781497,0.12413389750826953,0.8,-0.021965400365020794,-0.020948665932907007
4,15,5,0.005636055418865605,0.005811198315291755,0.03221155330252401,0.0322223597474629,1.0,-0.00040423177512545206,-0.0005654470132867573,0.008793534886417964,0.008143189014014895,0.2,-0.006040287193991056,-0.006403566430320806
4,30,5,0.008810583087646129,0.008615533031680833,0.055602691234205935,0.05625918789144935,1.0,-0.0007305889942363474,-0.0004053410230173693,0.018091267901762676,0.019294289768240658,0.4,-0.009541172081882477,-0.008492166953798286
4,45,5,0.011206889896788575,0.011756001749195333,0.07614208658557406,0.07931598677202123,1.0,-0.000650463370000498,-0.0003484925523677962,0.02874628305804241,0.029785679149902267,0.2,-0.011857353266789073,-0.012104494301563129
4,60,5,0.012849117788716669,0.013129082168942707,0.09370936808910195,0.09532145772919787,1.0,-0.0015775636365972234,-0.0014280141093596654,0.035381125299329505,0.03614585998696551,0.2,-0.014426681425313892,-0.014181969440223985
4,90,5,0.01634909147074002,0.017356176325959205,0.13068255070534227,0.13564031361753992,1.0,0.0008482765022546524,0.0022660449360119017,0.06612437494873524,0.07171539800766613,0.6,-0.015500814968485366,-0.014617938148715925
4,120,5,0.01949893455454097,0.0185177021123335,0.16647920033875838,0.1640774210333209,1.0,8.438644885582214e-05,0.002656171538137464,0.08345095732606969,0.09446115520937659,0.6,-0.01941454810568515,-0.019064829569503505
5,15,5,0.00471403526941101,0.004659558328672708,0.0315979147413807,0.031258482468348836,1.0,-0.0002308673141565576,-0.00025671532293469745,0.007188026119723112,0.007000604457160886,0.2,-0.004944902583567568,-0.005002006194418818
5,30,5,0.007294013906939356,0.007212323489299788,0.05334749665023675,0.05107027652529794,1.0,-0.0002496618883925716,-0.000175174397430089,0.015451256570301507,0.015763153502040606,0.2,-0.007543675795331928,-0.008177568259948087
5,45,5,0.009357882986231192,0.00980672638347202,0.0727296042884844,0.07214574440523358,1.0,0.0001604283122650374,0.0002649386604338666,0.025819435336917572,0.026251500451677012,0.6,-0.009197454673966154,-0.009533134764429185
5,60,5,0.01107582042495887,0.01168719955398112,0.0905075969150296,0.09018942562541787,1.0,0.0006344378483485125,0.0003002401534419885,0.03664687524290185,0.03476362297740665,0.8,-0.01044138257661036,-0.01103148530785214
5,90,5,0.01385926352673843,0.014164419329115718,0.12347079797426441,0.12050176113651578,1.0,0.001537512118935136,0.0024126500279834096,0.05802379274966522,0.06294245124853615,0.8,-0.012321751407803293,-0.011604597784221626
5,120,5,0.01585873761278551,0.01666409723272344,0.1522323259243757,0.1512980492437097,1.0,0.002011290698770418,0.002344141724209825,0.07739207344150945,0.07942872825039293,1.0,-0.013847446914015094,-0.015518605458135992
6,15,5,0.0038763401174657375,0.00386940268444802,0.02856769406399242,0.02907948808772809,1.0,-0.00013751340187690976,3.301628555218983e-05,0.004742880481703437,0.0047892530147857215,0.6,-0.004013853519342647,-0.004002355921383205
6,30,5,0.00601303230811121,0.006291422359437582,0.04723683207628646,0.050334978995353996,1.0,6.204774200766484e-05,-0.0002796630467121197,0.011472963441935557,0.012137960602254028,0.4,-0.005950984566103545,-0.006183879765675582
6,45,5,0.007920027352836433,0.008335551160609134,0.06931588395127238,0.06923331679199451,1.0,0.00039856746500257503,0.0005361036866751157,0.02333844227693298,0.023890248054406094,0.6,-0.007521459887833859,-0.007799447473934018
6,60,5,0.009341341200640962,0.009727857245293459,0.08564590821165977,0.0862381055747441,1.0,0.00024056194712320788,1.866692938123915e-05,0.02936815997819835,0.027893659454628628,0.6,-0.009100779253517755,-0.009143255094685276
6,90,5,0.01179775491172792,0.012562699035802538,0.11633449574858337,0.11700658914911877,1.0,0.0013416320815384131,0.0019243420643817455,0.05019944946677821,0.05402265692891439,0.8,-0.010456122830189507,-0.010711454369576545
6,120,5,0.013510465495416879,0.013750833665041706,0.14232253561070124,0.14623598343827782,1.0,0.00013964848009573316,0.00012404875233817947,0.056746640295916875,0.05628892014171649,0.6,-0.013370817015321146,-0.013229447486574286
7,15,5,0.0032846580840327987,0.0033387395290334076,0.02848508816682882,0.02821865774505694,1.0,-0.000174618718145636,-9.334307380504114e-05,0.004717362251161239,0.005227868335630381,0.0,-0.0034592768021784346,-0.0034528944377829607
7,30,5,0.0051361246901007185,0.005170862179202151,0.047512907909680546,0.048812207775707606,1.0,-2.8608451772038634e-05,-0.00011268913016504456,0.011580818059652786,0.01101838379172837,0.2,-0.005164733141872757,-0.005311573903446609
7,45,5,0.006577832151501051,0.006903987193098482,0.06412240731306192,0.06727714537074525,1.0,0.00030194459796040185,0.000616907292213531,0.020045125746331972,0.022225571477720862,0.6,-0.006275887553540649,-0.00618208676586085
