horizon_years,contribution_interval_days,window_count,theoretical_win_rate,annual_alpha_theoretical_p10,annual_alpha_theoretical_p25,annual_alpha_theoretical_median,annual_alpha_theoretical_p75,annual_alpha_theoretical_p90,annual_alpha_theoretical_min,annual_alpha_theoretical_max,implementable_win_rate,annual_alpha_implementable_p10,annual_alpha_implementable_p25,annual_alpha_implementable_median,annual_alpha_implementable_p75,annual_alpha_implementable_p90,annual_alpha_implementable_min,annual_alpha_implementable_max
1,15,5,1.0,0.021408400292927565,0.022273191835305406,0.025550192644799075,0.025597727798700953,0.02576226422356829,0.020831872598009005,0.025871955173479844,0.4,-0.005296307502084696,-0.004556802671754845,-0.0010346445161808493,0.0023221759659356467,0.002882000663879647,-0.005789310722304597,0.003255217129175647
1,30,5,1.0,0.033027380650394234,0.03533438218262397,0.03743867197163464,0.04011775036162013,0.04294567792259822,0.03148937962890774,0.04483096296325029,0.6,-0.00796609561396493,-0.0038093615136474135,0.0012590414076332213,0.0013236320484260045,0.0025553583645810288,-0.010737251680843274,0.003376509242017711
1,45,5,1.0,0.04116475870178817,0.042487569424494276,0.0425097867806683,0.043816700367669714,0.049466444748498796,0.04028288488665077,0.05323294100238485,0.6,-0.004919890761975942,-0.004897793339915246,0.0011566047039246463,0.011899352226487414,0.01361327765734539,-0.004934622376683073,0.014755894611250708
1,60,5,1.0,0.045189917030196904,0.05023720494396389,0.05682637852754491,0.05850659266698022,0.06543362930595595,0.04182505842101891,0.07005165373193978,0.8,0.001184490062006294,0.0064714499653197866,0.007249147461792171,0.01235390845886808,0.016231254568367295,-0.002340149873536035,0.0188161519747001
1,90,5,1.0,0.06205753157492451,0.06280212128767915,0.06409109699911797,0.07417830053779029,0.07452497487873737,0.06156113843308808,0.07475609110603543,0.8,-0.0010734112761012111,0.023162559925552717,0.025951005507974467,0.034297441697749065,0.03840176338375514,-0.017230725410537162,0.04113797784109252
1,120,5,1.0,0.07332894209372069,0.07460548603477246,0.07951959231233052,0.10428337006112964,0.10993414623921269,0.07247791279968618,0.11370133035793473,0.8,-0.007234857237107994,0.017897698795376837,0.037531788994280335,0.03852333908823424,0.060392380905396295,-0.023989894592097882,0.07497174211683766
2,15,5,1.0,0.010785713758088632,0.011098113160195933,0.011408030092301402,0.011841086319790195,0.012189074261842703,0.0105774474900171,0.012421066223211041,0.0,-0.0021396556619107444,-0.0009160366271057097,-0.0008823169873435344,-0.000452964781149201,-0.00042622097888425083,-0.0029554016851141007,-0.000408391777374284
2,30,5,1.0,0.01632570063371901,0.016992301248181407,0.01722786357196271,0.017713420518342904,0.018036247892309155,0.01588130022407741,0.018251466141619987,0.4,-0.0031866332873165867,-0.001443009240769122,-0.0009284198738606086,0.0004896429577152528,0.0010175655548086305,-0.00434904931834823,0.0013695139528708822
2,45,5,1.0,0.01866317671262254,0.019817715105347578,0.020487616256304353,0.022837886931649676,0.023685661998028372,0.017893484450805852,0.024250845375614172,0.4,-0.0023745109195330905,-0.0014385201342212994,-0.0005227222249657437,0.000680855912543743,0.0012114213974080857,-0.002998504776407618,0.0015651317206509807
2,60,5,1.0,0.022152830662488167,0.026009555917680283,0.026589882044172786,0.02802928159941631,0.02876436260174071,0.019581680492360087,0.029254416603290312,0.4,-0.007163391786134321,-0.004006461413739171,-0.002041855085500921,0.0029346057681360893,0.0034438827722492074,-0.009268012034397755,0.0037834007749912857
